;sc;VET;WEB;HAM;ALO;MAS;KUB;BUT;HUL;BAR;PET;BUE;ROS;SUT;LIU;MSC;DLR;ALG;KOB;TRU;KOV;DGR;GLO;CHA;SEN
0;0;1;9;2;3;4;5;6;8;7;15;10;14;12;13;11;17;16;18;24;19;20;21;22;23
1;0;1;9;2;3;4;5;6;8;7;15;10;14;12;13;11;16;17;18;24;19;20;21;22;23
2;0;1;9;2;3;4;5;6;8;7;15;10;14;12;13;11;16;17;18;24;19;20;21;22;23
3;0;1;9;2;3;4;5;6;8;7;15;10;14;12;13;11;16;17;18;24;19;20;21;22;23
4;0;1;9;2;3;4;5;6;8;7;15;10;14;12;13;11;16;17;18;24;19;20;21;22;23
5;0;1;9;2;3;4;5;6;8;7;15;10;14;12;13;11;16;17;18;24;19;20;21;22;23
6;0;1;18;2;3;4;5;6;8;7;14;9;13;11;12;10;15;16;17;24;19;20;21;22;23
7;0;1;19;2;3;4;5;6;8;7;13;9;17;11;12;10;14;15;16;24;18;20;21;22;23
8;1;1;ab;2;3;4;10;7;13;9;15;11;17;12;16;5;14;6;8;22;ab;18;19;21;20
9;1;1;ab;2;9;15;7;5;11;6;13;8;14;10;16;3;12;17;4;22;ab;18;19;21;20
10;1;1;ab;2;11;18;7;5;10;6;13;8;14;9;15;3;12;19;4;22;ab;16;17;21;20
11;1;1;ab;2;10;17;6;4;9;5;12;7;13;8;14;19;11;18;3;22;ab;15;16;20;21
12;1;1;ab;2;10;17;6;4;9;5;12;7;13;8;14;21;11;18;3;22;ab;15;16;19;20
13;1;1;ab;2;10;17;6;4;9;5;12;7;13;8;14;21;11;18;3;22;ab;15;16;19;20
14;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;19;11;17;3;22;ab;16;18;20;21
15;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
16;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
17;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
18;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
19;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
20;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
21;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
22;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;19;20;21
23;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
24;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
25;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
26;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
27;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
28;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
29;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
30;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
31;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
32;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
33;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
34;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
35;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;21;19;20
36;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;20;19;21
37;0;1;ab;2;9;15;6;4;10;5;12;7;13;8;14;17;11;16;3;22;ab;18;20;19;21
38;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
39;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
40;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
41;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
42;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
43;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
44;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
45;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
46;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
47;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
48;0;1;ab;2;9;15;6;4;10;5;12;8;13;7;14;17;11;16;3;22;ab;18;20;19;21
49;0;1;ab;2;9;14;6;4;ab;5;11;8;12;7;13;16;10;15;3;21;ab;17;19;18;20
50;0;1;ab;2;9;14;6;4;ab;5;11;8;12;7;13;16;10;15;3;21;ab;17;19;18;20
51;0;1;ab;2;9;14;6;4;ab;5;11;8;12;7;13;16;10;15;3;21;ab;17;19;18;20
52;0;1;ab;2;9;14;5;3;ab;4;11;8;12;6;13;16;10;15;7;21;ab;17;19;18;20
53;0;1;ab;2;8;14;5;3;ab;4;11;7;12;6;13;16;10;15;9;21;ab;17;19;18;20
54;0;1;ab;2;8;14;5;3;ab;4;11;7;12;6;13;16;10;15;9;21;ab;17;18;19;20
55;0;1;ab;2;9;14;5;3;ab;4;11;7;12;6;13;16;10;15;8;21;ab;17;19;18;20
56;0;1;ab;2;9;14;5;3;ab;4;11;8;12;6;13;16;10;15;7;21;ab;17;19;18;20
