;sc;VET;HAM;WEB;BUT;ALO;PET;ROS;MAS;KOB;BUE;MSC;ALG;PER;DRE;MAL;SUT;BAR;HEI;KOV;TRU;GLO;DAM
0;0;1;2;3;6;9;4;7;5;8;11;22;21;14;10;16;12;20;13;15;17;19;18
1;0;1;2;3;6;8;4;7;5;9;11;22;21;14;10;16;12;17;13;15;18;20;19
2;0;1;2;3;6;8;4;7;5;9;11;22;21;14;10;17;12;15;13;16;18;20;19
3;0;1;2;3;6;8;4;7;5;9;11;22;21;14;10;17;12;15;13;16;18;20;19
4;0;1;2;3;6;7;4;8;5;9;11;22;21;14;10;16;12;15;13;17;18;20;19
5;0;1;2;3;6;7;4;8;5;9;11;22;21;15;10;16;12;14;13;17;18;20;19
6;0;1;2;3;6;7;4;8;5;9;10;22;19;15;11;16;12;14;13;17;18;21;20
7;0;1;2;3;6;7;4;8;5;9;10;22;18;15;11;16;12;14;13;17;19;20;21
8;0;1;2;3;6;7;4;8;5;9;10;22;18;16;11;15;12;14;13;17;19;20;21
9;0;1;2;3;6;7;4;8;5;9;10;21;17;15;12;ab;11;14;13;16;18;19;20
10;0;1;2;7;4;5;3;8;6;9;10;21;17;15;12;ab;11;14;13;16;18;19;20
11;0;1;2;8;4;12;3;6;5;7;9;21;16;15;11;ab;10;14;13;17;18;19;20
12;0;1;2;7;4;13;3;5;11;6;8;21;15;14;10;ab;9;17;12;16;18;19;20
13;0;3;1;7;4;10;2;5;12;6;8;21;14;13;16;ab;9;17;11;15;18;19;20
14;0;4;1;6;3;9;2;5;10;7;13;20;12;11;17;ab;8;15;16;14;18;19;21
15;0;2;1;5;3;6;4;8;7;10;15;20;11;9;16;ab;12;14;17;13;19;18;21
16;0;1;2;3;4;6;5;9;7;10;12;21;17;8;13;ab;14;11;15;18;19;16;20
17;0;1;2;3;6;5;4;9;7;10;12;21;16;8;13;ab;14;11;15;17;19;18;20
18;0;1;2;3;9;5;4;8;6;10;12;20;16;7;13;ab;14;11;15;17;18;21;19
19;0;1;2;3;12;5;4;8;6;9;11;ab;16;7;13;ab;14;10;15;ab;17;19;18
20;0;1;2;3;12;5;4;8;6;10;11;ab;16;7;13;ab;14;9;15;ab;17;19;18
21;0;1;2;3;12;5;4;8;6;10;11;ab;16;7;13;ab;14;9;15;ab;17;19;18
22;0;1;2;3;8;5;4;ab;6;7;9;ab;14;13;10;ab;11;15;12;ab;16;18;17
23;0;1;2;3;8;5;4;ab;6;7;9;ab;14;13;10;ab;11;15;12;ab;16;18;17
24;0;1;2;3;7;5;4;ab;6;8;9;ab;14;13;11;ab;10;15;12;ab;16;18;17
25;0;1;2;6;7;4;3;ab;5;8;9;ab;14;13;11;ab;10;15;12;ab;16;18;17
26;0;1;2;6;7;5;3;ab;4;8;9;ab;14;13;11;ab;10;15;12;ab;16;18;17
27;0;1;2;5;7;6;3;ab;4;8;9;ab;14;13;11;ab;10;15;12;ab;16;18;17
28;0;1;2;5;7;6;3;ab;4;8;13;ab;14;12;10;ab;9;15;11;ab;16;18;17
29;0;1;2;5;7;6;3;ab;4;8;12;ab;13;11;10;ab;9;15;14;ab;16;18;17
30;0;1;2;4;6;5;3;ab;8;7;12;ab;13;11;10;ab;9;15;14;ab;16;18;17
31;0;1;2;4;6;5;3;ab;7;11;12;ab;13;10;9;ab;8;15;14;ab;16;18;17
32;0;1;2;4;6;5;3;ab;7;11;12;ab;13;10;9;ab;8;15;14;ab;16;18;17
33;0;1;2;4;6;5;3;ab;7;11;12;ab;13;10;9;ab;8;15;14;ab;16;18;17
34;0;1;2;4;6;5;3;ab;7;11;12;ab;14;10;9;ab;8;15;13;ab;16;18;17
35;0;1;2;3;6;4;5;ab;7;10;11;ab;14;9;12;ab;8;15;13;ab;16;18;17
36;0;1;2;3;7;4;5;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
37;0;1;2;3;7;4;5;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
38;0;1;2;3;7;4;5;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
39;0;1;2;3;7;4;5;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
40;0;1;2;5;7;3;4;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
41;0;1;2;5;7;4;3;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
42;0;1;2;5;7;4;3;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
43;0;1;2;5;7;4;3;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
44;0;1;2;5;7;4;3;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
45;0;1;2;5;7;4;3;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
46;0;1;2;5;7;4;3;ab;6;9;10;ab;14;8;12;ab;11;15;13;ab;16;18;17
47;0;1;2;5;6;4;3;ab;10;8;9;ab;14;7;12;ab;11;15;13;ab;16;18;17
48;0;1;2;5;6;4;3;ab;10;8;9;ab;13;7;12;ab;11;ab;14;ab;15;17;16
49;0;1;2;5;6;4;3;ab;10;8;9;ab;13;7;12;ab;11;ab;14;ab;15;nc;16
50;0;1;2;5;6;4;3;ab;10;8;9;ab;13;7;12;ab;11;ab;14;ab;15;nc;16
51;0;1;2;5;6;4;3;ab;10;8;9;ab;13;7;12;ab;11;ab;14;ab;15;nc;16
52;0;1;2;5;6;4;3;ab;10;8;9;ab;13;7;12;ab;11;ab;14;ab;15;nc;16
53;0;1;2;5;6;4;3;ab;9;8;10;ab;13;7;12;ab;11;ab;14;ab;15;nc;16
54;0;1;2;5;6;4;3;ab;9;8;10;ab;13;7;12;ab;11;ab;14;ab;15;nc;14
55;0;1;2;5;6;4;3;ab;9;8;10;ab;13;7;12;ab;11;ab;14;ab;15;nc;14
56;0;1;2;5;6;4;3;ab;9;8;10;ab;13;7;12;ab;11;ab;14;ab;13;nc;14
57;0;1;2;5;6;4;3;ab;9;8;8;ab;11;7;10;ab;9;ab;12;ab;13;nc;14
