;sc;WEB;HAM;VET;ALO;MAS;ROS;BUT;SUT;PET;MSC;HEI;DRE;MAL;BAR;PER;ALG;KOB;KOV;GLO;CHA;DAM;RIC;LIU;BUE
0;0;2;1;4;3;6;5;10;7;8;9;23;24;13;11;15;14;12;16;17;22;20;21;19;18
1;0;2;1;3;4;6;5;10;7;9;8;21;22;13;11;15;14;12;16;17;24;20;23;19;18
2;0;2;1;3;4;6;5;10;7;9;8;20;21;13;12;15;14;11;16;18;24;22;23;19;17
3;0;2;1;3;4;6;5;10;7;9;8;18;20;13;12;15;14;11;16;19;24;22;23;21;17
4;0;2;1;3;4;6;5;10;7;9;8;18;19;13;12;15;14;11;17;20;24;22;23;21;16
5;0;2;1;3;4;6;5;10;7;9;8;17;19;13;12;15;14;11;18;20;24;22;23;21;16
6;0;2;1;3;4;6;5;10;7;9;8;17;19;13;12;15;14;11;18;20;24;22;23;21;16
7;0;2;1;4;3;6;5;10;7;9;8;16;17;13;12;19;14;11;18;20;24;22;23;21;15
8;0;2;1;4;3;6;5;10;7;9;8;16;17;13;12;24;14;11;18;19;23;21;22;20;15
9;0;2;1;4;3;6;5;10;7;9;8;ab;15;13;12;22;14;11;16;18;23;20;21;19;17
10;0;2;1;4;3;6;5;10;7;9;8;ab;15;13;12;21;14;11;16;17;23;19;20;18;22
11;0;1;2;4;3;5;6;10;7;9;8;ab;15;13;12;19;14;11;16;17;23;21;20;18;22
12;0;2;1;4;3;5;6;10;7;9;8;ab;15;13;12;18;14;11;16;17;23;21;20;19;22
13;0;3;1;4;2;5;7;10;6;9;8;ab;15;13;12;17;14;11;16;18;23;22;20;19;21
14;0;5;1;3;2;4;14;9;6;8;7;ab;15;12;11;17;13;10;16;18;23;22;20;19;21
15;0;4;1;5;2;3;10;8;6;7;12;ab;13;15;14;17;11;9;16;18;23;22;21;19;20
16;0;1;2;9;3;4;10;6;5;7;11;ab;13;14;ab;16;12;8;15;17;22;21;20;19;18
17;0;1;2;9;3;8;10;5;4;6;11;ab;13;14;ab;15;12;7;16;18;22;21;20;19;17
18;0;1;2;9;3;8;10;5;4;6;11;ab;13;14;ab;15;12;7;16;18;22;21;20;19;17
19;0;1;2;8;3;7;9;5;4;6;10;ab;13;14;ab;15;12;11;16;18;22;21;19;20;17
20;0;1;2;8;3;6;9;5;4;7;10;ab;12;13;ab;15;11;14;16;18;22;19;20;21;17
21;0;1;2;7;3;6;8;5;4;10;9;ab;12;13;ab;15;11;14;16;18;22;19;21;20;17
22;0;1;2;6;3;5;7;4;8;9;11;ab;14;13;ab;15;10;12;16;19;22;18;21;20;17
23;0;1;2;6;3;4;7;5;8;13;9;ab;16;11;ab;12;14;10;15;19;22;18;21;20;17
24;0;1;2;5;3;4;6;8;7;13;9;ab;15;11;ab;12;14;10;16;18;22;21;20;19;17
25;0;1;2;5;3;4;6;8;7;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
26;0;1;2;5;3;4;6;8;7;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
27;0;1;2;5;3;4;6;8;7;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
28;0;1;2;5;3;4;6;8;7;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
29;0;3;1;5;2;4;6;8;7;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
30;0;3;2;5;1;4;6;8;7;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
31;0;3;2;5;1;4;6;7;8;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
32;0;3;1;5;2;4;6;7;8;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
33;0;3;1;5;2;4;6;7;8;13;9;ab;15;11;ab;12;14;10;17;18;22;21;20;19;16
34;0;3;1;5;2;4;6;8;7;11;9;ab;15;13;ab;12;14;10;17;18;22;21;20;19;16
35;0;3;1;5;2;4;7;ab;6;10;8;ab;13;14;ab;11;12;9;16;17;21;20;19;18;15
36;0;3;1;5;2;4;8;ab;6;10;9;ab;13;14;ab;11;12;7;16;17;21;20;19;18;15
37;0;3;1;5;2;4;8;ab;6;9;12;ab;13;14;ab;10;11;7;16;17;20;19;18;ab;15
38;0;3;1;5;2;4;8;ab;6;9;12;ab;13;14;ab;10;11;7;16;17;20;19;18;ab;15
39;0;3;1;5;2;4;7;ab;6;9;12;ab;13;14;ab;10;11;8;16;17;20;19;18;ab;15
40;0;3;1;5;2;4;7;ab;6;9;10;ab;13;14;ab;11;12;8;16;17;20;18;19;ab;15
41;0;3;1;5;2;4;7;ab;6;9;10;ab;12;14;ab;13;11;8;16;17;20;18;19;ab;15
42;0;3;1;5;2;4;7;ab;6;9;10;ab;11;14;ab;13;12;8;16;17;20;18;19;ab;15
43;0;3;1;5;2;4;7;ab;6;9;10;ab;11;14;ab;12;13;8;16;17;20;18;19;ab;15
44;0;3;1;5;2;4;7;ab;6;9;10;ab;11;14;ab;12;13;8;16;17;20;18;19;ab;15
45;0;3;1;5;2;4;7;ab;6;10;9;ab;11;14;ab;12;13;8;16;17;20;18;19;ab;15
46;0;3;1;5;2;4;7;ab;6;11;9;ab;10;14;ab;12;13;8;16;17;20;18;19;ab;15
47;0;3;1;5;2;4;7;ab;6;11;8;ab;10;14;ab;12;13;9;16;17;20;18;19;ab;15
48;0;3;1;5;2;4;6;ab;7;11;8;ab;9;14;ab;12;13;10;16;18;20;17;19;ab;15
49;0;3;1;5;2;4;6;ab;7;11;8;ab;9;14;ab;12;13;10;16;17;20;18;19;ab;15
50;0;3;2;5;1;4;6;ab;7;11;8;ab;9;14;ab;12;13;10;16;17;20;18;19;ab;15
51;0;2;3;5;1;4;6;ab;7;10;8;ab;13;14;ab;11;12;9;16;17;20;18;19;ab;15
52;0;2;3;5;1;4;6;ab;7;10;8;ab;13;14;ab;11;12;9;16;17;20;18;19;ab;15
53;0;1;2;5;3;4;8;ab;6;10;7;ab;13;14;ab;11;12;9;16;17;20;18;19;ab;15
54;0;1;2;5;3;4;8;ab;6;10;7;ab;13;14;ab;11;12;9;16;17;20;18;19;ab;15
55;0;1;2;5;3;4;8;ab;6;10;7;ab;13;14;ab;11;12;9;16;17;20;18;19;ab;15
56;0;3;1;5;2;4;7;ab;6;10;8;ab;13;14;ab;11;12;9;16;17;ab;18;19;ab;15
57;0;3;1;5;2;4;7;ab;6;10;8;ab;13;14;ab;11;12;9;16;17;ab;18;19;ab;15
58;0;3;1;5;2;4;7;ab;6;10;8;ab;13;14;ab;11;12;9;16;17;ab;18;19;ab;15
59;0;3;1;4;2;5;7;ab;6;10;8;ab;13;14;ab;11;12;9;16;17;ab;18;19;ab;15
