;sc;VET;WEB;BUT;HAM;ALO;MAS;ROS;MSC;SUT;DRE;PER;BAR;MAL;BUE;SEN;ALG;KOB;PET;KOV;TRU;GLO;DAM;RIC;LIU
0;0;1;4;2;8;3;5;6;7;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
1;0;1;4;2;8;3;5;6;7;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
2;0;1;4;2;8;3;5;6;7;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
3;0;1;4;2;7;3;5;6;8;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
4;0;1;4;2;6;3;5;7;8;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
5;0;1;4;2;6;3;5;7;8;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
6;0;1;4;2;6;3;5;7;8;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
7;0;1;4;2;6;3;5;7;8;9;10;11;13;12;15;14;18;16;19;20;17;22;21;24;23
8;0;1;4;2;6;3;5;10;7;8;9;11;13;12;15;14;18;16;19;20;17;22;21;24;23
9;0;1;3;2;5;6;4;15;10;7;8;9;12;11;13;19;17;14;18;20;16;ab;21;23;22
10;0;1;3;2;5;10;4;11;15;8;6;7;9;12;18;22;16;13;17;19;14;ab;20;23;21
11;0;1;3;2;7;6;17;8;11;12;4;5;9;16;19;22;14;10;15;21;13;ab;18;23;20
12;0;1;6;2;8;5;20;7;10;11;3;4;16;15;18;22;13;9;14;19;12;ab;17;23;21
13;0;1;6;2;16;5;20;7;8;9;3;4;15;14;17;22;12;10;13;19;11;ab;18;23;21
14;0;1;5;2;17;4;20;6;8;9;3;7;15;14;16;22;12;10;13;19;11;ab;18;23;21
15;0;1;5;2;19;4;17;6;7;8;3;9;13;12;14;22;11;10;16;18;15;ab;20;23;21
16;0;1;5;2;16;4;13;6;7;8;3;9;11;10;12;22;14;15;19;17;18;ab;20;23;21
17;0;1;5;2;15;4;13;6;7;8;3;9;11;10;12;22;18;14;19;16;17;ab;20;23;21
18;0;1;4;2;15;3;13;6;7;8;5;9;11;10;12;21;17;14;18;16;22;ab;19;23;20
19;0;1;4;2;15;3;12;5;6;7;8;9;11;10;13;21;17;14;18;16;22;ab;19;23;20
20;0;1;4;2;14;3;12;5;6;7;8;9;11;10;13;21;17;15;18;16;22;ab;19;23;20
21;0;1;4;2;13;3;12;6;5;7;8;9;11;10;14;20;17;15;18;16;22;ab;19;23;21
22;0;1;4;2;13;3;12;9;5;6;7;8;11;10;14;20;17;15;18;16;22;ab;19;23;21
23;0;1;4;2;12;3;15;9;5;6;7;8;11;10;13;20;17;14;18;16;22;ab;19;23;21
24;0;1;3;2;10;4;15;8;9;5;6;7;11;12;13;20;18;14;17;16;22;ab;19;23;21
25;0;1;3;2;10;4;15;8;9;6;5;7;11;14;12;20;18;13;17;16;22;ab;19;23;21
26;0;1;3;2;10;4;15;7;9;6;5;8;11;14;12;20;17;13;16;18;21;ab;19;23;22
27;0;1;3;2;10;4;15;8;9;6;5;7;11;14;12;20;17;13;16;18;21;ab;19;23;22
28;0;1;3;2;9;4;14;7;ab;6;5;8;10;12;11;19;16;13;15;17;20;ab;18;22;21
29;1;1;4;2;10;3;13;6;ab;7;5;8;9;12;11;19;15;14;17;16;20;ab;18;22;21
30;1;1;4;2;9;3;12;6;ab;7;5;8;13;10;11;19;15;14;17;16;20;ab;18;22;21
31;1;1;4;2;9;3;11;6;ab;7;5;8;12;10;13;19;15;14;17;16;20;ab;18;22;21
32;1;1;4;2;9;3;11;6;ab;7;5;8;12;10;13;19;15;14;17;16;20;ab;18;22;21
33;0;1;3;2;8;4;10;6;ab;7;5;9;12;11;13;18;15;14;17;16;20;ab;19;22;21
34;0;1;3;2;8;4;10;6;ab;7;5;9;12;11;13;17;18;14;16;15;20;ab;19;22;21
35;0;1;3;2;8;4;10;6;ab;7;5;9;12;11;13;16;19;14;17;15;20;ab;18;22;21
36;0;1;3;2;7;4;10;6;ab;8;5;9;12;11;13;16;19;14;17;15;20;ab;18;22;21
37;0;1;3;2;6;4;10;7;ab;8;5;9;12;11;13;16;19;14;17;15;20;ab;18;22;21
38;0;1;3;2;5;4;10;7;ab;8;6;9;12;11;13;15;18;14;17;16;20;ab;19;22;21
39;0;1;3;2;5;4;10;7;ab;8;6;9;12;11;13;15;18;14;17;16;20;ab;19;22;21
40;0;1;3;2;5;4;12;7;ab;8;6;9;11;10;13;15;18;14;17;16;20;ab;19;22;21
41;0;1;3;2;5;4;13;7;ab;8;6;9;11;10;12;15;18;14;17;16;20;ab;19;22;21
42;0;1;3;2;5;4;13;7;ab;8;6;9;11;10;12;15;18;14;17;16;20;ab;19;22;21
43;0;1;3;2;5;4;13;7;ab;8;6;9;11;10;12;15;18;14;17;16;20;ab;19;22;21
44;0;1;3;2;5;4;13;7;ab;8;6;9;10;12;11;15;18;14;17;16;22;ab;19;21;20
45;0;1;3;2;5;4;12;7;ab;8;6;9;10;13;11;15;17;14;18;16;21;ab;19;20;22
46;0;1;3;2;5;4;12;7;ab;8;6;9;10;13;11;15;16;14;18;17;21;ab;19;20;22
47;0;1;4;2;5;3;12;7;ab;8;6;9;10;13;11;16;15;14;19;18;ab;ab;17;20;21
48;0;1;4;2;9;3;11;6;ab;7;5;8;10;13;12;16;15;14;19;18;ab;ab;17;20;21
49;0;1;3;2;8;4;11;6;ab;7;5;9;10;12;13;16;15;14;19;18;ab;ab;17;20;21
50;0;1;3;2;7;4;11;6;ab;8;5;9;10;12;13;16;15;14;19;17;ab;ab;18;20;21
51;0;1;3;2;6;4;11;7;ab;8;5;9;10;12;13;16;15;14;19;17;ab;ab;18;20;21
52;0;1;3;2;5;4;11;7;ab;8;6;9;10;12;13;16;15;14;18;17;ab;ab;19;20;21
53;0;1;3;2;5;4;11;7;ab;8;6;9;10;12;13;16;14;15;18;17;ab;ab;19;20;21
54;0;1;3;2;5;4;10;7;ab;8;6;9;11;12;13;16;15;14;18;17;ab;ab;19;20;21
55;0;1;3;2;5;4;10;7;ab;8;6;9;11;12;13;16;15;14;18;17;ab;ab;19;20;21
56;0;1;3;2;5;4;10;7;ab;8;6;9;11;12;13;15;21;14;17;16;ab;ab;18;19;20
57;0;1;3;2;5;4;10;7;ab;8;6;9;13;11;12;15;21;14;17;16;ab;ab;18;19;20
58;0;1;3;2;5;4;10;7;ab;8;6;9;13;11;12;15;21;14;17;16;ab;ab;18;19;20
59;0;1;3;2;5;4;9;7;ab;8;6;10;13;11;12;ab;21;14;17;16;ab;ab;18;19;20
60;0;1;3;2;5;4;9;7;ab;8;6;10;13;11;12;ab;21;14;17;16;ab;ab;18;19;20
