;sc;VET;BUT;HAM;MAS;ALO;WEB;KOB;MSC;SEN;PET;SUT;DRE;BAR;MAL;BUE;ALG;PER;KOV;TRU;DAM;GLO;RIC;ROS;LIU
0;0;1;3;2;4;5;6;12;7;13;10;9;8;16;15;11;19;17;14;18;20;22;23;21;24
1;0;1;3;2;4;5;6;12;7;13;10;9;8;15;14;11;19;17;16;18;21;22;23;20;24
2;0;1;3;2;4;5;6;12;7;13;10;9;8;15;14;11;20;18;16;17;21;22;23;19;24
3;0;1;3;2;4;5;6;12;7;14;10;9;8;15;13;11;20;18;16;17;21;22;23;19;24
4;0;1;3;2;4;5;6;12;7;15;10;9;8;14;13;11;20;18;16;17;21;22;23;19;24
5;0;1;3;2;5;4;6;12;7;15;10;9;8;14;13;11;20;17;16;18;21;22;23;19;24
6;0;1;3;2;5;4;6;12;7;15;10;9;8;13;14;11;20;16;17;19;21;22;23;18;24
7;0;1;2;5;4;3;6;12;7;15;10;9;8;13;14;11;20;16;17;19;21;22;23;18;24
8;0;1;2;10;4;3;5;11;6;13;8;18;7;12;15;9;20;14;16;19;21;22;23;17;24
9;0;5;1;7;3;2;4;11;14;12;8;17;6;10;15;9;19;13;18;20;21;22;23;16;24
10;0;2;3;5;1;4;7;19;10;11;6;14;16;8;13;9;17;12;22;18;20;21;23;15;24
11;0;1;2;4;5;3;6;17;8;11;7;12;14;9;13;ab;16;10;19;21;18;20;22;15;23
12;0;1;2;4;5;3;6;15;8;11;7;10;12;16;13;ab;14;9;18;20;19;22;21;17;23
13;0;1;2;4;5;3;6;15;8;12;7;10;11;16;13;ab;14;9;18;19;20;22;21;17;23
14;0;1;2;4;5;3;6;15;7;12;8;10;11;16;13;ab;14;9;18;19;20;22;21;17;23
15;0;1;2;4;5;3;6;12;7;18;8;10;11;14;15;ab;13;9;17;19;20;22;21;16;23
16;0;1;2;4;5;3;6;12;7;18;8;10;11;13;17;ab;15;9;16;19;20;22;21;14;23
17;0;1;2;4;5;3;6;12;7;17;9;8;11;13;16;ab;18;10;15;19;20;22;21;14;23
18;0;2;1;4;5;3;6;11;7;17;14;8;10;12;16;ab;18;9;15;19;20;22;21;13;23
19;0;5;1;3;4;2;7;11;6;18;14;8;9;12;16;ab;17;10;15;19;20;22;21;13;23
20;0;5;4;3;2;1;6;10;7;18;13;8;9;11;16;ab;17;14;15;19;20;22;21;12;23
21;0;3;2;7;1;4;5;10;6;18;13;8;9;11;16;ab;15;14;17;19;20;22;21;12;23
22;0;2;1;7;5;3;4;10;6;17;13;8;9;11;16;ab;15;14;19;18;20;21;22;12;23
23;1;2;1;6;5;3;4;9;7;17;11;14;8;10;16;ab;15;13;19;18;20;21;22;12;23
24;1;2;1;6;5;3;4;13;7;16;8;11;10;14;17;ab;15;9;18;19;20;21;22;12;23
25;1;2;1;6;5;3;4;13;7;16;8;11;10;14;18;ab;15;9;17;19;20;21;22;12;23
26;1;2;1;6;5;3;4;13;7;16;8;11;10;14;18;ab;15;9;17;19;20;21;22;12;23
27;0;2;1;6;5;3;4;13;7;17;10;11;9;14;16;ab;15;8;18;19;20;21;22;12;23
28;0;2;1;6;5;3;4;13;7;19;10;11;9;14;16;ab;15;8;17;18;20;21;22;12;23
29;0;2;1;6;5;3;4;13;7;19;10;11;9;14;16;ab;15;8;17;18;20;21;22;12;23
30;0;2;1;6;5;3;4;13;7;19;12;10;9;14;16;ab;15;8;17;18;20;21;22;11;23
