;sc;HAM;VET;BUT;WEB;MAS;ALO;ROS;PET;DRE;SUT;ALG;MSC;BUE;KOB;SEN;MAL;PER;BAR;KOV;TRU;GLO;DAM;LIU;RIC
0;0;2;1;6;3;4;5;7;8;9;11;12;10;17;13;19;14;18;15;16;22;20;23;24;21
1;0;2;1;6;3;4;5;7;8;9;11;12;10;16;13;19;14;17;15;18;21;20;23;24;22
2;0;2;1;6;3;4;5;7;8;9;12;11;10;15;13;19;14;17;16;18;20;21;23;24;22
3;0;2;1;6;3;4;5;7;8;9;12;11;10;14;13;18;15;17;16;19;20;21;23;24;22
4;0;2;1;6;3;4;5;7;8;10;12;11;9;14;13;18;15;17;16;19;20;21;23;24;22
5;0;2;1;6;3;4;5;7;8;10;12;11;9;14;13;18;15;17;16;19;20;21;23;24;22
6;0;2;1;6;3;4;5;7;8;11;12;10;9;13;14;18;15;17;16;19;20;21;23;24;22
7;0;2;1;6;3;4;5;7;8;11;12;10;9;13;14;18;15;17;16;19;20;21;23;24;22
8;0;2;1;6;3;4;5;7;8;11;12;10;9;13;14;18;15;17;16;19;20;21;23;24;22
9;0;2;1;6;3;4;5;7;8;11;12;10;9;13;17;16;14;15;18;19;20;21;23;24;22
10;0;2;1;6;3;4;5;7;8;13;11;10;9;12;19;16;14;15;21;17;18;20;23;24;22
11;0;2;1;6;3;4;5;7;8;17;11;10;9;12;19;15;13;14;20;16;18;21;23;24;22
12;0;2;1;6;3;4;5;7;8;17;11;10;9;12;18;15;13;14;19;16;22;20;23;24;21
13;0;2;1;11;3;5;4;10;6;15;9;7;8;13;16;18;12;14;17;19;22;20;23;24;21
14;0;2;1;7;5;9;4;8;13;14;6;3;12;15;16;18;10;11;17;19;21;20;23;24;22
15;0;2;1;5;4;7;9;6;19;12;8;3;ab;13;14;16;10;11;15;17;18;20;22;23;21
16;1;2;1;5;4;7;8;6;ab;9;10;3;ab;12;14;16;11;13;15;17;18;19;21;22;20
17;1;2;1;4;3;6;7;5;ab;9;10;8;ab;12;14;16;11;13;15;17;18;19;21;22;20
18;1;2;1;4;3;6;7;5;ab;9;10;8;ab;12;14;16;11;13;15;17;18;19;21;22;20
19;1;2;1;4;3;6;7;5;ab;9;10;8;ab;12;14;16;11;13;15;17;18;19;21;22;20
20;0;2;1;4;3;6;7;5;ab;9;10;8;ab;12;14;16;11;13;15;17;18;19;20;22;21
21;0;2;1;4;3;6;7;5;ab;9;10;8;ab;11;15;16;14;12;13;17;18;19;20;22;21
22;0;2;1;4;3;6;7;5;ab;9;10;8;ab;11;14;15;21;12;13;16;17;18;19;22;20
23;0;2;1;4;3;6;7;5;ab;9;10;8;ab;11;17;14;20;12;13;15;16;18;19;22;21
24;0;2;1;4;3;6;7;5;ab;9;10;8;ab;11;21;14;18;12;13;15;16;17;19;22;20
25;0;2;1;4;3;6;7;5;ab;10;9;8;ab;11;21;14;17;12;13;15;16;18;19;22;20
