;sc;VET;HAM;WEB;BUT;ALO;HEI;MAS;PET;ROS;KOB;MSC;BUE;ALG;DRE;BAR;PER;SUT;MAL;KOV;TRU;GLO;DAM;LIU;KAR
0;0;1;3;9;4;7;2;6;5;13;10;8;12;11;14;15;17;16;18;19;21;20;22;23;24
1;0;1;3;9;4;7;2;6;5;13;10;8;12;11;14;17;16;15;18;19;20;21;22;23;24
2;0;1;3;10;4;7;2;6;5;13;9;8;12;11;14;24;15;21;16;17;18;19;20;22;23
3;0;1;3;10;4;7;2;6;5;13;9;8;12;11;14;24;15;23;16;17;18;19;20;21;22
4;0;1;3;10;4;6;2;5;7;13;9;8;12;11;14;24;15;23;16;17;18;19;20;21;22
5;0;1;3;9;4;6;2;5;7;13;10;8;12;11;14;24;15;23;16;17;18;19;20;21;22
6;0;1;3;10;4;6;2;5;7;13;9;8;12;11;14;24;15;23;16;17;18;19;20;21;22
7;0;1;3;10;4;6;2;5;7;13;9;8;11;12;14;24;15;23;20;16;17;18;19;21;22
8;0;1;3;10;4;6;2;5;7;13;9;8;11;12;14;23;15;21;ab;16;17;18;19;20;22
9;0;1;3;11;4;6;2;5;7;13;9;8;10;12;14;23;15;20;ab;16;17;18;19;21;22
10;0;1;3;17;4;6;2;5;7;12;9;8;10;11;14;23;13;20;ab;15;16;18;19;21;22
11;0;1;6;15;3;5;2;4;7;12;9;8;10;11;18;23;13;19;ab;14;16;17;20;21;22
12;0;1;10;14;4;2;3;5;6;12;7;8;9;11;17;23;13;18;ab;15;16;19;20;21;22
13;0;3;5;11;7;1;9;13;2;14;4;8;6;10;16;23;12;17;ab;15;21;18;19;20;22
14;0;1;4;8;5;6;7;10;2;14;3;16;9;11;13;22;12;17;ab;15;21;18;19;20;ab
15;0;1;2;7;4;5;6;8;9;17;3;12;14;13;10;22;11;15;ab;19;21;16;18;20;ab
16;0;1;2;6;4;3;5;8;9;15;7;11;12;16;10;22;13;17;ab;18;20;14;19;21;ab
