;sc;VET;BUT;HAM;ROS;ALO;MAS;ALG;DRE;BUE;PET;SUT;PER;KOB;MSC;BAR;HEI;MAL;WEB;KOV;TRU;DAM;GLO;LIU;KAR
0;0;3;1;2;4;6;5;10;7;13;12;8;16;11;9;15;14;20;17;18;19;23;22;21;24
1;0;3;1;2;4;6;5;10;7;13;12;8;17;11;9;15;14;18;16;19;20;23;21;22;24
2;0;3;1;2;4;6;5;11;7;13;12;8;17;10;9;15;14;18;16;19;20;22;21;23;24
3;0;3;1;2;4;6;5;11;7;13;12;8;17;10;9;16;14;18;15;19;20;22;21;23;24
4;0;3;1;2;4;6;5;11;7;13;12;8;17;10;9;16;14;18;15;19;20;22;21;23;24
5;0;3;1;2;4;6;5;12;7;13;11;8;17;10;9;16;14;18;15;19;20;22;21;23;24
6;0;3;1;2;4;6;5;12;7;13;11;8;17;10;9;16;14;18;15;19;20;22;21;23;24
7;0;3;1;2;4;6;5;12;7;13;11;8;16;10;9;17;14;18;15;19;20;22;21;23;24
8;0;3;1;2;4;6;5;17;7;13;11;8;14;10;9;16;12;19;15;18;20;22;21;24;23
9;0;3;1;2;4;6;5;ab;7;13;10;8;14;9;11;15;12;19;17;16;18;21;20;23;22
10;0;3;1;2;4;6;5;ab;10;12;9;7;13;8;16;14;11;22;20;15;17;19;18;23;21
11;0;3;1;2;6;5;4;ab;16;13;9;7;11;8;14;12;10;21;18;15;17;20;19;23;22
12;0;3;1;2;9;5;4;ab;14;18;8;6;11;7;13;12;10;21;17;15;16;20;19;23;22
13;0;5;4;1;8;3;2;ab;14;18;7;6;11;9;13;12;10;20;17;15;16;21;19;23;22
14;0;7;9;3;4;1;2;ab;13;18;5;6;10;15;11;12;8;19;17;14;16;21;20;23;22
15;0;4;5;7;2;1;6;ab;11;18;3;13;10;14;9;12;8;19;16;15;17;20;21;23;22
16;0;2;3;5;1;9;4;ab;10;20;6;11;16;12;8;17;7;18;13;14;15;19;22;23;21
17;0;2;3;5;1;7;4;ab;8;20;13;10;15;11;6;17;9;18;12;14;16;19;22;23;21
18;0;2;3;5;1;7;4;ab;8;19;12;9;13;10;6;17;14;18;11;16;15;20;22;23;21
19;0;2;3;5;1;7;4;ab;8;19;12;9;13;10;6;15;14;16;11;18;17;20;22;23;21
20;0;2;3;5;1;7;4;ab;8;17;12;9;13;10;6;15;14;16;11;18;19;22;21;23;20
21;0;2;3;5;1;7;4;ab;8;17;12;9;13;10;6;15;14;16;11;18;19;22;21;23;20
22;0;2;3;5;1;7;4;ab;8;17;12;9;13;10;6;15;14;16;11;18;19;22;20;23;21
23;0;2;5;4;1;7;3;ab;8;17;12;9;13;10;6;15;14;16;11;18;19;21;20;23;22
24;0;1;8;4;2;5;3;ab;7;17;11;9;12;10;6;15;14;16;13;18;19;21;20;23;22
25;0;1;6;8;4;3;2;ab;7;16;11;9;12;10;5;14;13;18;15;17;19;21;20;23;22
26;0;1;5;6;4;3;2;ab;7;16;10;8;11;9;13;14;12;18;15;17;19;21;20;23;22
27;0;1;5;6;3;4;2;ab;7;16;10;8;11;9;13;15;12;18;14;17;19;21;20;23;22
28;0;1;4;6;3;5;2;ab;7;16;10;8;11;9;12;15;13;18;14;17;19;20;21;23;22
29;0;1;4;5;3;6;2;ab;7;16;8;11;10;13;9;15;14;18;12;17;19;20;21;23;22
30;0;2;4;5;3;6;1;ab;7;16;8;13;11;14;9;12;15;18;10;17;19;20;21;23;22
31;0;5;3;4;2;6;1;ab;10;16;7;14;11;13;8;12;15;18;9;17;19;20;21;23;22
32;0;5;3;4;2;10;1;ab;12;17;7;14;9;13;6;11;15;18;8;16;19;20;21;23;22
33;0;4;2;3;1;9;5;ab;12;19;8;14;10;13;6;11;15;17;7;16;18;20;21;23;22
34;0;4;2;3;1;9;5;ab;11;19;8;13;10;12;6;15;14;17;7;16;18;21;20;23;22
35;0;4;3;2;1;9;5;ab;11;19;8;13;10;12;6;16;14;17;7;15;18;21;20;23;22
36;0;4;3;2;1;8;5;ab;10;19;9;12;14;11;6;16;13;17;7;15;18;21;20;23;22
37;0;3;5;2;1;8;4;ab;9;18;13;11;14;10;7;15;12;17;6;16;19;21;20;23;22
38;0;2;5;4;1;8;3;ab;9;18;13;11;14;10;7;15;12;17;6;16;19;21;20;23;22
39;0;1;5;4;3;7;2;ab;9;17;13;11;14;10;8;15;12;18;6;16;19;20;23;22;21
40;0;1;5;4;3;6;2;ab;9;16;13;11;14;10;8;15;12;19;7;18;17;20;23;22;21
41;0;1;5;3;4;6;2;ab;9;16;12;11;14;10;8;15;13;19;7;17;18;20;23;22;21
42;0;1;5;3;4;6;2;ab;9;16;12;11;13;10;8;15;14;18;7;17;19;20;23;22;21
43;0;1;5;2;4;6;3;ab;9;16;12;11;13;10;8;15;14;18;7;17;19;20;22;23;21
44;0;1;4;2;5;7;3;ab;9;16;13;11;12;10;8;15;14;18;6;17;19;20;22;23;21
45;0;1;4;2;5;7;3;ab;9;16;13;11;12;10;8;15;14;18;6;17;19;20;22;23;21
46;0;1;4;2;5;7;3;ab;9;16;11;15;13;10;8;14;12;18;6;17;19;20;22;23;21
47;0;1;4;2;5;7;3;ab;9;15;11;16;13;10;8;14;12;18;6;17;19;20;22;23;21
48;0;1;3;2;5;7;4;ab;9;14;11;16;15;10;8;13;12;18;6;17;19;20;21;23;22
49;0;1;3;2;4;7;5;ab;9;14;11;16;15;10;8;13;12;18;6;17;19;20;21;23;22
50;0;1;3;2;4;7;6;ab;9;14;10;15;17;11;8;13;12;18;5;16;19;20;21;23;22
51;0;2;3;1;4;7;6;ab;10;14;9;15;17;11;8;13;12;18;5;16;19;20;21;23;22
52;0;2;3;1;4;7;6;ab;11;14;9;15;17;10;8;13;12;18;5;16;19;20;21;23;22
53;0;2;3;1;5;7;6;ab;11;14;9;15;17;10;8;13;12;18;4;16;19;20;21;22;23
54;0;2;4;1;5;7;6;ab;11;14;9;15;17;10;8;13;12;18;3;16;19;20;21;22;ab
55;0;2;4;1;5;7;6;ab;11;14;9;15;17;10;8;13;12;18;3;16;19;20;21;22;ab
