;sc;VET;WEB;ROS;HAM;ALO;BUT;PET;MSC;HEI;MAS;BAR;SUT;DRE;MAL;PER;BUE;ALG;KOV;TRU;LIU;GLO;KAR;DAM;KOB
0;0;1;3;2;6;4;5;8;7;9;10;11;12;13;14;23;16;20;15;17;19;np;21;22;18
1;0;1;3;2;6;4;5;9;8;10;7;11;12;13;14;23;15;19;16;17;20;np;21;22;18
2;0;1;3;2;6;4;5;8;22;10;7;9;11;12;14;23;13;18;15;17;19;np;21;20;16
3;0;1;3;2;6;4;5;8;22;10;7;9;11;12;14;23;13;17;16;18;19;np;21;20;15
4;0;1;2;3;6;4;5;8;22;10;7;9;11;12;14;23;13;16;17;18;19;np;21;20;15
5;0;1;2;3;6;4;5;8;21;9;7;10;11;13;15;23;12;16;17;18;19;np;22;20;14
6;0;1;2;4;5;3;6;8;19;9;7;10;11;13;15;23;12;16;17;18;20;np;22;21;14
7;0;1;2;4;6;3;5;8;19;9;7;10;11;13;15;23;12;16;17;18;20;np;22;21;14
8;0;1;2;4;7;3;5;18;19;8;6;9;10;12;14;23;11;15;16;17;21;np;22;20;13
9;0;1;2;4;11;3;5;16;18;6;12;7;8;10;13;23;19;14;15;17;21;np;22;20;9
10;0;1;3;7;8;4;2;12;16;13;9;18;19;6;11;23;17;10;14;15;21;np;22;20;5
11;0;2;3;6;7;4;1;9;14;11;8;15;16;18;20;21;13;10;12;17;22;np;23;19;5
12;0;1;3;5;7;4;2;9;14;10;8;12;15;16;19;21;11;13;17;18;22;np;23;20;6
13;0;1;2;5;4;3;7;8;15;9;6;11;13;14;17;18;10;19;16;21;22;np;23;20;12
14;0;1;2;5;4;3;7;8;17;9;6;11;13;14;16;18;10;19;15;20;22;np;23;21;12
15;0;1;2;5;4;3;7;8;16;9;6;12;13;14;15;18;10;17;20;19;23;np;22;21;11
16;0;1;2;5;4;3;7;8;16;9;6;12;13;14;15;20;10;17;19;18;23;np;22;21;11
17;0;1;2;5;4;3;7;8;16;9;6;12;13;14;15;20;10;17;19;18;23;np;22;21;11
18;0;1;2;5;4;3;7;8;16;9;6;12;13;14;15;20;10;17;19;18;23;np;22;21;11
19;0;1;2;5;4;3;7;14;16;8;6;11;12;13;15;20;9;17;19;18;23;np;22;21;10
20;0;1;2;6;10;3;5;14;15;7;4;11;12;13;16;19;8;17;20;18;23;np;22;21;9
21;0;1;3;6;10;2;5;14;15;7;4;11;12;13;17;19;9;16;20;18;23;np;22;21;8
22;0;1;3;12;6;2;4;10;15;13;5;8;9;11;17;19;7;16;20;18;23;np;22;21;14
23;0;1;2;10;5;3;4;8;13;11;9;6;7;12;16;18;15;14;20;19;23;np;22;21;17
24;0;1;2;9;5;3;4;6;11;10;7;14;8;15;17;18;13;12;20;19;23;np;22;21;16
25;0;1;2;8;5;3;4;6;10;9;7;13;14;16;19;17;11;12;18;20;23;np;22;21;15
26;0;1;2;8;4;3;7;5;10;9;6;13;14;16;19;17;11;12;18;20;23;np;22;21;15
27;0;1;2;8;4;3;7;5;10;9;6;13;14;16;19;17;11;12;18;20;23;np;22;21;15
28;0;1;3;8;4;2;7;5;10;9;6;13;14;16;18;17;11;12;19;20;23;np;22;21;15
29;0;1;3;8;4;2;7;5;11;9;6;12;13;15;18;16;10;17;19;20;23;np;22;21;14
30;0;1;3;8;4;2;7;5;14;9;6;11;12;15;18;16;10;17;19;20;23;np;22;21;13
31;0;1;3;8;4;2;7;5;14;9;6;11;12;15;18;17;10;16;20;19;23;np;22;21;13
32;0;1;3;8;4;2;7;5;14;9;6;11;13;16;17;18;10;15;20;19;23;np;22;21;12
33;0;1;3;11;4;2;6;5;12;8;7;10;13;16;17;18;9;15;20;19;23;np;22;21;14
34;0;1;3;9;7;2;4;10;11;5;13;8;12;16;17;18;6;15;20;19;23;np;22;21;14
35;0;1;3;8;7;2;4;10;11;5;12;9;13;16;18;17;6;15;20;19;23;np;22;21;14
36;0;1;3;7;6;2;4;9;11;10;12;8;13;16;18;17;5;15;20;19;23;np;22;21;14
37;0;1;3;7;6;2;4;8;11;10;12;9;13;16;18;17;5;15;20;19;23;np;22;21;14
38;0;1;3;7;6;2;4;8;12;9;11;10;13;15;18;16;5;14;20;19;23;np;22;21;17
39;0;1;3;5;4;2;7;8;12;9;10;11;13;14;18;15;6;17;19;20;23;np;22;21;16
40;0;1;3;5;4;2;6;7;10;8;9;16;17;12;18;13;11;15;19;20;23;np;22;21;14
41;0;1;3;5;4;2;6;7;10;8;9;16;17;12;18;13;11;15;19;20;23;np;22;21;14
42;0;1;3;5;4;2;6;7;10;8;9;15;16;13;18;17;11;14;19;20;23;np;22;21;12
43;0;1;3;5;4;2;6;7;11;8;9;15;16;14;18;17;10;13;19;20;23;np;22;21;12
44;0;1;3;9;4;2;5;6;11;7;8;14;15;ab;17;16;10;13;18;19;22;np;21;20;12
45;0;1;3;7;4;2;5;10;13;6;8;14;15;ab;17;16;9;12;18;19;22;np;21;20;11
46;0;1;3;6;5;2;4;8;12;9;13;14;15;ab;17;16;7;11;18;19;22;np;21;20;10
47;0;1;3;6;5;2;4;8;12;9;13;14;15;ab;17;16;7;11;18;19;22;np;21;20;10
48;0;1;3;6;4;2;5;8;12;9;13;14;15;ab;17;16;7;11;18;19;22;np;21;20;10
49;0;1;3;6;4;2;5;8;12;9;13;14;15;ab;17;16;7;11;19;18;22;np;21;20;10
50;0;1;2;6;4;3;5;9;12;8;13;15;14;ab;17;16;7;11;19;18;22;np;21;20;10
51;0;1;2;6;4;3;5;9;12;8;13;16;14;ab;17;15;7;11;19;18;22;np;21;20;10
52;0;1;2;6;4;3;5;9;11;8;12;16;14;ab;17;15;7;13;19;18;22;np;21;20;10
53;0;1;2;5;4;3;6;9;12;7;11;16;14;ab;17;15;8;13;19;18;22;np;21;20;10
54;0;1;2;5;4;3;6;9;12;7;11;16;13;ab;17;14;8;15;19;18;22;np;21;20;10
55;0;1;2;5;4;3;6;9;12;7;11;15;14;ab;17;13;8;16;19;18;22;np;ab;20;10
56;0;1;2;5;4;3;6;9;12;7;11;15;13;ab;17;14;8;16;19;18;22;np;ab;20;10
57;0;1;2;5;4;3;6;8;12;7;11;15;13;ab;17;14;9;16;19;18;22;np;ab;20;10
