;sc;WEB;VET;HAM;ALO;BUT;PET;ROS;MAS;MAL;MSC;BUE;PER;ALG;KOB;KOV;DRE;SUT;TRU;BAR;GLO;LIU;KAR;DAM;HEI
0;0;3;2;4;1;10;5;7;8;13;6;9;11;12;24;16;14;18;15;20;21;19;22;23;17
1;0;3;2;4;1;10;5;7;8;13;6;9;11;12;24;16;14;18;15;19;21;20;22;23;17
2;0;3;2;4;1;10;5;7;8;13;6;9;11;12;24;16;14;18;15;19;21;20;22;23;17
3;0;3;2;4;1;9;5;7;8;13;6;10;11;12;24;16;14;18;15;19;21;20;22;23;17
4;0;3;2;4;1;9;5;7;8;13;6;10;11;12;24;16;14;18;15;19;21;20;22;23;17
5;0;3;2;4;1;9;5;7;8;13;6;10;11;12;24;16;14;18;15;19;21;20;23;22;17
6;0;3;2;4;1;9;5;7;8;12;6;10;14;11;24;16;13;18;15;19;21;20;23;22;17
7;0;3;2;4;1;9;5;7;8;13;6;10;19;11;24;15;12;17;14;18;21;20;23;22;16
8;0;2;4;3;1;9;5;7;8;18;6;10;19;11;24;14;12;16;13;17;21;20;23;22;15
9;0;3;6;2;1;9;4;5;8;17;7;15;19;10;24;13;11;16;12;18;21;20;23;22;14
10;0;6;3;1;2;5;4;7;8;16;13;15;18;10;24;12;9;17;11;19;21;20;23;22;14
11;0;4;2;3;1;5;10;11;12;15;7;14;18;16;22;9;6;17;8;24;20;19;23;21;13
12;0;4;2;3;1;5;8;10;11;15;7;13;17;16;20;12;6;18;9;24;21;19;23;22;14
13;0;4;2;3;1;5;8;9;10;15;7;13;17;16;19;12;6;21;11;23;20;18;24;22;14
14;0;4;2;3;1;6;7;9;10;15;5;11;17;16;18;13;8;20;12;22;21;19;24;23;14
15;0;4;2;3;1;5;8;7;9;11;6;10;16;12;18;15;14;19;17;20;22;21;24;23;13
16;0;4;2;3;1;5;8;7;9;11;6;10;15;12;17;18;13;19;16;20;23;22;24;21;14
17;0;3;4;2;1;5;8;7;9;11;6;10;15;12;17;19;13;18;16;20;22;21;24;23;14
18;0;3;4;1;2;5;8;7;9;11;6;10;15;12;18;19;13;17;16;20;22;21;24;23;14
19;0;4;2;1;3;5;8;7;9;13;6;10;15;11;18;19;12;17;16;20;22;21;24;23;14
20;0;4;2;1;3;5;8;7;9;17;6;10;13;11;18;19;12;16;14;20;22;21;24;23;15
21;0;4;2;1;3;5;8;7;12;16;6;9;13;10;17;18;11;15;14;19;22;21;24;23;20
22;0;4;2;1;3;5;8;7;11;16;6;9;13;12;17;18;10;15;14;20;22;21;24;23;19
23;0;4;1;2;3;5;8;7;10;16;6;9;13;12;17;18;11;15;14;20;22;21;24;23;19
24;0;4;1;2;3;5;8;7;9;14;6;10;12;16;19;18;11;15;13;20;22;21;24;23;17
25;0;4;1;2;3;5;8;7;9;13;6;14;11;16;20;18;10;15;12;19;21;22;24;23;17
26;0;4;1;2;3;5;10;6;7;13;8;14;11;16;20;18;9;15;12;19;21;22;24;23;17
27;0;4;1;2;3;5;10;9;6;12;7;13;11;15;20;18;8;16;14;19;21;22;24;23;17
28;0;4;1;2;3;5;10;9;6;11;7;12;14;13;19;20;8;16;15;18;21;ab;23;22;17
29;0;5;1;2;4;3;10;8;6;11;7;12;16;13;19;20;9;15;18;17;21;ab;23;22;14
30;0;4;1;2;3;5;10;8;6;11;7;12;15;13;18;20;9;19;17;16;21;ab;23;22;14
31;0;4;1;2;3;5;9;8;6;11;7;12;15;13;17;20;10;19;18;16;21;ab;23;22;14
32;0;4;1;2;3;5;9;8;6;10;7;11;15;12;17;20;14;19;18;16;21;ab;23;22;13
33;0;4;2;1;3;5;9;8;6;10;7;11;15;12;16;20;14;19;18;17;21;ab;23;22;13
34;0;4;2;1;3;5;9;8;6;10;7;11;15;12;16;20;14;19;17;18;21;ab;23;22;13
