;sc;VET;ALO;MAS;WEB;HAM;ROS;BUT;MSC;HEI;PET;DRE;MAL;KOB;SUT;BUE;BAR;DLR;ALG;TRU;KOV;LIU;GLO;KAR;DAM
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;24;18;19;20;21;22;23
1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;24;18;19;20;21;22;23
2;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;24;18;19;20;21;22;23
3;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;24;18;19;20;21;22;23
4;0;1;2;3;14;6;4;7;5;9;11;8;12;10;13;15;16;17;22;18;19;21;20;23;24
5;0;1;2;3;12;7;4;6;5;9;11;13;10;8;14;16;15;17;22;18;19;21;20;23;24
6;0;1;2;3;11;7;4;6;5;9;10;13;12;8;14;16;15;18;21;17;19;22;20;23;24
7;1;1;2;3;9;ab;4;14;5;7;8;10;11;6;12;15;13;17;20;16;18;21;19;22;23
8;1;1;2;3;9;ab;4;12;5;7;8;10;11;6;13;15;14;17;20;16;18;23;19;21;22
9;1;1;2;3;9;ab;4;12;5;7;8;10;11;6;13;15;14;17;20;16;18;23;19;21;22
10;1;1;2;3;9;ab;4;12;5;7;8;10;11;6;13;15;14;17;20;16;18;23;19;21;22
11;1;1;2;3;9;ab;4;12;5;7;8;10;11;6;13;15;14;17;20;16;18;23;19;21;22
12;0;1;2;3;9;ab;4;15;5;7;8;10;11;6;12;14;13;16;19;17;18;21;20;22;23
13;0;1;2;3;9;ab;4;14;5;7;8;10;11;6;12;15;13;16;17;18;19;21;20;22;23
14;0;1;2;3;8;ab;4;11;5;7;9;10;12;6;13;14;22;15;16;17;18;20;19;21;23
15;0;1;2;3;8;ab;4;11;5;7;9;10;12;6;21;14;20;13;15;16;17;19;18;22;23
16;0;1;8;2;5;ab;11;10;3;6;7;9;18;4;19;21;17;12;13;15;14;20;16;22;23
17;0;1;5;2;4;ab;10;8;11;6;7;9;18;3;17;20;15;12;13;16;14;21;19;22;23
18;0;1;9;2;4;ab;12;11;8;5;6;7;20;3;13;14;17;10;15;23;22;18;16;19;21
19;1;2;9;1;7;ab;12;11;8;4;5;6;20;3;13;18;16;10;14;23;22;17;15;19;21
20;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;23;22;17;15;19;21
21;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;23;22;17;15;19;21
22;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;22;21;17;15;19;23
23;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;22;21;17;15;19;23
24;1;1;8;3;7;ab;10;11;12;4;5;6;20;2;13;18;16;9;14;22;21;17;15;19;23
25;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;22;21;17;15;19;23
26;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;22;21;17;15;19;23
27;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;22;21;17;15;19;23
28;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;21;ab;17;15;19;22
29;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;21;ab;17;15;19;22
30;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;21;ab;17;15;19;22
31;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;21;ab;17;15;19;22
32;1;1;8;3;7;ab;11;10;12;4;5;6;20;2;13;18;16;9;14;21;ab;17;15;19;22
33;1;1;8;2;7;ab;11;9;18;4;5;6;13;3;19;22;21;10;12;15;ab;17;20;14;16
34;0;1;6;3;5;ab;7;15;13;8;4;10;18;2;14;19;17;21;16;11;ab;22;20;9;12
35;0;1;10;3;5;ab;9;11;8;4;6;7;15;2;13;17;14;20;16;21;ab;22;19;12;18
36;1;1;ab;4;6;ab;9;21;7;3;8;5;12;2;10;14;11;17;13;18;ab;20;16;19;15
37;1;1;ab;3;6;ab;9;21;7;4;8;5;12;2;10;14;11;17;13;18;ab;20;16;19;15
38;1;1;ab;3;6;ab;9;21;7;4;8;5;12;2;10;14;11;17;13;18;ab;20;16;19;15
39;1;1;ab;3;6;ab;10;21;7;4;8;5;11;2;9;14;12;17;13;18;ab;20;16;19;15
40;0;1;ab;3;6;ab;12;20;7;4;8;5;10;2;9;14;11;16;13;18;ab;21;17;19;15
41;0;1;ab;3;7;ab;12;18;6;4;8;5;11;2;9;14;10;15;13;19;ab;21;17;20;16
42;0;1;ab;3;6;ab;11;15;5;4;7;21;10;2;8;13;9;14;12;17;ab;20;16;19;18
43;0;1;ab;3;6;ab;11;14;5;4;7;19;10;2;8;13;9;15;12;17;ab;21;16;20;18
