;sc;VET;WEB;HAM;ALO;MAS;BUT;ROS;MSC;HEI;SUT;PET;DRE;BAR;KOB;MAL;PER;BUE;ALG;KOV;TRU;GLO;LIU;DAM;KAR
0;0;1;2;5;3;4;7;6;8;10;9;15;11;12;13;22;16;14;17;19;20;18;21;23;24
1;0;1;2;5;3;4;7;6;8;10;9;15;11;12;13;21;16;14;17;19;20;18;22;23;24
2;0;1;2;5;3;4;7;6;8;10;9;15;11;12;13;21;17;14;16;18;20;19;22;23;24
3;0;1;2;5;3;4;7;6;8;10;9;16;11;12;13;20;17;14;15;18;19;21;22;23;24
4;0;1;2;5;3;4;7;6;8;10;9;16;11;12;13;20;17;14;15;18;19;21;22;23;24
5;0;1;2;5;3;4;6;7;8;10;9;16;11;12;13;20;17;14;15;18;19;21;22;23;24
6;0;1;2;5;3;4;6;7;8;10;9;16;11;12;13;20;17;14;15;18;19;21;22;23;24
7;0;1;2;5;3;4;6;7;8;10;9;16;11;12;13;20;17;14;15;18;19;21;22;23;24
8;0;1;2;5;3;4;6;7;8;10;9;16;11;12;13;20;17;14;15;18;19;21;22;23;24
9;0;1;2;5;3;4;6;7;8;10;9;16;11;12;13;24;17;14;15;18;19;20;21;22;23
10;0;1;2;5;3;4;6;7;8;15;9;13;10;16;19;24;14;11;12;17;18;20;21;22;23
11;0;1;2;6;3;4;5;9;7;15;13;12;8;18;19;23;14;10;11;16;17;20;21;22;24
12;0;1;4;7;2;3;5;11;6;15;14;12;8;16;19;23;13;9;10;17;18;20;21;22;24
13;0;2;4;5;3;1;6;8;9;13;12;10;14;15;18;21;11;16;7;20;17;19;22;23;24
14;0;1;2;5;3;4;6;7;20;11;10;17;13;12;16;19;9;15;8;21;14;18;23;22;24
15;0;1;2;4;3;5;6;7;21;11;10;17;13;12;16;18;9;14;8;20;15;19;23;22;24
16;0;1;2;4;3;5;6;7;20;10;9;17;13;11;15;18;12;14;8;19;16;22;23;21;24
17;0;1;2;4;3;5;6;7;18;10;9;16;13;11;15;17;12;14;8;20;19;21;23;22;24
18;0;1;2;4;3;5;6;7;18;9;8;16;11;10;15;17;12;14;13;19;20;21;22;23;24
19;0;1;2;4;3;5;6;7;18;9;8;16;11;10;15;17;12;13;14;19;20;21;23;22;24
20;0;1;3;4;2;5;6;7;18;9;8;16;11;10;15;17;13;12;14;19;20;21;23;22;24
21;0;1;3;4;2;5;6;7;18;9;8;16;11;10;15;17;14;12;13;19;20;21;23;22;24
22;0;1;3;4;2;5;6;7;18;9;8;15;11;10;16;17;14;12;13;19;20;21;23;22;24
23;0;1;3;6;2;4;5;7;18;9;8;15;11;10;16;17;14;12;13;19;20;21;23;22;24
24;0;1;3;6;2;4;5;7;16;9;8;14;11;10;15;17;18;12;13;19;20;21;23;22;24
25;0;1;3;6;2;4;5;7;16;9;8;13;11;10;15;17;18;14;12;20;19;21;23;22;24
26;0;1;3;6;2;4;5;7;15;11;8;16;12;9;13;17;18;14;10;20;19;21;23;22;24
27;0;1;3;6;2;4;5;7;15;11;9;16;12;10;13;18;17;14;8;20;19;21;23;22;24
28;0;1;4;6;2;3;5;7;15;10;9;16;11;12;14;19;17;13;8;20;18;21;23;22;24
29;0;1;3;5;4;2;6;7;15;10;9;16;11;12;14;19;17;13;8;20;18;21;23;22;24
30;0;1;2;4;3;5;6;8;17;10;9;15;11;12;14;19;16;13;7;20;18;21;23;22;24
31;0;1;2;4;3;5;6;8;17;10;9;15;11;12;14;19;16;13;7;20;18;21;23;22;24
32;0;1;2;4;3;5;6;8;17;10;9;14;11;12;16;19;15;13;7;20;18;21;23;22;24
33;0;1;2;4;3;5;6;8;17;10;9;14;11;12;16;18;15;13;7;19;20;21;23;22;24
34;0;1;2;4;3;5;6;8;17;10;9;14;11;12;16;18;15;13;7;19;20;21;23;22;24
35;0;1;2;4;3;5;6;8;17;10;9;14;11;12;16;18;15;13;7;19;20;21;23;22;24
36;0;1;2;4;3;5;6;8;17;10;9;14;11;12;16;18;15;13;7;19;20;21;23;22;24
37;0;1;2;4;3;5;6;8;17;10;9;14;11;12;16;18;15;13;7;19;20;21;23;22;24
38;0;1;2;4;3;5;6;7;17;10;9;15;11;12;16;18;14;13;8;19;20;21;23;22;24
39;0;1;2;4;3;5;6;7;17;12;9;16;10;13;15;18;14;11;8;19;20;21;23;22;24
40;0;1;2;4;3;5;6;7;17;12;9;16;10;14;15;18;13;11;8;19;20;21;23;22;24
41;0;1;3;5;2;4;6;7;17;12;8;16;9;14;15;18;13;10;11;19;20;21;23;22;24
42;0;1;3;6;2;4;5;7;17;12;10;16;8;14;15;18;13;9;11;20;19;21;23;22;24
43;0;1;3;6;2;4;5;7;17;11;10;16;13;14;15;18;12;8;9;20;19;21;23;22;24
44;0;1;3;6;2;4;5;7;17;10;9;16;14;13;15;18;11;12;8;19;20;21;23;22;24
45;0;1;3;6;2;4;5;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
46;0;1;3;6;2;4;5;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
47;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
48;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
49;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
50;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
51;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
52;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
53;0;1;3;4;2;5;6;7;17;10;9;16;14;12;15;18;11;13;8;19;20;21;23;22;24
54;0;1;3;4;2;5;6;7;17;10;9;15;14;12;16;18;11;13;8;19;20;21;23;22;ab
55;0;1;3;4;2;5;6;7;17;10;9;15;14;12;16;18;11;13;8;19;20;21;23;22;ab
56;0;1;3;4;2;5;6;7;17;10;9;15;14;12;16;18;11;13;8;19;20;21;23;22;ab
