;sc;WEB;VET;ALO;MAS;BUT;DRE;MAL;KOB;ROS;HAM;SUT;PER;MSC;PET;BAR;HEI;KOV;ALG;BUE;GLO;TRU;DAM;LIU;RIC
0;0;2;1;3;5;4;7;10;8;12;6;11;13;9;15;19;14;18;16;17;20;22;23;21;24
1;0;2;1;3;4;6;7;10;8;12;5;11;13;9;15;18;14;24;16;17;19;21;22;20;23
2;0;2;1;3;4;6;7;10;8;12;5;11;13;9;15;18;14;ab;16;17;19;20;22;21;23
3;0;2;1;3;4;6;7;11;8;12;5;10;13;9;15;18;14;ab;16;17;19;20;22;21;23
4;0;2;1;3;4;6;7;11;8;12;5;10;13;9;15;18;14;ab;17;16;19;20;22;21;23
5;0;2;1;3;4;6;7;13;8;11;5;10;12;9;17;18;14;ab;16;15;19;20;22;21;23
6;0;2;1;3;4;6;7;13;8;11;5;10;12;9;17;18;14;ab;16;15;19;20;22;21;23
7;0;2;1;3;4;6;7;13;8;11;5;10;12;9;17;18;14;ab;15;16;19;20;22;21;23
8;0;2;1;3;4;6;7;13;9;11;5;8;12;10;17;18;14;ab;15;16;19;20;22;21;23
9;0;2;1;3;4;6;7;13;9;10;5;8;11;18;16;17;12;ab;14;15;19;20;22;21;23
10;0;2;1;3;4;6;8;12;9;10;5;7;11;17;15;16;18;ab;14;13;19;ab;21;20;22
11;0;2;1;3;5;8;6;15;13;7;4;11;9;12;17;18;14;ab;10;16;19;ab;22;21;20
12;0;3;1;4;2;6;7;15;12;10;5;8;11;9;17;18;13;ab;14;16;19;ab;21;20;22
13;0;2;1;3;6;5;7;15;12;10;4;8;11;9;17;18;13;ab;14;16;19;ab;21;20;22
14;0;2;1;4;6;5;7;15;12;10;3;8;11;9;17;18;13;ab;14;16;19;ab;21;20;22
15;0;2;1;4;6;5;7;15;12;10;3;9;11;8;17;18;13;ab;14;16;19;ab;21;20;22
16;0;2;1;4;6;5;7;14;11;9;3;8;10;17;16;18;12;ab;13;15;19;ab;21;20;22
17;0;2;1;4;6;5;7;14;11;9;3;8;10;17;16;18;12;ab;13;15;19;ab;21;20;22
18;0;2;1;4;6;5;7;14;13;9;3;8;10;17;16;18;11;ab;12;15;19;ab;20;21;22
19;0;2;1;4;6;5;7;15;12;9;3;8;10;17;16;18;11;ab;13;14;19;ab;20;21;22
20;0;2;1;4;6;5;7;14;18;9;3;8;10;16;15;17;11;ab;12;13;19;ab;20;21;22
21;0;2;1;4;6;5;7;14;18;9;3;8;10;15;16;17;11;ab;12;13;19;ab;20;21;22
