;sc;BUT;KOB;RAI;PER;ALO;MAL;HAM;GRO;DRE;VET;HUL;WEB;MSC;MAS;VER;RIC;SEN;KOV;PET;GLO;DLR;PIC;ROS;KAR
0;1;1;19;2;ab;ab;20;ab;ab;4;12;3;8;5;11;7;6;9;10;15;16;17;18;13;14
1;1;1;20;2;ab;ab;17;ab;ab;4;12;3;8;5;11;7;6;9;10;15;16;19;18;13;14
2;1;1;20;2;ab;ab;17;ab;ab;4;12;3;9;5;11;7;6;8;10;15;16;19;18;13;14
3;1;1;20;2;ab;ab;17;ab;ab;4;12;3;9;5;11;7;6;8;10;15;16;19;18;13;14
4;0;1;16;3;ab;ab;ab;ab;ab;4;11;2;9;5;10;7;6;8;13;14;19;17;18;12;15
5;0;1;14;3;ab;ab;ab;ab;ab;5;11;2;9;4;10;7;6;8;16;13;19;17;18;12;15
6;0;1;15;3;ab;ab;ab;ab;ab;5;10;2;9;4;11;7;6;8;16;13;19;17;18;12;14
7;0;1;19;3;ab;ab;ab;ab;ab;5;10;2;9;4;11;7;6;8;15;13;18;16;17;12;14
8;0;1;19;3;ab;ab;ab;ab;ab;5;9;2;10;4;11;7;6;8;15;13;18;16;17;12;14
9;0;1;19;3;ab;ab;ab;ab;ab;11;8;2;9;4;10;6;5;7;14;13;18;16;17;12;15
10;0;1;16;5;ab;ab;ab;ab;ab;13;8;2;11;3;9;6;4;7;14;12;19;17;18;10;15
11;0;1;15;10;ab;ab;ab;ab;ab;11;7;2;12;3;9;4;5;6;14;13;19;17;18;8;16
12;0;1;14;8;ab;ab;ab;ab;ab;10;5;3;11;2;12;4;9;6;13;18;19;16;17;7;15
13;0;1;13;7;ab;ab;ab;ab;ab;10;4;8;11;2;12;3;9;5;14;18;19;15;17;6;16
14;0;1;13;6;ab;ab;ab;ab;ab;11;3;8;10;2;12;5;9;4;19;15;17;16;14;7;18
15;0;1;13;4;ab;ab;ab;ab;ab;11;3;5;8;2;10;12;7;6;19;15;16;18;14;9;17
16;0;1;13;4;ab;ab;ab;ab;ab;10;3;5;6;2;9;11;7;12;19;15;16;18;14;8;17
17;0;1;13;4;ab;ab;ab;ab;ab;10;3;5;6;2;8;11;7;12;19;14;16;18;15;9;17
18;0;1;13;4;ab;ab;ab;ab;ab;10;2;5;6;3;8;11;7;12;19;14;15;17;18;9;16
19;0;1;13;3;ab;ab;ab;ab;ab;9;2;4;5;8;7;10;6;11;19;14;15;17;18;12;16
20;0;1;12;2;ab;ab;ab;ab;ab;10;3;4;5;8;6;9;7;11;19;14;15;17;18;13;16
21;0;1;12;2;ab;ab;ab;ab;ab;10;6;3;4;8;5;9;7;11;19;14;15;17;18;13;16
22;0;1;13;2;ab;ab;ab;ab;ab;11;5;3;4;8;6;9;7;10;19;14;15;17;18;12;16
23;0;1;13;2;ab;ab;ab;ab;ab;11;5;3;4;7;6;9;8;10;19;14;15;18;17;12;16
24;0;1;13;2;ab;ab;ab;ab;ab;11;5;3;4;7;6;9;8;10;19;14;15;18;17;12;16
25;0;1;13;2;ab;ab;ab;ab;ab;11;5;3;4;7;6;9;8;10;18;14;19;17;15;12;16
26;0;1;13;2;ab;ab;ab;ab;ab;12;3;4;5;6;7;9;8;10;19;14;17;18;15;11;16
27;0;1;13;2;ab;ab;ab;ab;ab;12;3;5;6;4;10;7;8;9;19;14;16;18;15;11;17
28;0;1;13;4;ab;ab;ab;ab;ab;12;2;5;6;3;7;8;11;9;19;14;16;17;15;10;18
29;0;1;13;4;ab;ab;ab;ab;ab;12;2;5;6;3;7;11;10;8;18;14;16;17;15;9;ab
30;0;1;13;3;ab;ab;ab;ab;ab;12;2;5;6;4;7;11;10;8;18;14;16;17;15;9;ab
31;0;1;13;4;ab;ab;ab;ab;ab;12;2;5;6;3;7;11;10;8;18;14;16;17;15;9;ab
32;0;1;13;4;ab;ab;ab;ab;ab;12;2;5;6;3;7;10;11;8;18;14;16;17;15;9;ab
33;0;1;13;3;ab;ab;ab;ab;ab;12;2;5;6;4;7;10;11;8;18;14;16;17;15;9;ab
34;0;1;13;3;ab;ab;ab;ab;ab;12;2;4;5;7;6;10;11;8;18;14;16;17;15;9;ab
35;0;1;13;3;ab;ab;ab;ab;ab;11;2;4;6;7;5;9;10;8;18;14;16;17;15;12;ab
36;0;1;13;3;ab;ab;ab;ab;ab;11;2;4;6;7;5;9;10;8;18;14;16;17;15;12;ab
37;0;1;13;3;ab;ab;ab;ab;ab;11;2;4;6;7;5;9;10;8;17;14;15;18;16;12;ab
38;0;1;13;3;ab;ab;ab;ab;ab;10;2;4;6;7;5;8;9;11;18;14;15;17;16;12;ab
39;0;1;13;3;ab;ab;ab;ab;ab;10;2;4;6;7;5;8;9;12;18;14;15;17;16;11;ab
40;0;1;13;3;ab;ab;ab;ab;ab;10;2;4;6;7;5;8;9;12;17;14;15;18;16;11;ab
41;0;1;13;3;ab;ab;ab;ab;ab;10;2;4;6;7;5;8;9;12;17;14;15;18;16;11;ab
42;0;1;13;3;ab;ab;ab;ab;ab;10;2;4;6;7;5;8;9;12;17;14;15;18;16;11;ab
43;0;1;13;3;ab;ab;ab;ab;ab;10;2;4;6;7;5;8;9;12;17;14;15;18;16;11;ab
