;sc;VET;WEB;HAM;BUT;ALO;MAS;RAI;PER;MAL;ROS;GRO;HUL;SEN;MSC;RIC;DRE;KOB;VER;PET;KOV;GLO;DLR;KAR;PIC
0;0;1;2;5;3;4;6;7;8;11;10;12;9;13;24;15;14;16;23;20;18;21;17;22;19
1;0;1;2;5;3;4;6;7;8;11;10;12;9;13;24;15;14;16;23;20;17;21;18;22;19
2;0;1;2;5;3;4;6;7;8;11;10;12;9;13;24;15;14;16;23;20;17;21;19;22;18
3;0;1;2;5;4;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;21;20;22;18
4;0;1;2;5;4;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;21;20;22;18
5;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;21;20;22;18
6;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;21;20;22;18
7;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;21;20;22;18
8;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;20;21;22;18
9;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;23;19;17;20;21;22;18
10;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;23;18;17;20;21;22;19
11;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;22;18;17;20;21;23;19
12;0;1;2;4;5;3;6;7;8;11;10;12;9;13;24;15;14;16;22;18;17;20;21;23;19
13;0;1;2;4;5;3;6;7;9;11;10;12;8;13;24;15;14;16;21;18;17;20;22;23;19
14;0;1;2;4;5;3;6;7;16;10;9;11;8;12;24;14;13;15;21;18;17;20;22;23;19
15;0;1;2;4;5;3;6;7;16;12;9;10;8;11;24;14;13;15;21;18;17;20;22;23;19
16;0;1;2;4;5;3;6;7;15;12;9;10;8;11;24;14;13;16;21;18;17;20;22;23;19
17;0;1;2;4;5;3;6;7;15;12;9;10;8;11;24;14;13;16;21;18;17;20;22;23;19
18;0;1;2;4;5;3;6;7;21;12;9;10;8;11;24;14;13;15;20;17;16;19;22;23;18
19;0;1;2;4;5;3;6;7;23;12;9;10;8;11;24;14;13;15;19;17;16;20;21;22;18
20;0;1;2;4;5;3;6;7;ab;12;9;10;8;11;23;14;13;15;19;17;16;20;21;22;18
21;0;1;2;4;5;3;6;7;ab;12;9;10;8;11;23;14;13;15;19;17;16;20;21;22;18
22;0;1;2;4;5;3;6;7;ab;12;10;9;8;11;23;14;13;15;19;17;16;20;21;22;18
23;0;1;2;4;5;3;6;7;ab;12;10;9;8;11;23;14;13;15;19;17;16;20;21;22;18
24;0;1;2;4;5;3;6;7;ab;12;10;9;8;11;23;14;13;15;19;17;16;20;21;22;18
25;0;1;2;4;9;3;5;6;ab;11;10;8;7;12;23;14;13;15;19;17;16;20;21;22;18
26;0;1;2;4;9;3;5;6;ab;11;10;8;7;14;22;15;12;13;19;17;16;20;21;23;18
27;0;1;2;4;8;3;5;9;ab;13;11;7;6;14;22;18;10;12;19;16;15;20;21;23;17
28;0;1;2;4;6;3;7;8;ab;12;10;5;9;13;22;17;15;11;18;16;14;19;21;23;20
29;0;1;2;3;6;4;7;8;ab;19;10;5;9;12;22;16;14;11;17;15;13;18;21;23;20
30;0;1;3;2;6;4;7;8;ab;22;10;5;9;12;21;16;14;11;17;15;13;18;20;23;19
31;0;1;3;2;6;4;7;8;ab;22;10;5;9;12;19;15;13;11;16;17;14;21;20;23;18
32;0;1;2;4;6;3;7;8;ab;19;10;5;9;12;20;14;13;11;15;17;16;21;22;23;18
33;0;1;2;4;6;3;7;8;ab;19;10;5;9;12;21;14;13;11;17;16;15;20;22;23;18
34;0;1;2;4;6;3;7;8;ab;19;10;5;9;12;21;14;13;11;17;16;15;20;22;23;18
35;0;1;2;4;5;3;7;8;ab;19;10;6;9;11;21;14;13;12;17;16;15;20;22;23;18
36;0;1;2;4;5;3;6;7;ab;19;10;9;8;11;21;13;12;14;17;16;15;20;22;23;18
37;0;1;2;4;5;3;6;7;ab;19;10;9;8;11;21;13;12;14;17;16;15;20;22;23;18
38;0;1;2;4;5;3;6;7;ab;19;10;9;8;11;21;13;12;14;17;16;15;20;22;23;18
39;0;1;2;4;5;3;6;7;ab;19;10;9;8;11;21;13;12;14;17;15;16;20;22;23;18
40;0;1;2;4;5;3;6;7;ab;18;10;9;8;11;21;13;12;14;17;15;16;20;22;23;19
41;0;1;2;4;5;3;6;7;ab;18;10;9;8;11;20;13;12;14;16;15;17;21;22;23;19
42;0;1;2;4;5;3;6;7;ab;18;10;9;8;11;20;13;12;14;16;15;17;21;ab;22;19
43;0;1;2;4;5;3;6;7;ab;17;10;9;8;11;20;13;12;14;16;15;18;21;ab;22;19
44;0;1;2;4;5;3;6;7;ab;17;10;9;8;11;20;13;12;14;16;15;18;21;ab;22;19
45;0;1;2;4;5;3;6;7;ab;17;10;9;8;11;20;13;12;14;16;15;18;21;ab;22;19
46;0;1;2;4;5;3;6;7;ab;17;10;9;8;11;20;13;12;14;16;15;18;21;ab;22;19
47;0;1;3;4;5;2;6;7;ab;17;10;9;8;11;20;13;12;14;16;15;18;21;ab;22;19
48;0;1;3;4;5;2;6;7;ab;17;10;9;8;11;20;13;12;14;15;16;18;21;ab;22;19
49;0;1;3;4;5;2;6;7;ab;16;10;9;8;11;19;13;12;14;15;17;18;21;ab;22;20
50;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;19;13;12;14;15;17;18;21;ab;22;20
51;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;18;13;12;14;15;17;19;21;ab;22;20
52;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;18;13;12;14;15;17;19;21;ab;22;20
53;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;18;13;12;14;15;17;19;21;ab;22;20
54;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;18;13;12;14;15;17;19;21;ab;22;20
55;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;22;13;12;14;15;17;18;20;ab;21;19
56;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;22;13;12;14;15;17;18;20;ab;21;19
57;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;22;13;12;14;15;17;18;20;ab;21;19
58;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;22;13;12;14;15;17;18;20;ab;21;19
59;0;1;3;4;5;2;6;7;ab;16;11;9;8;10;22;13;12;14;15;17;18;20;ab;21;19
