;sc;HAM;WEB;MAL;RAI;BUT;ALO;ROS;MAS;GRO;HUL;PER;DRE;MSC;SEN;KOB;RIC;VER;KOV;PIC;PET;GLO;DLR;KAR;VET
0;0;1;5;3;2;6;4;12;7;22;ab;9;23;10;19;8;11;13;15;17;16;14;21;18;20
1;0;1;5;3;2;6;4;21;7;22;ab;9;23;10;17;8;11;12;13;16;15;14;20;19;18
2;0;1;5;3;2;6;4;21;7;22;ab;9;23;10;17;8;11;12;13;18;15;14;20;19;16
3;0;1;5;3;2;6;4;21;7;22;ab;8;23;10;17;9;11;12;13;18;16;15;20;19;14
4;0;1;5;3;2;6;4;21;7;22;ab;8;23;10;17;9;11;12;13;18;16;15;20;19;14
5;0;1;5;3;2;6;4;21;7;22;ab;8;23;10;16;9;11;12;13;18;17;15;20;19;14
6;0;1;5;3;2;6;4;20;7;22;ab;8;23;10;15;9;11;12;14;18;17;16;21;19;13
7;0;1;5;3;2;6;4;ab;7;20;ab;8;21;10;15;9;11;12;14;18;17;16;19;ab;13
8;1;1;5;3;2;6;4;ab;7;20;ab;8;21;10;15;9;11;13;14;18;17;16;19;ab;12
9;1;1;5;3;2;6;4;ab;7;20;ab;8;21;10;14;9;11;15;13;18;17;16;19;ab;12
10;1;1;5;3;2;6;4;ab;7;20;ab;8;21;10;14;9;11;15;13;18;17;16;19;ab;12
11;1;1;5;3;2;6;4;ab;7;20;ab;8;21;10;14;9;11;15;13;18;17;16;19;ab;12
12;1;1;5;3;2;6;4;ab;7;20;ab;8;21;10;14;9;12;15;13;18;17;16;19;ab;11
13;1;1;5;3;2;6;4;ab;7;19;ab;8;20;10;13;9;11;14;12;17;16;15;18;ab;21
14;0;1;5;3;2;6;4;ab;7;18;ab;8;20;10;13;9;11;14;12;17;16;15;21;ab;19
15;0;1;5;3;2;6;4;ab;7;18;ab;8;19;10;13;9;11;14;12;20;16;15;21;ab;17
16;0;1;5;3;2;6;4;ab;7;18;ab;8;19;10;13;9;11;14;12;20;16;15;21;ab;17
17;0;1;5;3;2;6;4;ab;7;17;ab;8;18;10;13;9;11;14;12;20;19;16;21;ab;15
18;0;1;5;3;2;6;4;ab;7;16;ab;8;17;10;12;9;11;14;13;20;19;18;21;ab;15
19;0;ab;4;2;1;5;3;ab;6;15;ab;7;16;9;11;8;10;14;13;19;18;17;20;ab;12
20;0;ab;4;3;1;5;2;ab;6;15;ab;7;16;9;12;8;10;13;14;19;18;17;20;ab;11
21;0;ab;4;3;1;5;2;ab;6;14;ab;7;16;9;12;8;10;13;15;19;18;17;20;ab;11
22;0;ab;7;3;1;4;2;ab;5;14;ab;6;15;9;12;8;11;13;16;19;18;17;20;ab;10
23;0;ab;7;4;1;3;2;ab;6;14;ab;5;15;9;12;8;11;13;16;19;18;17;20;ab;10
24;0;ab;7;4;1;3;2;ab;6;14;ab;5;15;10;12;9;11;13;16;19;18;17;20;ab;8
25;0;ab;6;4;1;3;2;ab;10;13;ab;5;14;8;9;16;11;12;15;19;18;17;20;ab;7
26;0;ab;6;4;1;3;2;ab;15;11;ab;5;12;8;9;14;16;10;13;20;18;17;19;ab;7
