;sc;VET;HAM;WEB;RAI;MSC;HUL;ALO;GRO;MAL;SEN;MAS;BUT;DRE;VER;PER;KOB;ROS;RIC;GLO;PIC;PET;KOV;DLR;KAR
0;0;1;3;2;7;5;6;4;8;13;12;10;15;9;16;11;17;14;20;19;22;18;21;23;24
1;0;1;3;2;8;7;5;4;6;13;12;10;14;9;16;11;17;15;18;20;21;19;22;23;24
2;0;1;3;2;7;8;5;4;6;14;12;10;13;9;15;11;17;16;18;20;22;19;21;23;24
3;0;1;2;3;7;9;5;4;6;13;12;10;14;8;15;11;18;16;17;20;22;19;21;23;24
4;0;1;2;3;7;9;5;4;6;13;12;10;14;8;15;11;18;17;16;20;22;19;21;23;24
5;0;1;2;3;6;9;5;4;10;14;12;8;13;7;16;11;18;17;15;20;22;19;21;23;24
6;0;1;2;3;6;10;5;4;12;14;11;8;13;7;16;9;18;17;15;20;22;19;21;23;24
7;0;1;2;3;6;11;5;4;13;15;10;8;12;7;16;9;18;17;14;20;22;19;21;23;24
8;0;1;2;3;6;11;5;4;15;14;10;8;12;7;16;9;18;17;13;20;22;19;21;23;24
9;0;1;2;3;6;13;5;4;22;14;10;8;11;7;15;9;17;16;12;20;21;18;19;23;24
10;0;1;2;3;6;13;5;4;22;14;10;7;11;8;15;9;17;16;12;20;21;18;19;23;24
11;0;1;2;3;6;13;5;4;21;14;10;7;11;8;15;9;17;16;12;20;22;18;19;23;24
12;0;1;2;3;5;14;6;4;20;13;10;7;11;8;15;9;17;16;12;21;22;18;19;23;24
13;0;1;2;3;5;14;6;4;18;13;10;7;11;8;16;9;22;15;12;20;21;17;19;23;24
14;0;1;2;3;5;19;7;4;16;13;10;6;11;8;ab;9;21;14;12;18;20;15;17;22;23
15;0;1;2;3;5;19;7;4;15;13;10;6;11;8;ab;9;21;14;12;18;20;16;17;22;23
16;0;1;2;ab;4;18;6;3;14;12;9;5;10;7;ab;8;19;13;11;17;20;15;16;21;22
