;sc;HAM;BUT;WEB;VET;MAS;HUL;ALO;RAI;ROS;DRE;SEN;PER;MSC;KOB;RIC;MAL;VER;GRO;PET;KOV;GLO;PIC;KAR;DLR
0;0;1;2;4;22;3;6;5;8;11;7;ab;ab;13;10;12;9;18;16;14;15;17;20;21;19
1;0;1;2;5;20;6;4;3;8;10;7;ab;ab;11;9;12;ab;17;14;13;15;16;19;21;18
2;0;1;2;5;18;6;4;3;8;10;7;ab;ab;11;9;12;ab;17;14;13;15;16;20;21;19
3;0;1;2;5;16;6;4;3;8;10;7;ab;ab;11;9;12;ab;17;14;13;15;18;20;21;19
4;0;1;2;5;13;6;3;4;14;9;7;ab;ab;21;8;10;ab;16;11;12;15;17;19;20;18
5;0;2;1;6;11;5;3;4;19;10;8;ab;ab;20;7;9;ab;14;ab;12;13;15;17;18;16
6;0;1;2;18;8;5;3;4;19;9;7;ab;ab;20;6;10;ab;13;ab;11;12;14;16;17;15
7;0;2;1;17;6;5;3;4;19;8;7;ab;ab;20;13;9;ab;10;ab;14;11;12;16;18;15
8;0;2;1;17;6;5;3;4;18;15;7;ab;ab;20;19;16;ab;8;ab;11;9;10;13;14;12
9;0;3;1;19;10;4;2;5;15;17;11;ab;ab;20;16;18;ab;6;ab;9;7;8;13;14;12
10;0;4;1;16;17;3;2;12;15;14;19;ab;ab;20;13;18;ab;5;ab;7;6;8;10;11;9
11;0;3;1;15;14;4;2;9;18;13;19;ab;ab;20;10;17;ab;5;ab;8;6;7;11;16;12
12;0;3;1;13;11;4;2;6;17;12;15;ab;ab;20;9;14;ab;5;ab;10;8;7;19;18;16
13;0;3;1;9;8;5;2;4;14;10;13;ab;ab;20;7;12;ab;6;ab;16;11;15;19;18;17
14;0;3;1;7;6;11;2;4;12;8;9;ab;ab;20;5;10;ab;13;ab;16;14;15;18;17;19
15;0;3;1;7;5;14;2;4;11;8;9;ab;ab;20;6;10;ab;15;ab;13;16;12;17;18;19
16;0;3;1;7;5;13;2;4;11;8;9;ab;ab;20;6;10;ab;14;ab;15;16;12;17;18;19
17;0;3;2;6;4;12;1;5;9;10;11;ab;ab;20;7;8;ab;14;ab;15;16;13;17;18;19
18;0;3;2;5;4;10;1;6;8;14;12;ab;ab;20;9;7;ab;11;ab;15;16;13;17;18;19
19;0;3;2;7;5;12;1;4;11;18;8;ab;ab;17;6;9;ab;10;ab;15;19;13;14;16;20
20;0;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
21;0;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
22;1;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
23;1;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
24;1;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;12;ab;14;16;13;17;19;18
25;1;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
26;1;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
27;1;3;2;7;5;11;1;4;10;20;8;ab;ab;15;6;9;ab;13;ab;14;16;12;17;19;18
28;1;3;2;7;5;10;1;4;11;19;8;ab;ab;14;6;9;ab;20;ab;13;15;12;16;18;17
29;0;3;2;14;6;8;1;4;10;19;7;ab;ab;12;5;9;ab;20;ab;13;15;11;16;18;17
30;0;2;3;12;6;8;1;4;10;17;7;ab;ab;11;5;9;ab;20;ab;13;14;19;15;18;16
31;0;2;3;12;6;7;1;5;10;16;9;ab;ab;11;4;8;ab;19;ab;13;15;20;14;18;17
32;0;2;3;11;6;7;1;4;12;16;9;ab;ab;10;5;8;ab;19;ab;13;15;20;14;18;17
33;0;2;3;10;7;6;1;4;12;16;9;ab;ab;11;5;8;ab;19;ab;13;15;20;14;18;17
34;0;2;3;10;7;6;1;4;12;16;9;ab;ab;11;5;8;ab;19;ab;13;15;20;14;18;17
35;0;2;3;9;7;6;1;4;11;16;12;ab;ab;10;5;8;ab;19;ab;13;15;20;14;18;17
