;sc;ROS;MSC;KOB;RAI;BUT;WEB;HAM;PER;ALO;GRO;VET;MAS;MAL;SEN;DRE;HUL;RIC;KOV;PET;GLO;PIC;DLR;KAR;VER
0;0;1;2;7;4;3;9;5;6;8;11;14;10;15;12;13;17;19;16;20;18;21;22;23;24
1;0;1;2;7;4;3;9;5;6;8;11;14;10;15;12;13;17;18;16;20;19;21;23;24;22
2;0;1;2;7;4;3;9;5;6;8;11;14;10;15;12;13;17;18;16;19;20;22;23;24;21
3;0;1;2;7;4;3;9;5;6;8;11;14;10;15;12;13;17;18;16;19;21;22;23;24;20
4;0;1;2;7;4;3;9;5;6;8;11;14;10;15;12;13;17;18;16;19;21;22;23;24;20
5;0;1;2;7;4;3;11;5;6;8;10;14;9;15;12;13;17;18;16;19;21;22;23;24;20
6;0;1;2;7;4;3;20;5;6;8;10;13;9;14;11;12;16;17;15;18;21;22;23;24;19
7;0;1;2;7;4;3;20;5;6;8;10;13;9;14;11;12;16;17;15;19;21;22;23;24;18
8;0;1;2;8;4;3;17;5;6;7;10;14;9;13;11;12;19;16;15;20;21;22;23;24;18
9;0;1;2;16;6;3;15;7;4;5;9;18;8;12;10;11;24;14;13;19;20;21;22;23;17
10;0;1;2;16;14;5;13;12;3;4;8;17;6;10;7;9;24;15;11;23;19;20;21;22;18
11;0;1;3;11;10;7;9;8;2;5;13;14;4;17;6;16;22;12;15;23;18;19;20;24;21
12;0;1;ab;9;7;4;6;5;2;8;10;11;3;15;13;14;21;12;19;22;16;17;18;23;20
13;0;3;ab;9;7;4;6;5;1;8;10;11;2;15;12;14;20;13;18;22;16;17;21;23;19
14;0;3;ab;9;7;4;6;5;1;8;10;11;2;14;12;13;20;15;18;21;16;17;22;23;19
15;0;3;ab;9;7;4;6;5;1;8;10;11;2;14;12;13;20;15;19;21;16;17;22;23;18
16;0;1;ab;8;6;3;5;4;10;7;9;11;2;14;12;13;19;15;20;21;16;17;22;23;18
17;0;1;ab;8;6;2;5;3;10;7;9;11;4;14;12;13;16;21;18;19;20;17;22;23;15
18;0;1;ab;7;5;2;4;3;10;6;8;9;14;13;11;12;16;19;17;18;21;20;22;23;15
19;0;1;ab;7;5;2;4;3;10;6;8;9;14;12;11;13;16;18;17;19;20;21;22;23;15
20;0;1;ab;7;4;2;6;3;10;5;8;9;14;12;11;13;16;18;17;19;20;21;22;23;15
21;0;1;ab;6;4;2;14;3;9;5;7;8;13;11;10;12;16;18;17;19;20;21;22;23;15
22;0;1;ab;5;3;2;14;13;8;4;6;7;12;10;9;11;16;17;18;19;20;21;22;23;15
23;0;1;ab;5;3;2;14;13;8;4;6;7;12;10;9;11;16;17;18;19;20;21;22;23;15
24;0;1;ab;8;2;9;14;13;6;3;4;5;12;10;7;11;16;17;18;19;20;21;22;23;15
25;0;1;ab;14;2;7;13;11;6;3;4;5;12;9;8;10;16;17;18;19;20;21;22;23;15
26;0;1;ab;14;2;7;12;10;6;3;4;5;13;9;8;11;16;17;18;19;20;21;22;23;15
27;0;1;ab;14;2;5;10;8;6;13;3;4;12;7;9;11;15;17;19;18;20;21;22;23;16
28;0;1;ab;14;13;4;8;7;5;11;2;3;10;6;12;9;15;16;23;18;19;20;21;22;17
29;0;1;ab;13;12;3;7;6;5;10;2;4;11;8;14;9;16;15;23;19;18;20;21;22;17
30;0;1;ab;13;12;3;6;5;4;9;2;7;11;8;14;10;17;15;23;19;18;20;21;22;16
31;0;1;ab;11;10;2;6;5;4;7;3;13;9;8;14;12;17;15;23;18;19;20;21;22;16
32;0;1;ab;9;8;2;5;4;3;6;12;11;7;10;13;14;17;15;23;18;19;20;21;22;16
33;0;1;ab;9;8;2;6;4;3;5;11;10;7;13;12;14;16;17;23;18;19;20;21;22;15
34;0;2;ab;8;7;1;12;3;5;4;10;9;6;13;11;14;16;17;23;18;19;20;21;22;15
35;0;2;ab;7;6;1;11;3;13;4;9;8;5;12;10;14;16;17;23;18;20;19;21;22;15
36;0;2;ab;7;6;1;11;3;13;4;9;8;5;12;10;14;16;17;23;18;20;19;21;22;15
37;0;2;ab;9;6;1;11;3;13;4;8;7;5;12;10;14;16;17;23;18;19;20;21;22;15
38;0;2;ab;14;4;1;8;10;12;11;6;5;3;9;7;13;16;17;23;18;19;20;21;22;15
39;0;1;ab;14;3;5;8;10;12;11;6;4;2;9;7;13;16;17;23;18;19;20;21;22;15
40;0;1;ab;14;2;4;6;10;12;11;5;3;8;9;7;13;16;17;23;18;19;20;21;22;15
41;0;1;ab;13;2;4;6;8;11;10;5;3;14;9;7;12;15;16;23;18;19;20;21;22;17
42;0;1;ab;13;2;4;6;7;10;11;5;3;14;9;8;12;15;16;23;18;19;20;21;22;17
43;0;1;ab;13;2;4;6;7;10;11;5;3;14;9;8;12;15;16;23;18;19;20;21;22;17
44;0;1;ab;13;2;4;5;6;10;11;8;3;14;9;7;12;15;16;23;18;19;20;21;22;17
45;0;1;ab;13;2;4;5;6;11;10;8;3;14;9;7;12;15;16;23;18;19;20;21;22;17
46;0;1;ab;12;2;4;5;6;11;10;8;3;14;9;7;13;15;17;23;18;19;20;21;22;16
47;0;1;ab;12;6;3;5;4;11;10;8;2;14;9;7;13;15;17;23;18;19;20;21;22;16
48;0;1;ab;10;12;3;5;4;11;9;6;2;14;8;7;13;15;17;23;18;19;20;21;22;16
49;0;1;ab;10;12;3;5;4;11;9;6;2;14;8;7;13;15;17;23;18;19;20;21;22;16
50;0;1;ab;10;14;2;5;4;11;9;6;3;13;8;7;12;15;17;23;18;19;20;21;22;16
51;0;1;ab;10;14;2;5;4;11;9;6;3;13;8;7;12;15;17;23;18;19;20;21;22;16
52;0;1;ab;10;14;2;5;4;11;9;6;3;13;8;7;12;15;17;23;18;19;20;21;22;16
53;0;1;ab;10;14;2;5;3;11;9;6;4;13;8;7;12;15;17;23;18;19;20;21;22;16
54;0;1;ab;10;14;2;4;3;11;9;6;5;13;8;7;12;15;17;23;18;19;20;21;22;16
55;0;1;ab;10;14;2;4;3;11;9;6;5;13;8;7;12;15;17;23;18;19;20;21;22;16
