;sc;VET;HAM;WEB;BUT;ROS;RIC;GRO;PER;ALO;DRE;RAI;KOB;HUL;MAS;SEN;KOV;VER;PET;PIC;DLR;MAL;MSC;GLO;KAR
0;0;1;2;3;6;9;16;4;10;5;12;7;13;19;8;11;24;14;17;20;22;15;18;21;23
1;0;1;2;3;6;9;17;4;10;5;11;7;13;19;8;12;24;14;18;20;22;15;16;21;23
2;0;1;2;3;6;9;17;4;10;5;11;8;13;19;7;12;24;14;18;20;22;15;16;21;23
3;0;1;2;4;6;9;17;3;11;5;10;8;13;19;7;12;24;14;18;20;22;15;16;21;23
4;0;1;2;4;6;9;17;3;11;5;10;7;13;19;8;12;24;14;18;20;22;15;16;21;23
5;0;1;2;4;6;9;17;3;11;5;10;7;13;19;8;12;24;14;18;20;22;15;16;21;23
6;0;1;3;4;7;9;19;2;11;5;10;6;13;18;8;12;24;15;17;20;22;14;16;21;23
7;0;1;3;4;7;10;23;2;11;5;8;6;13;17;9;12;24;16;18;19;21;14;15;20;22
8;0;1;3;5;16;17;21;2;9;6;7;4;8;14;18;11;24;12;15;19;22;10;13;20;23
9;0;1;11;7;10;12;19;2;16;9;4;3;5;20;14;17;22;8;13;15;24;6;18;21;23
10;0;1;10;7;9;11;18;5;13;8;3;2;4;17;12;16;21;19;20;14;23;6;15;22;24
11;0;2;9;5;7;10;17;3;12;8;1;6;4;16;11;15;21;18;20;19;23;13;14;22;24
12;0;1;9;6;7;10;17;3;12;8;2;5;4;15;11;16;20;18;19;21;23;13;14;22;24
13;0;1;8;5;6;10;17;2;12;9;3;4;7;15;11;16;23;18;19;20;22;13;14;21;24
14;0;1;6;4;5;8;18;2;10;7;12;3;16;14;9;15;23;17;19;20;22;11;13;21;24
15;0;1;6;4;5;8;18;2;10;7;12;3;16;14;9;15;22;17;19;20;23;11;13;21;24
16;0;1;6;4;5;8;18;2;10;7;12;3;15;14;9;16;22;17;19;20;23;11;13;21;24
17;0;1;6;4;5;8;19;2;10;7;12;3;15;14;9;16;21;17;18;20;23;11;13;22;24
18;0;1;6;4;5;8;19;2;10;7;12;3;14;15;9;16;21;17;18;20;23;11;13;22;24
19;0;1;6;4;5;8;18;2;10;7;12;3;14;19;9;15;21;16;17;20;23;11;13;22;24
20;0;1;6;4;5;8;18;2;13;7;10;3;14;19;9;15;21;16;17;20;23;11;12;22;24
21;0;1;5;4;6;8;18;2;17;7;9;3;13;19;11;14;21;15;16;20;23;10;12;22;24
22;0;1;5;4;11;13;19;2;16;6;7;3;9;17;15;12;21;14;18;20;23;8;10;22;24
23;0;1;13;5;7;9;21;2;15;8;4;3;6;16;11;10;20;12;19;18;23;14;17;22;24
24;0;1;11;5;7;8;18;2;12;9;4;3;6;13;10;16;19;15;17;ab;22;20;14;21;23
25;0;1;11;5;6;8;18;3;12;9;4;2;7;14;10;15;19;17;16;ab;21;ab;13;20;22
26;0;1;11;5;6;8;18;3;12;9;4;2;7;14;10;15;19;17;16;ab;21;ab;13;20;22
27;0;1;11;5;6;8;18;3;12;9;4;2;7;14;10;15;19;17;16;ab;21;ab;13;20;22
28;0;1;11;4;6;8;18;3;12;9;5;2;7;14;10;15;19;16;17;ab;21;ab;13;20;22
29;0;1;11;4;6;8;18;3;12;9;5;2;7;14;10;15;19;16;17;ab;21;ab;13;20;22
30;0;1;10;4;6;7;18;3;12;8;5;2;11;14;9;15;19;16;17;ab;21;ab;13;20;22
31;0;1;10;4;6;7;18;3;11;8;5;2;15;13;9;14;19;16;17;ab;21;ab;12;20;22
32;0;1;10;4;5;7;18;3;11;8;6;2;15;13;9;14;19;16;17;ab;21;ab;12;20;22
33;0;1;9;4;5;6;18;3;10;7;13;2;15;12;8;14;19;16;17;ab;21;ab;11;20;22
34;0;1;9;4;5;6;18;3;10;7;13;2;15;12;8;14;19;16;17;ab;21;ab;11;20;22
35;0;1;10;4;5;7;18;3;9;6;12;2;15;13;8;14;19;16;17;ab;21;ab;11;20;22
36;0;1;14;4;5;11;17;3;8;6;10;2;13;16;7;12;19;15;18;ab;21;ab;9;20;22
37;0;1;12;4;8;7;18;3;14;9;6;2;10;16;5;11;19;15;17;ab;21;ab;13;20;22
38;0;1;10;4;7;6;18;3;13;8;5;2;9;15;11;16;19;14;17;ab;22;ab;12;20;21
39;0;2;10;4;7;6;17;1;13;8;5;3;9;14;11;16;19;15;18;ab;22;ab;12;20;21
40;0;1;9;4;7;6;17;3;13;8;5;2;11;14;10;15;19;16;18;ab;22;ab;12;20;21
41;0;1;9;4;7;6;17;3;13;8;5;2;11;14;10;15;19;16;18;ab;22;ab;12;20;21
42;0;1;9;4;7;6;17;3;13;8;5;2;11;14;10;15;19;16;18;ab;22;ab;12;20;21
43;0;1;9;4;7;6;17;3;13;8;5;2;11;14;10;15;19;16;18;ab;22;ab;12;20;21
44;0;1;9;4;7;6;17;3;12;8;5;2;13;14;10;15;19;16;18;ab;22;ab;11;20;21
45;0;1;9;4;7;6;17;3;12;8;5;2;13;14;10;15;19;16;18;ab;21;ab;11;20;22
46;0;1;9;4;7;6;17;3;12;8;5;2;13;14;10;15;19;16;18;ab;21;ab;11;20;22
47;0;1;9;4;7;6;17;3;12;8;5;2;13;14;10;15;19;16;18;ab;21;ab;11;20;22
48;0;1;9;4;7;6;17;3;12;8;5;2;14;13;10;15;19;16;18;ab;21;ab;11;20;22
49;0;1;9;4;7;6;17;3;12;8;5;2;15;13;10;14;19;16;18;ab;21;ab;11;20;22
50;0;1;9;4;7;6;16;3;12;8;5;2;17;13;10;14;19;15;18;ab;21;ab;11;20;22
51;0;1;9;4;7;5;16;3;12;8;6;2;17;13;10;14;19;15;18;ab;21;ab;11;20;22
52;0;1;9;4;7;5;17;3;12;8;6;2;16;13;10;14;19;15;18;ab;21;ab;11;20;22
53;0;1;8;4;13;5;17;3;11;7;6;2;16;12;9;14;19;15;18;ab;21;ab;10;20;22
