;sc;MAL;ALO;GRO;RAI;PER;ROS;VET;MSC;KOB;BUT;WEB;DRE;HUL;VER;RIC;MAS;SEN;PET;KOV;PIC;GLO;DLR;KAR;HAM
0;0;2;1;5;3;24;4;7;6;9;8;12;13;14;10;15;11;17;18;16;21;19;22;23;20
1;0;2;1;5;3;24;4;7;6;9;8;12;13;14;10;15;11;17;19;16;23;20;21;22;18
2;0;2;1;5;3;24;4;7;6;9;8;12;13;14;10;15;11;18;19;16;23;20;21;22;17
3;0;2;1;5;3;24;4;7;6;9;8;12;13;14;10;15;11;18;19;16;23;20;21;22;17
4;0;2;1;5;3;24;4;7;6;9;8;12;13;14;10;15;11;18;19;17;23;20;21;22;16
5;0;2;1;5;3;24;4;7;6;9;8;14;12;13;10;15;11;18;19;17;23;20;21;22;16
6;0;2;1;5;3;24;4;9;6;8;7;22;12;13;10;15;11;17;18;16;21;19;20;23;14
7;0;2;1;5;3;24;4;18;6;8;7;20;11;12;9;14;10;16;17;15;22;19;21;23;13
8;0;2;1;4;3;24;5;17;6;19;7;20;11;12;8;13;9;15;16;14;22;18;21;23;10
9;0;1;2;4;3;22;13;14;5;17;15;18;20;10;7;9;8;12;16;11;21;19;23;24;6
10;0;1;3;9;2;20;8;11;10;13;12;14;15;19;16;6;17;7;22;5;21;18;24;23;4
11;0;2;1;7;3;20;6;10;9;12;11;13;14;17;15;19;16;8;22;5;21;18;23;24;4
12;0;2;1;6;3;18;5;7;ab;9;8;11;12;15;13;16;14;ab;20;10;19;17;21;22;4
13;0;2;1;6;3;16;5;7;ab;9;8;10;11;14;12;15;13;ab;20;17;19;18;21;22;4
14;0;2;1;5;3;16;4;6;ab;8;7;9;10;13;11;15;12;ab;18;17;19;20;21;22;14
15;0;2;1;4;3;17;5;6;ab;8;7;9;10;13;11;15;12;ab;18;16;20;19;21;22;14
16;0;2;1;4;3;18;5;6;ab;8;7;15;9;13;10;14;11;ab;17;16;20;19;21;22;12
17;0;2;1;4;3;19;5;6;ab;8;7;17;9;13;10;14;11;ab;16;15;20;18;21;22;12
18;0;2;1;4;3;19;5;6;ab;8;7;17;9;14;10;13;11;ab;16;15;20;18;21;22;12
19;0;2;1;4;3;18;5;6;ab;8;7;17;9;16;10;13;11;ab;15;14;20;19;22;21;12
20;0;2;1;4;3;18;5;6;ab;8;7;17;9;15;10;13;11;ab;16;14;20;19;22;21;12
21;0;2;1;4;3;18;7;5;ab;8;6;16;9;15;10;13;11;ab;17;14;20;19;22;21;12
22;0;2;1;4;3;18;13;5;ab;7;6;16;10;15;12;11;8;ab;17;14;20;19;21;ab;9
23;0;2;1;4;3;18;11;5;ab;7;6;14;15;13;16;10;8;ab;17;12;20;19;21;ab;9
24;0;3;1;4;2;17;10;5;ab;7;6;14;15;13;16;11;8;ab;18;12;20;19;21;ab;9
25;0;3;1;4;2;17;9;5;ab;6;10;13;14;12;15;16;7;ab;18;11;20;19;21;ab;8
26;0;1;3;5;2;17;8;4;ab;10;9;12;13;11;14;15;6;ab;18;16;19;20;21;ab;7
27;0;1;2;4;3;16;8;6;ab;10;9;12;13;11;14;15;7;ab;17;18;20;19;21;ab;5
28;0;1;2;4;3;16;7;6;ab;9;8;11;13;10;14;15;12;ab;18;17;20;19;21;ab;5
