;sc;WEB;ROS;HAM;GRO;ALO;MSC;MAS;RAI;VET;HUL;KOB;BUT;SEN;DRE;RIC;VER;KOV;PET;GLO;DLR;PIC;KAR;PER;MAL
0;0;1;2;3;ab;4;8;5;7;6;9;21;14;10;11;12;17;13;19;15;ab;16;20;18;ab
1;1;1;2;3;ab;4;8;5;7;6;9;21;14;10;11;12;17;13;19;15;ab;16;20;18;ab
2;1;1;2;3;ab;4;8;5;7;6;9;20;14;10;11;12;17;13;21;15;ab;16;19;18;ab
3;0;1;2;3;ab;4;8;5;7;6;9;20;14;10;11;12;17;13;21;15;ab;16;19;18;ab
4;0;1;2;3;ab;4;8;5;7;6;9;20;14;10;11;12;17;13;21;15;ab;16;19;18;ab
5;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
6;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
7;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
8;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
9;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
10;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
11;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;16;19;18;ab
12;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;18;19;16;ab
13;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;18;19;16;ab
14;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;20;15;ab;18;19;16;ab
15;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;17;13;ab;15;ab;18;19;16;ab
16;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;19;13;ab;16;ab;17;18;15;ab
17;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;19;13;ab;16;ab;17;18;15;ab
18;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;19;13;ab;16;ab;17;18;15;ab
19;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;19;13;ab;16;ab;17;18;15;ab
20;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;19;13;ab;16;ab;17;18;15;ab
21;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
22;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
23;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
24;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
25;0;1;2;3;ab;4;8;5;7;6;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
26;0;1;6;2;ab;3;8;4;7;5;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
27;0;1;6;2;ab;3;8;4;7;5;9;ab;14;10;11;12;18;13;ab;16;ab;17;19;15;ab
28;0;4;5;6;ab;1;7;2;16;3;17;ab;11;18;8;9;15;10;ab;13;ab;14;19;12;ab
29;0;3;4;6;ab;5;7;1;14;2;16;ab;10;17;8;9;12;15;ab;18;ab;13;19;11;ab
30;0;2;3;5;ab;4;7;6;14;1;15;ab;10;16;8;9;12;17;ab;18;ab;13;19;11;ab
31;0;2;3;5;ab;4;6;7;14;1;15;ab;10;16;8;9;12;17;ab;18;ab;13;19;11;ab
32;0;2;3;5;ab;4;6;7;13;1;14;ab;10;15;8;9;11;16;ab;17;ab;18;19;12;ab
33;0;2;3;5;ab;4;10;6;13;1;12;ab;9;14;7;8;11;15;ab;16;ab;18;19;17;ab
34;0;2;3;5;ab;4;9;6;13;1;12;ab;8;14;11;7;10;15;ab;16;ab;18;19;17;ab
35;0;2;3;5;ab;4;9;6;13;1;12;ab;8;14;11;7;10;15;ab;16;ab;18;19;17;ab
36;0;2;3;5;ab;4;9;6;13;1;12;ab;8;14;11;7;10;15;ab;16;ab;18;19;17;ab
37;0;2;3;5;ab;4;8;6;12;1;11;ab;14;13;10;7;9;15;ab;16;ab;18;19;17;ab
38;0;2;3;5;ab;4;8;6;12;1;11;ab;15;13;10;7;9;14;ab;16;ab;17;19;18;ab
39;0;2;3;5;ab;4;7;6;11;1;10;ab;14;12;9;15;8;13;ab;16;ab;17;19;18;ab
40;0;2;3;5;ab;4;7;6;11;1;10;ab;14;12;9;15;8;13;ab;16;ab;17;19;18;ab
41;0;2;3;5;ab;4;7;6;11;1;10;ab;14;12;9;15;8;13;ab;16;ab;17;19;18;ab
42;0;2;3;5;ab;4;7;6;11;1;10;ab;14;12;9;15;8;13;ab;16;ab;17;19;18;ab
43;0;2;3;5;ab;4;7;6;11;1;10;ab;14;12;9;15;8;13;ab;16;ab;17;19;18;ab
44;0;2;3;5;ab;4;7;6;11;1;10;ab;14;12;9;15;8;13;ab;16;ab;18;19;17;ab
45;0;1;2;5;ab;4;7;6;11;3;10;ab;14;12;9;15;8;13;ab;16;ab;18;19;17;ab
46;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;16;ab;18;19;17;ab
47;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;16;ab;18;19;17;ab
