;sc;VET;HAM;ALO;WEB;ROS;MAS;GRO;DRE;MSC;BUT;KOB;RAI;HUL;RIC;PER;SEN;KOV;PET;VER;DLR;GLO;MAL;PIC;KAR
0;0;1;2;3;4;5;6;8;7;9;10;12;11;14;18;13;15;16;21;17;20;22;19;23;24
1;0;1;2;3;4;6;5;8;7;9;10;12;11;14;17;13;16;15;20;18;21;22;19;23;24
2;0;1;2;3;4;7;5;8;6;9;10;12;11;14;17;13;16;15;20;18;21;22;19;23;24
3;0;1;2;3;4;7;5;8;6;9;10;12;11;14;17;13;16;15;20;18;21;22;19;23;24
4;0;1;2;3;4;7;5;8;6;9;10;12;11;14;17;13;19;15;20;16;21;22;18;23;24
5;0;1;2;3;4;6;12;7;5;8;9;11;10;14;17;13;19;15;20;16;21;22;18;23;24
6;0;1;2;3;4;6;12;7;5;8;9;11;10;14;17;13;19;15;20;16;21;22;18;23;24
7;0;1;2;3;4;6;12;7;5;8;9;11;10;14;17;13;19;16;20;15;21;22;18;23;24
8;0;1;2;3;4;6;12;7;5;8;9;11;10;14;16;13;19;17;20;15;21;22;18;23;24
9;0;1;2;3;4;6;12;7;5;8;9;11;10;14;16;13;19;18;20;15;21;22;17;23;24
10;0;1;2;3;4;6;12;7;5;8;9;11;10;14;16;13;19;18;20;15;21;22;17;23;24
11;0;1;2;3;4;6;20;7;5;8;9;11;10;13;15;12;18;17;19;14;21;22;16;23;24
12;0;1;2;3;4;5;19;6;15;16;7;9;8;11;13;10;18;17;20;12;21;22;14;23;24
13;0;1;2;3;4;5;18;6;15;17;8;9;7;11;13;10;19;16;20;12;21;22;14;23;24
14;0;1;2;3;4;5;15;6;14;16;18;8;7;10;12;9;19;17;20;11;21;22;13;23;24
15;0;5;1;2;3;4;14;6;13;15;18;8;7;10;11;9;16;17;20;19;21;22;12;23;24
16;0;5;3;1;9;2;13;4;12;14;15;7;6;10;17;8;16;22;18;19;20;21;11;23;24
17;0;5;4;1;10;2;13;3;12;14;15;7;6;9;17;8;16;22;23;18;19;20;11;21;24
18;0;4;3;1;9;10;12;2;13;14;15;6;5;8;17;7;16;21;23;18;19;20;11;22;24
19;0;4;2;3;9;10;12;1;13;14;15;6;5;8;17;7;16;20;22;18;19;21;11;23;24
20;0;3;1;2;7;8;11;9;12;13;14;5;4;15;16;6;18;20;21;17;19;23;10;22;24
21;0;3;1;2;7;8;11;9;12;13;14;5;4;15;16;6;18;20;21;17;19;23;10;22;24
