;sc;ALO;WEB;MSC;VET;MAS;RAI;MAL;HAM;GRO;DRE;ROS;RIC;SEN;HUL;PER;BUT;KOB;PET;KOV;GLO;DLR;KAR;VER;PIC
0;0;1;2;3;5;4;7;6;8;12;23;15;17;9;11;10;13;14;np;21;18;19;20;16;22
1;0;1;2;3;5;4;7;6;8;11;23;15;17;9;12;10;14;13;np;19;18;20;21;16;22
2;0;1;2;3;5;4;7;6;8;22;ab;14;16;10;11;9;13;12;np;17;18;19;20;15;21
3;0;1;2;3;5;4;6;7;8;22;ab;14;16;10;11;9;13;12;np;17;18;19;20;15;21
4;0;1;2;3;5;4;6;7;8;22;ab;14;16;10;11;9;13;12;np;17;18;19;20;15;21
5;0;1;2;3;5;4;6;7;8;21;ab;14;16;10;11;9;13;12;np;17;18;19;20;15;22
6;0;1;2;3;5;4;6;7;8;20;ab;14;16;10;11;9;13;12;np;17;18;19;21;15;22
7;0;1;2;3;5;4;6;7;8;19;ab;14;15;10;11;9;13;12;np;17;18;20;21;16;22
8;0;1;2;3;5;4;6;7;8;18;ab;14;15;10;11;9;13;12;np;17;19;20;21;16;22
9;0;1;2;4;3;5;6;7;8;18;ab;14;15;10;11;9;13;12;np;17;19;20;21;16;22
10;0;1;2;5;15;3;6;4;8;17;ab;13;14;9;10;7;12;11;np;18;19;20;21;16;22
11;0;1;2;3;12;4;5;21;6;15;ab;11;13;7;9;ab;10;8;np;16;17;18;19;14;20
12;0;1;2;13;11;3;4;21;5;15;ab;10;12;8;7;ab;9;6;np;18;16;17;20;14;19
13;0;1;2;11;8;10;13;21;3;15;ab;9;12;6;5;ab;7;4;np;17;16;18;19;14;20
14;0;1;4;10;7;9;11;21;2;13;ab;6;12;14;5;ab;8;3;np;17;16;18;19;15;20
15;0;2;4;9;6;8;11;21;1;12;ab;14;10;13;5;ab;7;3;np;17;16;18;19;15;20
16;0;2;3;6;4;5;7;20;1;8;ab;12;14;11;10;ab;13;9;np;17;16;18;21;15;19
17;0;2;3;6;4;5;7;20;1;8;ab;13;14;11;10;ab;12;9;np;17;16;18;21;15;19
18;0;1;3;6;4;5;7;20;2;8;ab;13;14;11;10;ab;12;9;np;16;18;17;21;15;19
19;0;1;3;6;4;5;7;19;2;8;ab;13;14;11;10;ab;12;9;np;16;18;17;21;15;20
20;0;1;3;6;4;5;7;19;2;8;ab;13;14;11;10;ab;12;9;np;16;18;17;21;15;20
21;0;1;2;5;3;4;6;19;7;8;ab;13;14;11;10;ab;12;9;np;16;18;17;21;15;20
22;0;1;2;5;3;4;6;19;7;8;ab;13;14;11;10;ab;12;9;np;16;18;17;21;15;20
23;0;1;2;7;3;4;5;18;6;8;ab;13;14;11;10;ab;12;9;np;16;17;19;21;15;20
24;0;1;2;7;3;4;5;17;6;8;ab;13;14;11;10;ab;12;9;np;16;18;19;21;15;20
25;0;1;2;8;3;4;5;17;6;7;ab;13;14;11;10;ab;12;9;np;16;18;19;21;15;20
26;0;1;2;7;3;4;5;17;6;13;ab;12;14;10;9;ab;11;8;np;16;18;19;21;15;20
27;0;1;2;7;3;4;5;17;6;13;ab;12;14;10;9;ab;11;8;np;16;18;20;21;15;19
28;0;1;2;6;3;4;5;17;12;13;ab;11;14;9;8;ab;10;7;np;16;18;20;21;15;19
29;0;1;2;6;3;4;5;16;11;12;ab;13;15;9;8;ab;10;7;np;17;18;20;21;14;19
30;0;1;2;6;3;4;5;16;10;11;ab;12;15;14;8;ab;9;7;np;17;18;20;21;13;19
31;0;1;2;6;5;3;4;16;9;10;ab;11;15;13;8;ab;14;7;np;17;18;20;21;12;19
32;0;1;2;6;5;3;4;16;9;10;ab;11;14;12;8;ab;13;7;np;17;18;20;21;15;19
33;0;1;4;6;5;2;3;16;9;10;ab;11;14;12;8;ab;13;7;np;17;18;20;21;15;19
34;0;1;3;11;4;2;7;16;9;8;ab;10;14;12;6;ab;13;5;np;17;18;20;21;15;19
35;0;1;2;10;3;4;6;16;8;7;ab;9;15;12;11;ab;13;5;np;17;18;20;21;14;19
36;0;1;2;10;3;4;6;16;8;7;ab;9;15;12;11;ab;13;5;np;17;18;20;21;14;19
37;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
38;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
39;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
40;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
41;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
42;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
43;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
44;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
45;0;1;2;8;3;4;5;16;7;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
46;0;1;2;7;3;4;5;16;8;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
47;0;2;1;7;3;4;5;16;8;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
48;0;2;1;7;3;4;5;16;8;6;ab;15;14;10;9;ab;11;12;np;17;18;20;21;13;19
49;0;2;1;7;3;4;5;16;8;6;ab;15;13;10;9;ab;11;12;np;17;18;20;21;14;19
50;0;2;1;7;3;4;5;16;8;6;ab;15;13;9;12;ab;10;11;np;17;18;20;21;14;19
51;0;2;1;7;3;4;5;16;8;6;ab;15;13;9;12;ab;10;11;np;17;18;20;21;14;19
