;sc;VET;WEB;HAM;MAS;ALO;ROS;RAI;GRO;DRE;BUT;HUL;SUT;VER;RIC;PER;BOT;MAL;GUT;BIA;CHI;VDG;PIC
0;0;1;7;4;2;3;6;5;11;8;9;np;10;14;20;12;13;15;16;17;18;19;21
1;0;1;7;5;2;3;6;4;11;8;9;np;10;14;21;12;13;17;15;16;19;18;20
2;0;1;7;5;2;3;6;4;11;8;9;np;10;14;21;12;13;17;15;16;19;18;20
3;0;1;7;5;2;3;6;4;10;8;21;np;9;12;20;11;14;15;13;16;18;17;19
4;0;1;18;5;2;3;6;4;20;7;19;np;8;10;14;9;12;11;21;13;16;15;17
5;0;1;17;5;2;3;6;4;18;7;15;np;8;10;13;9;19;11;20;12;21;14;16
6;0;9;15;4;1;2;5;3;16;6;14;np;7;10;13;8;19;11;18;12;21;20;17
7;0;9;15;3;7;1;4;2;16;13;14;np;5;8;11;6;18;10;17;12;21;20;19
8;0;6;12;1;8;5;2;7;14;13;11;np;3;15;10;4;17;9;16;18;21;19;20
9;0;5;11;1;6;7;2;8;13;12;10;np;3;15;9;4;17;16;14;18;21;19;20
10;0;4;11;1;5;7;2;8;13;12;10;np;3;15;9;6;16;17;14;18;21;19;20
11;0;4;11;1;5;6;2;7;13;12;10;np;3;15;9;8;16;17;14;18;21;19;20
12;0;3;11;7;4;5;1;6;13;12;10;np;2;14;9;8;16;17;15;18;21;20;19
13;0;2;11;8;3;4;7;5;13;12;10;np;1;14;9;6;16;17;15;18;21;20;19
14;0;2;10;7;3;4;8;5;12;11;9;np;1;13;17;6;15;16;14;18;21;20;19
15;0;2;9;6;3;4;7;5;11;10;8;np;1;12;17;13;15;16;14;18;20;21;19
16;0;2;9;6;3;4;7;5;11;10;8;np;1;12;17;14;15;16;13;18;20;21;19
17;0;2;15;6;3;4;7;5;10;9;8;np;1;11;17;12;14;16;13;18;20;21;19
18;0;2;17;6;3;4;7;5;15;9;8;np;1;10;16;11;13;14;12;18;21;20;19
19;0;2;13;5;3;7;6;4;17;8;14;np;1;9;15;10;12;16;11;18;21;20;19
20;0;6;12;3;1;7;5;2;17;8;16;np;4;9;14;10;13;15;11;18;21;20;19
21;0;7;10;3;1;5;4;2;16;8;15;np;6;9;14;11;13;17;12;18;21;20;19
22;0;6;10;2;4;5;3;1;14;8;13;np;7;9;12;18;15;16;11;17;21;20;19
23;0;5;9;2;7;4;3;1;13;8;12;np;6;14;11;17;18;15;10;16;21;20;19
24;0;5;9;2;7;4;3;1;13;8;12;np;6;14;11;16;17;ab;10;15;20;19;18
25;0;5;9;2;7;4;3;1;13;8;11;np;6;14;10;15;17;ab;12;16;20;19;18
26;0;4;8;2;6;3;ab;1;11;7;10;np;5;12;9;13;15;ab;14;17;19;18;16
27;0;4;8;2;6;3;ab;1;11;7;10;np;5;12;9;13;15;ab;14;17;19;18;16
28;0;4;8;2;6;3;ab;1;11;7;10;np;5;12;9;13;14;ab;15;17;19;18;16
29;0;4;8;2;6;3;ab;1;10;7;9;np;5;11;13;12;14;ab;15;17;19;18;16
30;0;3;8;6;5;2;ab;1;10;7;9;np;4;11;13;12;14;ab;15;17;19;18;16
31;0;3;8;7;5;2;ab;1;10;6;9;np;4;11;13;12;14;ab;15;16;19;18;17
32;0;3;7;6;5;2;ab;1;9;10;8;np;4;11;13;12;14;ab;15;16;19;18;17
33;0;2;7;6;4;1;ab;5;9;11;8;np;3;10;13;12;14;ab;15;16;19;18;17
34;0;2;7;6;4;1;ab;5;9;11;8;np;3;10;13;12;14;ab;15;16;19;18;17
35;0;2;7;6;5;1;ab;4;9;11;8;np;3;10;13;12;14;ab;15;16;19;18;17
36;0;4;7;5;6;1;ab;3;12;9;11;np;2;8;13;10;14;ab;15;16;19;18;17
37;0;5;8;4;6;1;ab;3;13;9;12;np;2;7;11;10;14;ab;15;16;19;18;17
38;0;5;9;4;6;3;ab;2;13;8;12;np;1;7;11;10;14;ab;15;16;19;18;17
39;0;4;9;6;5;3;ab;2;12;8;11;np;1;7;ab;10;14;ab;13;15;18;17;16
40;0;4;9;6;5;3;ab;2;11;8;10;np;1;7;ab;12;14;ab;13;15;18;17;16
41;0;4;8;6;5;3;ab;2;11;9;10;np;1;7;ab;12;14;ab;13;15;18;17;16
42;0;4;8;6;5;3;ab;1;11;9;10;np;2;7;ab;12;14;ab;13;15;18;17;16
43;0;4;7;6;5;3;ab;1;10;8;9;np;2;11;ab;12;14;ab;13;15;18;17;16
44;0;4;7;6;5;3;ab;1;10;8;9;np;2;11;ab;12;14;ab;13;15;18;17;16
45;0;3;7;6;4;2;ab;1;10;8;9;np;5;11;ab;12;14;ab;13;15;18;17;16
46;0;3;7;6;4;2;ab;1;10;8;9;np;5;11;ab;12;14;ab;13;15;17;18;16
47;0;3;7;6;4;2;ab;1;10;8;9;np;5;11;ab;12;14;ab;13;15;17;18;16
48;0;3;7;6;4;2;ab;1;10;8;9;np;5;11;ab;12;14;ab;13;15;17;18;16
49;0;3;7;6;4;2;ab;1;10;8;9;np;5;11;ab;12;14;ab;13;15;17;18;16
50;0;3;6;5;4;2;ab;1;10;8;9;np;7;11;ab;12;14;ab;13;15;17;18;16
51;0;3;6;5;4;2;ab;1;10;8;9;np;7;11;ab;12;14;ab;13;15;17;18;16
52;0;3;6;5;4;2;ab;1;10;8;9;np;7;11;ab;12;14;ab;13;15;17;18;16
53;0;3;6;5;4;2;ab;1;10;8;9;np;7;11;ab;12;14;ab;13;15;17;18;16
54;0;3;6;5;4;2;ab;1;10;8;9;np;7;12;ab;11;14;ab;13;15;17;18;16
55;0;3;6;5;4;2;ab;1;10;8;9;np;7;12;ab;11;14;ab;13;15;17;18;16
56;0;3;6;5;4;2;ab;1;10;8;9;np;7;12;ab;11;14;ab;13;15;17;18;16
57;0;3;6;5;4;2;ab;1;10;8;9;np;7;12;ab;11;14;ab;13;15;17;18;16
