;sc;HAM;VET;GRO;ROS;ALO;RAI;MAS;RIC;PER;WEB;SUT;HUL;BUT;VER;MAL;BOT;GUT;DRE;PIC;VDG;BIA;CHI
0;0;1;2;3;12;4;6;5;9;10;7;14;15;8;16;11;19;17;13;20;18;21;22
1;0;1;2;3;12;4;6;5;9;10;7;15;14;8;16;11;18;17;13;20;19;21;22
2;0;1;2;3;12;4;6;5;9;10;7;15;14;8;16;11;18;17;13;20;19;21;22
3;0;1;2;3;12;4;6;5;9;10;7;15;14;8;16;11;18;17;13;20;19;21;22
4;0;1;2;3;12;4;6;5;9;10;7;15;14;8;16;11;18;17;13;20;19;21;22
5;0;1;2;3;12;4;6;5;9;10;7;15;14;8;16;11;18;17;13;20;19;21;22
6;0;1;2;3;12;4;6;5;9;10;7;15;14;8;16;11;18;17;13;20;19;21;22
7;0;1;2;3;12;4;6;5;9;10;7;15;14;8;18;11;17;16;13;19;20;21;22
8;0;3;1;2;11;4;6;5;9;10;7;14;13;8;21;12;17;16;15;18;22;19;20
9;0;8;1;2;12;3;5;4;10;9;6;13;11;7;21;17;16;14;19;15;22;18;20
10;0;7;2;1;15;3;4;6;16;9;5;10;11;8;19;14;21;12;17;13;22;18;20
11;0;5;7;1;14;2;3;10;16;8;4;9;15;6;18;13;21;11;17;12;22;19;20
12;0;4;6;1;13;7;3;10;16;8;2;9;15;5;18;12;20;11;17;14;22;19;21
13;0;2;4;5;13;6;10;9;15;7;1;8;14;3;17;12;19;11;16;22;20;18;21
14;0;2;4;5;13;6;10;9;15;7;1;8;14;3;17;12;18;11;16;22;20;19;21
15;0;2;4;5;13;6;10;9;15;7;1;8;14;3;17;12;18;11;16;21;20;19;22
16;0;2;4;5;13;6;10;9;15;7;1;8;14;3;17;12;18;11;16;21;19;20;22
17;0;2;4;5;13;6;10;9;15;7;1;8;14;3;17;12;18;11;16;21;19;20;22
18;0;2;4;5;13;6;8;9;15;7;1;10;14;3;17;12;18;11;16;21;19;20;22
19;0;2;4;5;12;6;8;9;14;7;1;ab;13;3;16;11;17;10;15;19;18;20;21
20;0;2;4;5;12;6;8;9;14;7;1;ab;13;3;16;11;17;10;15;19;18;21;20
21;0;2;4;5;12;6;8;9;14;7;1;ab;13;3;16;11;17;10;15;19;18;20;21
22;0;1;4;5;11;6;7;8;14;9;2;ab;13;3;16;10;17;12;15;19;18;20;21
23;0;1;2;3;9;4;7;8;13;12;5;ab;11;6;15;10;17;16;14;19;18;20;21
24;0;1;2;4;9;3;6;7;13;12;5;ab;11;8;15;10;17;16;14;19;18;20;21
25;0;1;2;7;9;3;5;6;13;12;4;ab;11;8;14;10;17;16;15;19;18;20;21
26;0;1;2;7;9;3;5;6;13;12;4;ab;11;8;14;10;16;15;17;19;18;20;21
27;0;1;2;7;9;3;5;6;13;12;4;ab;11;8;14;10;15;16;17;18;19;20;21
28;0;1;2;6;9;3;5;7;12;11;4;ab;10;8;13;14;15;ab;16;17;18;19;20
29;0;1;2;6;12;3;5;7;11;10;4;ab;9;8;14;13;15;ab;16;17;18;19;20
30;0;1;2;6;12;3;5;8;11;10;4;ab;9;7;16;13;14;ab;15;17;18;19;20
31;0;4;1;6;11;2;5;10;12;9;3;ab;8;7;16;13;14;ab;15;17;18;19;20
32;0;4;1;6;11;2;5;10;12;8;3;ab;9;7;16;13;15;ab;14;17;18;19;20
33;0;2;1;6;11;5;4;9;12;8;3;ab;10;7;15;13;16;ab;14;17;18;19;20
34;0;1;6;4;10;7;3;9;12;8;2;ab;11;5;15;13;16;ab;14;17;18;19;20
35;0;1;6;4;10;7;3;9;12;8;2;ab;13;5;15;11;16;ab;14;17;18;19;20
36;0;1;5;4;10;7;3;9;12;8;2;ab;13;6;15;11;16;ab;14;17;18;19;20
37;0;1;4;6;9;5;3;8;12;10;2;ab;13;7;15;11;16;ab;14;18;17;19;20
38;0;1;4;6;9;5;3;8;15;11;2;ab;12;7;14;10;16;ab;13;18;17;19;20
39;0;1;4;6;9;5;3;8;15;11;2;ab;13;7;14;10;16;ab;12;18;17;19;20
40;0;1;4;6;9;5;3;8;15;11;2;ab;14;7;13;10;16;ab;12;18;17;19;20
41;0;1;4;6;9;5;3;8;15;11;2;ab;14;7;13;10;16;ab;12;18;17;19;20
42;0;1;3;5;9;4;6;8;15;11;2;ab;14;7;13;10;ab;ab;12;17;16;18;19
43;0;1;2;5;9;4;6;8;15;11;3;ab;14;7;13;10;ab;ab;12;17;16;18;19
44;0;1;2;5;9;4;6;8;15;11;3;ab;14;7;13;10;ab;ab;12;17;16;18;19
45;0;1;2;5;9;4;6;8;15;11;3;ab;14;7;13;10;ab;ab;12;17;16;18;19
46;0;1;2;5;9;4;6;8;15;11;3;ab;14;7;13;10;ab;ab;12;17;16;18;19
47;0;1;2;7;9;4;5;8;15;11;3;ab;14;6;12;10;ab;ab;13;17;16;18;19
48;0;1;2;7;9;5;4;8;14;11;3;ab;13;6;12;10;ab;ab;15;17;16;18;19
49;0;1;2;6;9;5;4;8;14;11;3;ab;13;7;12;10;ab;ab;15;17;16;18;19
50;0;2;1;6;9;5;4;8;13;10;3;ab;12;7;15;11;ab;ab;14;17;16;18;19
51;0;2;1;6;9;5;4;8;13;10;3;ab;12;7;15;11;ab;ab;14;17;16;18;19
52;0;2;1;6;9;5;4;8;13;10;3;ab;12;7;15;11;ab;ab;14;17;16;18;19
53;0;2;1;6;9;5;4;8;13;10;3;ab;12;7;15;11;ab;ab;14;17;16;18;19
54;0;2;1;6;9;5;4;8;13;10;3;ab;12;7;15;11;ab;ab;14;17;16;18;19
55;0;1;4;6;9;5;3;8;13;10;2;ab;12;7;15;11;ab;ab;14;17;16;18;19
56;0;1;4;6;9;5;3;8;13;10;2;ab;12;7;15;11;ab;ab;14;17;16;18;19
57;0;1;4;6;9;5;3;8;13;10;2;ab;12;7;15;11;ab;ab;14;17;16;18;19
58;0;1;4;6;9;5;3;8;13;10;2;ab;12;7;15;11;ab;ab;14;17;16;18;19
59;0;1;3;6;9;5;2;8;13;10;4;ab;12;7;15;11;ab;ab;14;17;16;18;19
60;0;1;3;6;9;5;2;8;13;10;4;ab;12;7;15;11;ab;ab;14;17;16;18;19
61;0;1;3;6;9;5;2;8;13;10;4;ab;12;7;15;11;ab;ab;14;17;16;18;19
62;0;1;3;6;9;5;2;8;13;10;4;ab;12;7;14;11;ab;ab;15;17;16;18;19
63;0;1;3;6;9;5;2;8;13;10;4;ab;12;7;14;11;ab;ab;15;17;16;18;19
64;0;1;3;6;19;5;2;8;12;9;4;ab;11;7;13;10;ab;ab;14;16;15;17;18
65;0;1;3;6;19;5;2;8;13;9;4;ab;11;7;12;10;ab;ab;14;16;15;17;18
66;0;1;3;6;19;5;2;8;13;9;4;ab;11;7;12;10;ab;ab;18;15;14;16;17
67;0;1;3;6;19;5;2;8;13;9;4;ab;11;7;12;10;ab;ab;18;15;14;16;17
68;0;1;3;6;19;5;2;8;13;9;4;ab;11;7;12;10;ab;ab;18;15;14;16;17
69;0;1;3;6;19;5;2;8;13;9;4;ab;11;7;12;10;ab;ab;18;15;14;16;17
