;sc;HAM;VET;WEB;ROS;DRE;BUT;GRO;RAI;ALO;MAS;HUL;SUT;PER;VDG;BIA;CHI;MAL;VER;RIC;BOT;GUT;PIC
0;0;2;1;6;3;7;4;9;10;5;12;8;13;11;14;20;21;15;16;17;19;18;22
1;0;2;1;6;3;7;4;10;9;5;12;8;13;11;15;20;22;14;16;17;19;18;21
2;0;2;1;6;3;7;4;10;9;5;12;8;13;11;17;20;22;14;15;16;19;18;21
3;0;2;1;6;3;7;5;10;9;4;12;8;13;11;18;20;22;14;15;16;19;17;21
4;0;2;1;5;3;7;6;10;9;4;12;8;13;11;19;20;22;14;15;16;18;17;21
5;0;2;1;5;4;7;6;10;9;3;12;8;13;11;19;21;22;14;15;16;18;17;20
6;0;2;1;5;4;7;6;10;9;3;12;8;13;11;19;21;22;14;15;16;18;17;20
7;0;2;1;5;4;7;6;12;9;3;11;8;13;10;19;20;22;14;15;16;18;17;21
8;0;2;1;5;4;7;6;10;8;3;14;12;11;9;19;20;21;13;15;16;18;17;ab
9;0;2;1;5;4;10;6;9;7;3;17;18;11;8;19;20;21;12;15;13;16;14;ab
10;0;3;1;5;4;16;6;9;7;2;15;17;10;8;18;20;21;13;19;11;14;12;ab
11;0;8;1;3;5;14;4;9;6;2;12;15;16;7;18;20;21;19;17;10;13;11;ab
12;0;7;1;4;9;13;3;6;5;2;12;15;16;8;18;20;21;19;17;10;14;11;ab
13;0;3;1;8;7;13;2;6;5;4;12;14;15;11;19;20;21;18;16;9;17;10;ab
14;0;4;1;7;6;12;2;5;13;3;10;15;14;11;18;21;20;17;16;8;19;9;ab
15;0;4;1;7;5;12;2;6;11;3;8;15;14;10;19;20;21;17;16;13;18;9;ab
16;0;3;1;6;5;11;4;7;10;2;8;14;13;12;19;20;21;16;15;17;18;9;ab
17;0;3;1;5;4;12;7;6;9;2;8;13;11;15;19;20;21;16;14;17;18;10;ab
18;0;3;1;5;4;11;7;6;9;2;8;12;10;17;19;20;21;15;13;16;18;14;ab
19;0;3;1;5;4;11;7;6;9;2;8;12;10;16;19;20;21;14;13;15;18;17;ab
20;0;3;1;5;4;11;6;7;9;2;8;12;10;16;19;20;21;14;13;15;17;18;ab
21;0;3;1;5;4;11;6;9;8;2;7;12;10;16;19;20;21;15;13;14;18;17;ab
22;0;3;1;5;4;10;6;13;8;2;7;11;9;16;19;20;21;15;12;14;18;17;ab
23;0;3;1;5;4;10;6;11;8;2;7;12;9;16;19;20;21;15;14;13;18;17;ab
24;0;3;1;4;5;11;6;10;9;2;7;16;8;14;19;20;21;13;18;12;17;15;ab
25;0;3;1;4;6;14;5;9;ab;2;7;15;8;11;18;19;20;12;16;10;17;13;ab
26;0;5;1;3;6;ab;4;7;ab;2;9;13;12;10;17;18;19;16;14;8;15;11;ab
27;0;5;1;3;6;ab;4;7;ab;2;9;12;11;10;16;18;19;17;13;8;15;14;ab
28;0;5;1;3;6;ab;4;7;ab;2;8;12;11;10;16;18;19;17;13;9;15;14;ab
29;0;4;1;6;5;ab;3;7;ab;2;8;12;11;10;17;18;19;16;13;9;15;14;ab
30;0;4;1;6;5;ab;3;7;ab;2;8;12;11;10;17;18;19;16;13;9;15;14;ab
31;0;4;1;6;5;ab;3;7;ab;2;8;12;11;10;17;18;19;16;13;9;15;14;ab
32;0;4;1;6;5;ab;3;7;ab;2;8;12;10;9;17;18;19;16;13;11;15;14;ab
33;0;3;1;5;4;ab;6;7;ab;2;8;12;10;9;17;18;19;16;11;13;15;14;ab
34;0;3;1;5;4;ab;6;7;ab;2;8;12;9;10;17;18;19;16;11;13;15;14;ab
35;0;3;1;5;4;ab;6;7;ab;2;8;13;9;10;17;18;19;16;11;12;15;14;ab
36;0;3;1;5;4;ab;6;7;ab;2;8;13;9;10;17;18;19;16;11;12;15;14;ab
37;0;3;1;5;4;ab;6;7;ab;2;8;13;9;10;17;18;19;16;12;11;15;14;ab
38;0;3;1;5;4;ab;6;7;ab;2;8;13;9;10;16;18;19;17;12;11;15;14;ab
39;0;3;1;5;4;ab;6;8;ab;2;7;13;9;10;16;18;19;17;12;11;15;14;ab
40;0;3;1;5;4;ab;6;8;ab;2;7;13;9;11;16;18;19;17;12;10;15;14;ab
41;0;3;1;5;4;ab;6;8;ab;2;7;13;9;11;16;18;19;17;12;10;15;14;ab
42;0;3;1;5;4;ab;6;8;ab;2;7;13;9;11;16;18;19;17;12;10;15;14;ab
43;0;3;1;5;4;ab;6;8;ab;2;7;13;9;11;16;18;19;17;12;10;15;14;ab
