;sc;VET;ROS;GRO;WEB;HAM;MAS;ALO;BUT;RIC;GUT;HUL;VER;RAI;PER;SUT;BOT;DRE;MAL;PIC;VDG;BIA;CHI
0;0;1;2;5;4;6;7;3;8;14;11;9;15;13;10;17;19;12;16;21;18;20;22
1;0;1;2;5;4;7;6;3;8;14;11;9;15;12;10;17;19;13;16;21;18;20;22
2;0;1;2;5;4;7;6;3;8;14;11;9;15;12;10;17;19;13;16;21;18;20;22
3;0;1;2;5;4;7;6;3;8;14;11;9;15;12;10;17;19;13;16;21;18;20;22
4;0;1;2;5;4;7;6;3;8;14;12;9;15;11;10;17;19;13;16;21;18;20;22
5;0;1;2;5;4;7;6;3;8;14;12;9;15;11;10;17;19;13;16;21;18;20;22
6;0;1;2;5;4;7;6;3;8;14;12;9;15;11;10;17;19;13;16;21;18;20;22
7;0;1;2;5;4;7;6;3;8;14;12;9;15;11;10;17;19;13;16;21;18;20;22
8;0;1;2;5;4;7;6;3;8;14;12;9;15;11;10;17;19;13;16;21;18;20;22
9;0;1;2;5;4;7;6;3;8;14;11;9;15;13;10;17;19;12;16;20;18;22;21
10;0;1;2;5;4;7;6;3;8;12;13;9;17;19;10;15;18;11;14;20;16;22;21
11;0;1;2;5;4;6;9;3;7;12;18;8;19;16;10;17;15;11;13;20;14;22;21
12;0;1;2;4;6;5;13;3;8;11;15;9;18;14;7;19;17;10;12;20;16;22;21
13;0;1;2;3;8;5;11;4;12;9;15;14;16;13;7;17;19;6;10;20;18;22;21
14;0;1;2;3;7;4;8;6;9;11;15;13;16;10;14;17;19;5;12;20;18;22;21
15;0;1;2;6;5;7;8;4;9;17;13;11;15;10;12;16;19;3;14;20;18;22;21
16;0;1;2;6;5;7;8;4;9;16;13;11;14;10;12;15;18;3;17;20;19;22;21
17;0;1;2;6;5;7;8;4;9;16;13;12;14;10;11;15;18;3;17;20;19;22;21
18;0;1;2;6;5;7;8;4;9;16;13;12;14;10;11;15;18;3;17;20;19;22;21
19;0;1;2;5;4;6;8;3;9;16;13;12;14;10;11;15;18;7;17;20;19;22;21
20;0;1;2;5;4;6;7;3;8;16;12;11;14;9;10;15;18;13;17;20;19;22;21
21;0;1;2;5;4;6;7;3;8;16;12;11;14;9;10;15;18;13;17;20;19;22;21
22;0;1;2;5;4;6;7;3;8;16;12;11;14;9;10;15;18;13;17;20;19;22;21
23;0;1;2;5;4;6;7;3;8;ab;12;11;15;9;10;14;17;13;16;19;18;21;20
24;1;1;2;6;3;4;7;5;8;ab;13;11;15;9;10;14;18;12;17;19;16;21;20
25;1;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;16;18;7;17;19;15;21;20
26;1;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;15;17;7;16;19;18;21;20
27;1;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;15;17;7;16;19;18;21;20
28;1;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;15;17;7;16;19;18;21;20
29;1;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;15;17;7;16;19;18;21;20
30;0;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;15;17;7;16;19;18;21;20
31;0;1;2;6;3;4;8;5;9;ab;14;12;13;10;11;15;17;7;16;19;18;21;20
32;0;1;2;15;3;4;7;5;8;ab;13;11;12;9;10;14;18;6;16;19;17;21;20
33;0;1;2;21;3;4;7;5;8;ab;13;11;12;9;10;14;17;6;15;18;16;20;19
34;0;1;2;21;3;4;7;5;8;ab;14;11;12;9;10;13;17;6;15;18;16;20;19
35;0;1;2;21;3;4;7;5;8;ab;14;11;12;9;10;13;17;6;15;18;16;20;19
36;0;1;2;21;3;4;7;5;8;ab;14;11;12;9;10;13;17;6;15;18;16;20;19
37;0;1;2;ab;3;4;7;5;8;ab;14;11;12;9;10;13;17;6;15;18;16;20;19
38;0;1;2;ab;3;4;7;5;8;ab;13;11;15;9;10;12;16;6;14;18;17;20;19
39;0;1;2;ab;11;3;6;4;7;ab;12;10;18;8;9;13;15;5;14;17;16;20;19
40;0;1;6;ab;13;2;5;3;7;ab;11;10;16;8;9;18;14;4;12;17;15;20;19
41;0;1;12;ab;11;2;9;3;4;ab;10;7;13;5;6;14;15;8;17;16;18;20;19
42;0;1;10;ab;9;4;12;2;3;ab;8;7;13;5;6;14;17;11;15;16;18;20;19
43;0;1;9;ab;8;10;12;2;3;ab;7;6;13;4;5;14;17;11;15;16;18;20;19
44;0;1;9;ab;8;10;12;2;3;ab;7;6;13;4;5;14;17;11;15;16;18;20;19
45;0;1;9;ab;8;10;12;2;3;ab;7;6;13;4;5;14;17;11;15;16;18;20;19
46;0;1;9;ab;8;10;12;2;3;ab;7;6;13;4;5;14;17;11;15;16;18;20;19
47;0;1;9;ab;8;10;12;2;3;ab;7;6;13;4;5;14;17;11;15;16;18;20;19
48;0;1;8;ab;7;9;12;2;3;ab;10;6;13;4;5;14;17;11;15;16;18;20;19
49;0;1;8;ab;7;9;11;2;3;ab;12;6;13;4;5;14;16;10;15;17;18;20;19
50;0;1;8;ab;7;9;11;2;3;ab;12;6;13;4;5;14;16;10;15;17;18;20;19
51;0;1;8;ab;7;9;11;2;3;ab;12;6;14;4;5;13;16;10;15;17;18;20;19
52;0;1;8;ab;7;9;11;2;3;ab;12;6;14;4;5;13;16;10;15;17;18;20;19
53;0;1;8;ab;6;9;11;2;4;ab;13;7;14;3;5;12;16;10;15;19;17;20;18
54;0;1;7;ab;5;8;9;2;4;ab;12;10;13;3;6;11;15;20;14;19;16;18;17
55;0;1;7;ab;4;8;9;2;5;ab;12;10;13;3;6;11;15;20;14;19;16;18;17
56;0;1;5;ab;4;7;9;2;6;ab;12;10;13;3;8;11;15;20;14;19;16;18;17
57;0;1;5;ab;4;6;7;2;8;ab;12;10;14;3;9;11;15;20;13;19;16;18;17
58;0;1;5;ab;4;6;7;2;8;ab;13;10;14;3;9;11;15;20;12;19;16;18;17
59;0;1;4;ab;6;5;7;2;8;ab;13;10;14;3;9;11;15;20;12;19;16;18;17
60;0;1;4;ab;15;5;6;2;7;ab;12;9;14;3;8;10;13;20;11;19;16;18;17
