;sc;VET;HAM;GRO;ROS;ALO;MAS;HUL;GUT;RAI;PER;BUT;RIC;WEB;SUT;DRE;VER;BOT;MAL;PIC;VDG;CHI;BIA
0;0;1;3;2;4;6;21;5;14;8;11;10;7;12;18;13;16;17;9;19;15;22;20
1;0;1;3;2;4;6;20;5;14;8;11;10;7;12;18;13;15;17;9;19;16;22;21
2;0;1;3;2;4;6;18;5;14;8;12;10;7;11;22;13;15;16;9;19;17;21;20
3;0;1;3;2;4;6;17;5;13;7;11;15;8;10;22;12;14;16;9;19;18;21;20
4;0;1;3;2;4;6;16;5;13;7;11;21;8;10;22;12;14;15;9;18;17;20;19
5;0;1;3;2;4;6;16;5;13;7;11;21;8;9;22;12;14;15;10;18;17;20;19
6;0;1;3;2;4;6;21;5;15;7;10;20;8;9;22;13;12;14;11;17;16;19;18
7;0;1;3;2;4;6;21;5;20;7;10;16;9;8;22;19;11;12;17;14;13;18;15
8;0;1;3;2;4;8;20;5;19;6;10;13;9;7;21;17;11;22;14;15;12;18;16
9;0;1;8;2;3;11;17;6;16;4;9;12;7;5;20;14;10;21;13;22;15;18;19
10;0;1;6;5;7;10;16;9;15;3;13;11;4;2;18;14;8;19;12;20;21;17;22
11;0;1;4;3;6;8;16;7;15;9;13;10;5;2;17;14;11;18;12;20;22;19;21
12;0;1;3;2;5;7;15;6;14;8;12;10;4;9;16;13;18;17;11;19;22;21;20
13;0;1;3;2;5;7;15;6;14;8;12;10;4;9;16;13;18;17;11;19;22;21;20
14;0;1;3;2;5;7;15;6;14;8;11;10;4;9;16;13;18;17;12;19;22;21;20
15;0;1;3;2;5;7;15;6;14;8;11;10;4;9;16;13;18;17;12;19;22;21;20
16;0;1;3;2;5;7;15;6;14;8;11;10;4;9;16;13;18;17;12;19;22;21;20
17;0;1;3;2;4;6;15;5;14;7;11;10;9;8;16;13;18;17;12;19;22;21;20
18;0;1;3;2;4;6;15;5;14;7;10;9;13;8;16;12;18;17;11;19;22;21;20
19;0;1;3;2;4;6;15;5;14;7;10;9;13;8;16;12;18;17;11;19;22;21;20
20;0;1;3;2;4;6;15;5;14;7;10;9;13;8;16;12;18;17;11;19;22;21;20
21;0;1;3;2;4;6;15;5;14;7;9;10;12;8;16;13;18;17;11;19;22;21;20
22;0;1;3;2;4;6;12;5;13;7;9;17;10;8;14;15;18;16;11;19;22;21;20
23;0;1;3;2;4;6;11;5;12;7;9;14;10;8;13;18;17;15;16;19;22;21;20
24;0;1;3;2;4;6;11;5;12;8;9;14;10;7;13;ab;18;15;16;17;21;20;19
25;0;1;3;2;4;6;11;7;12;10;8;14;9;5;13;ab;18;15;16;17;21;20;19
26;0;1;3;2;4;6;11;10;12;8;7;14;9;5;13;ab;18;16;15;17;21;20;19
27;0;1;3;2;4;6;11;9;12;8;7;13;10;5;14;ab;18;16;15;17;21;20;19
28;0;1;4;2;12;9;13;7;10;6;5;11;8;3;15;ab;17;18;14;16;21;20;19
29;0;1;6;2;12;8;15;7;11;5;4;10;9;3;14;ab;16;18;13;17;21;20;19
30;1;1;4;2;10;6;15;5;11;3;12;7;8;9;14;ab;16;17;13;18;20;21;19
31;1;1;4;2;8;6;14;5;13;3;15;7;10;11;12;ab;16;17;9;18;20;21;19
32;1;1;4;2;8;6;14;5;13;3;15;7;10;11;12;ab;16;17;9;18;20;21;19
33;1;1;4;2;8;6;14;5;13;3;15;7;10;11;12;ab;16;17;9;18;20;21;19
34;1;1;4;2;8;6;14;5;13;3;15;7;10;11;12;ab;16;17;9;18;20;21;19
35;1;1;4;2;8;6;14;5;13;3;15;7;10;11;12;ab;16;17;9;18;20;21;19
36;0;1;5;2;8;6;12;4;11;3;13;7;10;ab;20;ab;14;15;9;16;17;19;18
37;1;1;5;3;8;6;12;4;11;2;13;7;10;ab;20;ab;18;14;9;15;16;19;17
38;1;1;5;3;8;6;12;4;11;2;13;7;10;ab;20;ab;19;14;9;15;16;18;17
39;1;1;5;3;8;6;12;4;11;2;13;7;10;ab;20;ab;19;14;9;15;16;18;17
40;0;1;5;3;8;6;12;4;11;2;13;7;9;ab;20;ab;18;14;10;15;17;19;16
41;0;1;5;3;8;6;12;4;11;2;13;7;9;ab;20;ab;17;14;10;15;18;19;16
42;0;1;5;3;8;6;12;4;11;2;13;7;9;ab;20;ab;16;14;10;15;18;19;17
43;0;1;5;3;8;6;12;4;11;2;13;7;9;ab;20;ab;16;14;10;15;18;19;17
44;0;1;5;3;8;6;10;4;11;2;12;7;9;ab;20;ab;15;13;14;16;17;19;18
45;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
46;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
47;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
48;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
49;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
50;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
51;0;1;5;3;8;6;10;4;12;2;11;7;9;ab;20;ab;15;13;14;16;17;19;18
52;0;1;5;3;7;6;9;4;11;2;10;8;19;ab;20;ab;17;12;13;14;15;18;16
53;0;1;5;3;7;6;9;4;11;2;10;8;19;ab;20;ab;18;12;13;14;15;17;16
54;0;1;5;3;7;6;9;4;11;2;10;8;19;ab;20;ab;18;12;13;14;15;17;16
