;sc;WEB;VET;HAM;GRO;MAS;ROS;HUL;ALO;RAI;BUT;PER;DRE;BOT;GUT;MAL;RIC;VER;CHI;VDG;PIC;BIA;SUT
0;0;2;3;20;1;5;4;7;6;11;10;8;12;13;9;15;14;17;18;ab;19;ab;16
1;0;2;3;20;1;5;4;7;6;11;10;8;12;13;9;15;14;17;18;ab;19;ab;16
2;0;2;3;20;1;5;4;7;6;11;10;8;12;13;9;15;14;17;18;ab;19;ab;16
3;0;2;3;20;1;5;4;7;6;11;10;8;12;13;9;15;14;17;18;ab;19;ab;16
4;0;2;3;20;1;5;4;7;6;11;10;8;12;13;9;15;14;17;18;ab;19;ab;16
5;0;2;3;20;1;5;4;7;6;11;10;8;12;13;9;15;14;17;18;ab;19;ab;16
6;0;2;3;20;1;5;4;7;6;10;11;8;12;14;9;15;13;17;18;ab;19;ab;16
7;0;2;3;ab;1;5;4;7;6;10;13;8;11;15;9;14;12;18;17;ab;19;ab;16
8;0;2;3;ab;1;5;4;7;6;9;15;8;11;16;10;13;12;18;14;ab;19;ab;17
9;0;2;3;ab;1;5;4;8;6;9;13;7;11;15;12;16;10;18;14;ab;19;ab;17
10;0;3;2;ab;1;6;4;10;5;8;12;7;14;13;11;15;9;17;18;ab;19;ab;16
11;0;6;2;ab;1;9;3;8;4;11;12;5;14;13;10;15;7;17;19;ab;18;ab;16
12;0;4;1;ab;3;8;6;7;2;10;11;12;14;13;9;15;5;17;19;ab;18;ab;16
13;0;3;1;ab;2;7;5;6;8;10;12;11;14;13;9;15;4;17;19;ab;18;ab;16
14;0;2;3;ab;1;7;5;6;8;10;12;11;14;13;9;15;4;17;19;ab;18;ab;16
15;0;2;3;ab;1;6;7;5;8;10;12;11;14;13;9;15;4;17;19;ab;18;ab;16
16;0;2;3;ab;1;6;12;5;7;9;11;10;14;13;8;15;4;17;19;ab;18;ab;16
17;0;2;3;ab;1;6;12;5;7;9;11;10;14;13;8;15;4;17;18;ab;19;ab;16
18;0;2;3;ab;1;6;12;5;7;9;11;10;14;13;8;15;4;17;18;ab;19;ab;16
19;0;2;3;ab;1;7;12;4;6;9;11;10;14;13;8;15;5;17;18;ab;19;ab;16
20;0;2;3;ab;1;6;12;4;5;7;11;9;14;13;8;15;10;17;18;ab;19;ab;16
21;0;2;3;ab;1;6;10;4;5;7;11;9;13;12;8;14;16;17;18;ab;19;ab;15
22;0;2;3;ab;1;6;10;4;5;7;11;9;13;12;8;14;16;17;18;ab;19;ab;15
23;0;2;3;ab;1;6;10;4;5;7;16;9;12;11;8;13;15;17;18;ab;19;ab;14
24;0;2;3;ab;1;6;15;4;5;7;16;9;11;10;8;12;14;17;18;ab;19;ab;13
25;0;3;2;ab;1;6;15;4;5;7;16;9;12;10;8;11;13;17;18;ab;19;ab;14
26;0;3;2;ab;1;6;13;4;5;7;15;9;17;10;8;11;12;16;18;ab;19;ab;14
27;0;3;2;ab;1;7;11;4;5;6;13;9;15;16;8;12;10;14;18;ab;19;ab;17
28;0;3;1;ab;2;9;11;5;4;6;12;8;14;15;7;17;10;13;18;ab;19;ab;16
29;0;2;1;ab;3;9;11;7;4;5;12;8;14;15;6;17;10;13;19;ab;18;ab;16
30;0;2;1;ab;3;7;9;5;6;4;10;13;14;15;12;17;8;11;19;ab;18;ab;16
31;0;2;1;ab;3;6;8;4;5;7;10;13;14;15;12;17;9;11;19;ab;18;ab;16
32;0;2;1;ab;3;6;8;4;5;7;9;12;14;15;11;17;13;10;19;ab;18;ab;16
33;0;2;1;ab;3;7;8;4;5;6;9;12;14;15;11;17;13;10;19;ab;18;ab;16
34;0;2;1;ab;3;11;7;4;5;6;8;12;14;16;10;17;13;9;19;ab;18;ab;15
35;0;2;1;ab;3;11;7;4;5;6;8;12;14;16;10;17;13;9;18;ab;19;ab;15
36;0;2;1;ab;3;11;7;4;5;6;8;12;14;16;10;17;13;9;18;ab;19;ab;15
37;0;1;3;ab;2;10;7;4;5;6;8;11;14;16;9;17;13;12;18;ab;19;ab;15
38;0;1;3;ab;2;10;7;4;5;6;8;11;13;15;9;16;12;17;18;ab;19;ab;14
39;0;1;3;ab;2;9;11;4;5;6;7;10;13;15;8;16;12;17;18;ab;19;ab;14
40;0;1;2;ab;3;8;10;4;5;6;14;9;12;15;7;16;11;17;18;ab;19;ab;13
41;0;1;2;ab;3;8;9;4;5;6;13;11;12;15;7;16;10;17;18;ab;19;ab;14
42;0;3;1;ab;2;8;9;4;5;6;12;17;11;14;7;15;10;16;18;ab;19;ab;13
43;0;3;1;ab;2;8;9;4;5;6;11;17;10;14;7;15;12;16;18;ab;19;ab;13
44;0;3;1;ab;2;9;8;4;5;6;11;16;10;13;7;14;17;15;18;ab;19;ab;12
45;0;3;1;ab;2;9;8;5;4;6;11;16;10;13;7;14;17;15;19;ab;18;ab;12
46;0;3;1;ab;2;9;8;5;4;6;10;17;11;13;7;15;16;14;19;ab;18;ab;12
47;0;3;1;ab;2;9;8;5;4;6;10;17;11;13;7;16;15;14;19;ab;18;ab;12
48;0;3;1;ab;2;9;8;5;4;6;10;16;11;13;7;17;15;14;19;ab;18;ab;12
49;0;3;1;ab;2;9;8;5;4;6;10;16;11;15;7;17;14;13;19;ab;18;ab;12
50;0;3;1;ab;2;9;8;6;4;5;10;16;11;15;7;17;13;12;19;ab;18;ab;14
51;0;2;1;ab;3;10;8;6;4;5;9;15;11;17;7;16;13;12;19;ab;18;ab;14
52;0;2;1;ab;3;10;8;6;4;5;9;15;11;17;7;16;13;12;19;ab;18;ab;14
