;sc;WEB;VET;ROS;HAM;HUL;GRO;MAS;PER;RIC;ALO;DRE;BUT;VER;MAL;BOT;GUT;SUT;VDG;PIC;CHI;BIA;RAI
0;0;3;1;2;5;6;4;7;9;16;8;10;15;12;11;17;13;14;19;18;21;20;ab
1;0;3;1;2;5;6;4;7;9;15;8;10;19;12;11;18;13;14;17;16;21;20;ab
2;0;3;1;2;5;6;4;7;9;15;8;10;21;12;11;18;14;13;17;16;20;19;ab
3;0;3;1;2;5;6;4;7;9;15;8;10;21;12;11;18;14;13;17;16;20;19;ab
4;0;3;1;2;5;6;4;7;9;15;8;10;21;11;12;18;14;13;17;16;20;19;ab
5;0;3;1;2;5;6;4;7;10;14;8;9;20;11;19;17;13;12;16;15;18;21;ab
6;0;3;1;2;5;6;4;7;17;13;8;9;19;10;18;15;12;11;16;14;21;20;ab
7;0;3;1;2;12;5;4;6;15;17;7;8;18;9;16;13;11;10;19;14;21;20;ab
8;0;9;1;2;12;4;11;3;14;16;5;6;17;7;15;13;10;8;19;18;21;20;ab
9;0;8;1;2;11;12;9;3;14;16;4;5;17;6;15;13;10;7;19;18;21;20;ab
10;0;8;1;6;11;12;9;2;14;16;3;4;17;5;15;13;10;7;19;18;21;20;ab
11;0;8;1;6;11;12;9;2;14;16;3;4;19;5;15;13;10;7;18;17;21;20;ab
12;0;8;1;6;11;12;9;2;14;16;3;4;19;5;15;13;10;7;18;17;21;20;ab
13;0;7;1;6;11;12;9;2;14;16;3;4;19;5;15;13;10;8;18;17;21;20;ab
14;0;7;1;5;11;12;9;2;14;16;3;4;19;6;15;13;10;8;18;17;21;20;ab
15;0;6;1;5;11;12;9;2;14;16;4;3;18;7;15;13;10;8;19;17;21;20;ab
16;0;5;1;4;10;11;8;2;13;16;14;3;17;7;15;12;9;6;19;18;21;20;ab
17;0;5;1;4;8;9;6;2;12;16;13;3;17;15;14;11;10;7;19;18;21;20;ab
18;0;4;1;3;7;9;5;8;11;15;12;2;17;14;13;10;16;6;19;18;21;20;ab
19;0;2;1;3;7;9;5;8;11;15;12;4;17;14;13;10;16;6;19;18;21;20;ab
20;0;2;1;3;6;8;4;7;11;15;10;13;17;14;12;9;16;5;19;18;21;20;ab
21;0;2;1;3;6;8;4;7;11;15;9;13;17;14;12;10;16;5;19;18;21;20;ab
22;0;2;1;3;6;8;4;7;11;15;9;13;17;14;12;10;16;5;18;19;21;20;ab
23;0;2;1;3;6;8;4;7;10;15;9;13;17;14;11;12;16;5;18;19;21;20;ab
24;0;2;1;3;7;8;4;6;10;14;9;11;17;13;12;16;15;5;18;19;21;20;ab
25;0;2;1;3;7;9;4;5;10;13;8;11;17;12;16;15;14;6;18;19;21;20;ab
26;0;2;1;3;6;9;4;5;10;14;8;11;17;12;16;15;13;7;18;19;21;20;ab
27;0;2;1;3;6;14;4;5;16;12;7;9;17;10;15;13;11;8;18;19;21;20;ab
28;0;2;1;3;6;12;4;5;14;17;7;8;16;9;15;11;10;13;18;19;21;20;ab
29;0;2;1;3;10;12;4;5;14;17;6;7;16;8;15;11;9;13;18;19;21;20;ab
30;0;2;1;3;9;11;4;5;13;17;6;7;15;8;14;10;16;12;18;19;21;20;ab
31;0;2;1;3;9;11;4;5;13;17;6;7;15;8;14;10;16;12;18;19;20;21;ab
32;0;2;1;3;9;11;4;5;13;17;6;7;15;8;14;10;16;12;18;19;21;20;ab
33;0;3;1;4;9;11;2;5;13;17;6;7;15;8;14;10;16;12;18;19;21;20;ab
34;0;3;1;4;9;17;2;5;12;16;6;7;14;8;13;10;15;11;18;19;21;20;ab
35;0;3;1;4;9;17;2;5;12;16;6;7;14;8;13;10;15;11;18;19;21;20;ab
36;0;3;1;4;9;17;2;5;12;16;6;7;14;8;13;10;15;11;18;19;21;20;ab
37;0;2;1;3;9;17;4;6;12;16;5;7;14;8;13;10;15;11;18;19;21;20;ab
38;0;2;1;3;8;17;4;9;12;16;5;6;14;7;13;10;15;11;18;19;21;20;ab
39;0;2;1;3;8;17;4;9;12;16;5;6;14;7;13;10;15;11;18;19;21;20;ab
40;0;2;1;3;8;17;4;9;12;16;5;6;14;7;13;10;15;11;18;19;21;20;ab
41;0;2;1;3;8;17;4;9;12;16;5;6;14;7;13;10;15;11;18;19;21;20;ab
42;0;2;1;3;8;17;4;9;12;16;5;6;14;7;13;10;15;11;18;19;21;20;ab
43;0;2;1;3;7;17;4;9;12;16;5;6;14;8;13;10;15;11;18;19;21;20;ab
44;0;2;1;3;6;17;4;9;11;16;7;5;14;8;13;12;15;10;18;19;21;20;ab
45;0;2;1;3;6;16;4;8;11;15;7;5;13;9;12;17;14;10;18;19;21;20;ab
46;0;2;1;3;6;16;4;8;11;15;7;5;13;10;12;17;14;9;18;19;21;20;ab
47;0;2;1;3;6;16;4;8;10;15;7;5;13;11;12;17;14;9;18;19;21;20;ab
48;0;2;1;3;6;16;4;8;10;15;7;5;13;12;11;17;14;9;18;19;21;20;ab
49;0;2;1;3;7;16;4;8;10;15;6;5;12;14;11;17;13;9;18;19;21;20;ab
50;0;2;1;3;7;14;4;8;10;15;5;6;12;17;11;16;13;9;18;19;21;20;ab
51;0;2;1;3;7;14;4;8;10;15;5;6;12;17;11;16;13;9;18;19;21;20;ab
52;0;2;1;3;7;14;4;8;10;16;5;6;12;17;11;15;13;9;18;19;21;20;ab
53;0;2;1;3;7;14;4;8;10;16;5;6;12;17;11;15;13;9;18;19;21;20;ab
54;0;2;1;3;7;14;4;8;9;16;5;6;12;17;11;15;13;10;18;19;21;20;ab
