;sc;VET;MAS;ALO;HAM;WEB;ROS;BUT;SUT;PER;RAI;GRO;HUL;RIC;GUT;DRE;MAL;VER;BOT;BIA;PIC;CHI;VDG
0;0;1;6;2;4;3;7;5;9;8;12;13;10;11;16;14;15;18;22;20;17;21;19
1;0;1;6;ab;3;2;5;4;8;7;11;12;9;10;15;13;14;16;21;19;17;20;18
2;0;1;6;ab;3;2;4;5;8;7;11;12;9;10;15;13;14;16;20;19;17;21;18
3;0;1;6;ab;3;2;4;5;9;7;12;11;8;10;14;13;15;16;20;19;17;21;18
4;0;2;8;ab;3;1;4;5;9;7;12;10;6;11;14;13;16;15;20;19;17;21;18
5;0;7;20;ab;2;1;3;4;9;6;13;8;5;12;10;14;16;11;19;18;15;21;17
6;0;6;12;ab;3;1;2;4;17;7;14;8;5;13;9;20;15;10;19;18;11;21;16
7;0;3;7;ab;4;2;1;5;15;8;11;10;6;9;13;18;12;20;17;16;21;19;14
8;0;2;7;ab;3;1;4;5;14;8;10;9;6;11;13;15;12;20;18;17;21;19;16
9;0;2;7;ab;3;1;4;5;14;8;10;9;6;11;13;15;12;20;16;18;21;19;17
10;0;2;7;ab;3;1;4;5;15;9;10;8;6;11;13;14;12;20;16;18;21;19;17
11;0;2;7;ab;3;1;4;5;15;9;10;8;6;11;13;14;12;20;16;18;21;19;17
12;0;2;7;ab;3;1;4;5;14;9;10;8;6;11;12;13;19;18;15;17;21;20;16
13;0;2;7;ab;3;1;4;5;14;9;10;8;6;11;12;13;21;18;15;17;20;19;16
14;0;2;7;ab;3;1;4;5;13;9;10;8;6;11;14;12;21;18;15;17;20;19;16
15;0;2;7;ab;3;1;4;5;13;10;9;8;6;11;14;12;21;18;15;17;20;19;16
16;0;2;7;ab;3;1;4;5;13;10;9;8;6;11;14;12;21;17;15;18;20;19;16
17;0;2;7;ab;3;1;4;5;13;10;9;8;6;11;14;12;21;16;15;20;19;18;17
18;0;1;7;ab;3;2;4;5;12;10;9;8;6;13;14;11;21;16;15;19;17;18;20
19;0;1;8;ab;2;5;3;4;12;10;7;9;6;15;13;11;20;16;14;18;17;21;19
20;0;1;10;ab;3;4;2;5;9;8;7;11;6;14;12;21;18;15;13;16;20;19;17
21;0;1;7;ab;4;3;2;5;11;6;10;8;9;14;12;21;18;15;13;16;20;19;17
22;0;2;6;ab;3;1;4;5;20;10;9;7;8;11;12;ab;17;13;14;15;19;18;16
23;0;2;6;ab;3;1;4;5;20;10;9;7;8;11;12;ab;16;13;14;15;19;18;17
24;0;2;6;ab;3;1;4;5;20;10;9;7;8;11;12;ab;16;13;14;15;19;18;17
25;0;2;6;ab;3;1;4;5;20;10;9;7;8;11;12;ab;16;14;13;15;19;18;17
26;0;2;6;ab;3;1;4;5;20;10;9;7;8;11;12;ab;16;15;13;14;19;18;17
27;0;2;6;ab;3;1;4;5;ab;10;9;7;8;11;12;ab;16;14;13;15;19;18;17
28;0;2;6;ab;3;1;4;5;ab;10;9;7;8;11;12;ab;16;14;13;15;18;17;19
29;0;2;6;ab;4;1;3;5;ab;10;9;7;8;11;12;ab;15;14;13;16;18;17;19
30;0;1;6;ab;5;2;3;4;ab;10;9;7;8;11;12;ab;15;14;13;16;17;18;19
31;0;1;6;ab;4;3;5;2;ab;10;9;7;8;11;12;ab;15;14;13;16;17;19;18
32;0;4;7;ab;3;2;5;1;ab;10;9;6;8;12;11;ab;16;14;13;15;18;19;17
33;0;4;9;ab;3;2;5;1;ab;10;8;6;7;14;11;ab;16;13;12;15;18;19;17
34;0;3;7;ab;2;1;4;5;ab;8;10;6;9;14;11;ab;16;13;12;15;18;19;17
35;0;3;5;ab;2;1;4;14;ab;7;9;6;8;13;11;ab;16;12;10;15;18;19;17
36;0;3;5;ab;2;1;4;14;ab;7;9;6;8;12;13;ab;16;11;10;15;18;19;17
37;0;3;5;ab;2;1;4;14;ab;7;9;6;8;12;13;ab;16;11;10;15;18;19;17
38;0;2;5;ab;3;1;4;14;ab;7;9;6;8;12;13;ab;16;11;10;15;18;19;17
39;0;2;5;ab;3;1;4;14;ab;7;9;6;8;12;13;ab;16;11;10;15;18;19;17
40;0;2;5;ab;4;1;3;14;ab;7;8;6;9;11;12;ab;16;10;13;15;18;19;17
41;0;2;5;ab;4;1;3;14;ab;7;8;6;9;11;12;ab;16;10;13;15;17;19;18
42;0;2;5;ab;3;1;4;14;ab;7;8;6;9;11;12;ab;15;10;13;16;17;19;18
43;0;2;5;ab;4;1;3;14;ab;7;8;6;9;11;10;ab;15;13;12;16;17;19;18
44;0;2;5;ab;3;1;4;14;ab;7;8;6;9;11;10;ab;15;13;12;16;17;19;18
45;0;1;5;ab;3;2;4;14;ab;7;8;6;9;11;10;ab;ab;12;13;15;16;18;17
46;0;1;5;ab;3;2;4;14;ab;7;8;6;9;11;10;ab;ab;12;13;15;16;18;17
47;0;1;8;ab;3;2;4;14;ab;7;6;5;9;12;10;ab;ab;11;13;15;16;18;17
48;0;1;6;ab;3;2;4;14;ab;8;7;5;9;13;10;ab;ab;11;12;15;16;18;17
49;0;1;6;ab;3;2;4;13;ab;8;7;5;9;14;10;ab;ab;11;12;15;16;18;17
50;0;1;6;ab;3;2;4;13;ab;8;7;5;9;14;12;ab;ab;10;11;15;16;18;17
51;0;1;6;ab;3;2;4;12;ab;8;7;5;9;18;13;ab;ab;10;11;14;15;17;16
52;0;1;5;ab;3;2;4;12;ab;8;7;6;9;18;13;ab;ab;10;11;14;15;17;16
53;0;1;5;ab;3;2;4;17;ab;9;7;6;8;18;12;ab;ab;10;11;13;14;16;15
54;0;1;5;ab;3;2;4;17;ab;9;7;6;8;18;12;ab;ab;10;11;13;14;16;15
55;0;1;5;ab;3;2;4;17;ab;9;7;6;8;18;12;ab;ab;10;11;13;14;16;15
