;sc;ROS;HAM;VET;WEB;RAI;ALO;PER;SUT;BUT;VER;HUL;RIC;GRO;BOT;VDG;MAL;DRE;PIC;GUT;BIA;MAS;CHI
0;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
1;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
2;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
3;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
4;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
5;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
6;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;22;21;15;16;17;20;18;19
7;0;1;2;3;4;5;6;7;9;8;10;11;13;14;12;21;20;15;ab;16;19;17;18
8;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;19;ab;15;18;16;17
9;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;19;ab;15;18;16;17
10;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;19;ab;15;18;16;17
11;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;19;ab;15;18;16;17
12;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;19;ab;15;18;16;17
13;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;19;ab;15;18;16;17
14;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;18;ab;15;19;16;17
15;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;18;ab;15;19;16;17
16;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;18;ab;15;19;16;17
17;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;17;ab;15;19;16;18
18;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;17;ab;15;19;16;18
19;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;17;ab;15;19;16;18
20;0;1;2;3;4;5;6;8;9;7;10;11;13;14;12;21;20;17;ab;15;19;16;18
21;0;1;2;3;4;5;6;8;9;7;10;11;19;13;12;20;18;16;ab;14;21;15;17
22;0;1;2;3;4;5;6;8;9;7;10;11;18;13;12;20;17;16;ab;14;21;15;19
23;0;1;2;3;4;5;6;8;9;7;10;11;18;13;12;21;17;16;ab;14;20;15;19
24;0;1;2;3;11;4;5;7;8;6;9;10;18;13;12;21;17;16;ab;14;20;15;19
25;0;1;2;3;9;10;4;5;6;11;7;8;17;13;12;21;16;15;ab;14;20;19;18
26;0;1;2;3;8;9;4;5;6;10;7;15;17;12;11;21;16;14;ab;13;20;19;18
27;0;1;2;3;7;9;8;4;5;10;6;14;16;12;11;21;15;13;ab;18;20;19;17
28;0;1;2;3;5;6;7;9;4;8;10;14;16;12;11;20;15;13;ab;18;19;ab;17
29;0;1;2;3;4;5;6;9;8;7;10;12;13;14;15;20;17;11;ab;18;19;ab;16
30;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
31;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
32;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
33;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
34;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
35;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
36;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
37;1;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
38;0;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
39;0;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
40;0;1;4;2;3;5;6;8;9;7;10;12;13;14;15;20;18;11;ab;17;19;ab;16
41;0;1;4;2;3;5;6;7;9;8;10;12;13;14;15;20;18;11;ab;17;19;ab;16
42;0;1;4;2;3;5;6;7;9;8;10;12;13;14;15;20;18;11;ab;17;19;ab;16
43;0;1;4;2;3;5;6;7;9;8;10;12;13;14;15;20;18;11;ab;17;19;ab;16
44;0;1;4;2;3;5;6;7;9;8;10;12;13;14;15;18;ab;11;ab;16;19;ab;17
45;1;1;5;2;3;4;7;6;8;9;11;12;13;14;15;18;ab;10;ab;16;19;ab;17
46;1;1;4;2;3;5;7;6;9;8;10;12;13;14;15;18;ab;11;ab;16;19;ab;17
47;0;1;4;2;3;5;7;6;9;8;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
48;0;1;4;2;3;5;7;6;9;8;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
49;0;1;4;2;3;5;7;6;9;8;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
50;0;1;4;2;3;5;7;6;9;8;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
51;0;1;4;2;3;5;7;6;8;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
52;0;1;4;2;3;5;7;6;8;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
53;0;1;4;2;3;5;7;6;8;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
54;0;1;4;2;3;5;7;6;8;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
55;0;1;4;2;3;5;7;6;8;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
56;0;1;4;2;3;5;8;6;7;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
57;0;1;4;2;3;5;8;6;7;9;10;12;13;14;15;17;ab;11;ab;16;19;ab;18
58;0;1;4;2;3;5;8;6;7;9;10;12;13;14;15;17;ab;11;ab;16;ab;ab;18
59;0;1;4;2;3;5;8;6;7;9;10;12;13;14;15;17;ab;11;ab;16;ab;ab;18
60;0;1;4;2;3;5;8;6;7;9;10;12;13;14;15;17;ab;11;ab;16;ab;ab;18
61;0;1;4;2;3;5;8;6;7;9;10;12;ab;17;13;15;ab;11;ab;14;ab;ab;16
62;1;1;4;2;3;5;8;6;7;9;10;12;ab;17;13;14;ab;11;ab;15;ab;ab;16
63;1;1;4;2;3;5;8;6;7;9;10;12;ab;ab;13;14;ab;11;ab;15;ab;ab;16
64;1;1;4;2;3;5;8;6;7;9;10;12;ab;ab;13;14;ab;11;ab;15;ab;ab;16
65;1;1;4;2;3;5;8;6;7;9;10;12;ab;ab;13;14;ab;11;ab;15;ab;ab;16
66;0;1;4;2;3;5;8;6;7;9;10;12;ab;ab;13;14;ab;11;ab;15;ab;ab;16
67;0;1;4;2;3;5;8;6;7;9;10;12;ab;ab;13;14;ab;11;ab;15;ab;ab;16
68;0;1;4;2;3;5;8;6;7;9;10;12;ab;ab;13;14;ab;11;ab;15;ab;ab;16
69;0;1;4;2;3;16;8;5;6;7;9;11;ab;ab;12;14;ab;10;ab;13;ab;ab;15
70;0;1;4;2;3;16;8;5;6;7;9;11;ab;ab;12;14;ab;10;ab;13;ab;ab;15
71;0;1;4;2;3;16;8;5;6;7;9;11;ab;ab;12;14;ab;10;ab;13;ab;ab;15
72;0;1;4;2;3;13;7;16;5;6;8;10;ab;ab;11;14;ab;9;ab;12;ab;ab;15
73;0;1;4;2;3;13;7;16;5;6;8;10;ab;ab;11;14;ab;9;ab;12;ab;ab;15
74;0;1;4;2;3;13;7;16;5;6;8;10;ab;ab;11;14;ab;9;ab;12;ab;ab;15
75;0;1;4;2;3;13;7;16;5;6;8;10;ab;ab;11;14;ab;9;ab;12;ab;ab;15
76;0;1;4;2;3;11;7;16;5;6;8;10;ab;ab;12;15;ab;9;ab;13;ab;ab;14
77;0;1;4;2;3;10;7;16;5;6;8;11;ab;ab;12;15;ab;9;ab;13;ab;ab;14
