;sc;HAM;ROS;VET;WEB;RIC;SUT;GRO;RAI;ALO;BUT;MAS;VER;PER;HUL;MAL;BOT;GUT;PIC;BIA;CHI;DRE;VDG
0;0;1;3;2;14;7;4;8;6;9;10;5;16;11;12;15;17;13;19;21;20;18;22
1;0;1;3;2;13;7;4;9;6;8;10;5;16;11;12;15;18;14;19;20;21;17;22
2;0;1;3;2;12;7;4;9;6;8;10;5;16;11;13;15;18;14;19;20;21;17;22
3;0;1;3;2;12;7;4;9;6;8;10;5;15;11;13;17;18;14;19;20;21;16;22
4;0;1;3;2;12;7;4;9;6;8;11;5;15;10;13;17;18;14;19;20;21;16;22
5;0;1;3;2;12;7;4;9;6;8;11;5;15;10;13;17;18;14;19;20;21;16;22
6;0;1;3;2;11;7;4;9;6;8;12;5;15;10;13;17;18;14;19;20;21;16;22
7;0;18;2;1;10;6;3;8;5;7;11;4;14;9;12;16;17;13;19;20;21;15;22
8;0;22;2;1;10;7;3;6;5;8;11;4;14;9;12;16;17;15;18;19;20;13;21
9;0;21;2;1;7;6;3;13;4;5;9;22;12;8;10;14;15;11;17;18;19;16;20
10;0;20;2;1;14;5;4;10;3;11;7;22;9;6;8;12;13;16;17;18;19;15;21
11;0;18;2;1;12;10;3;8;9;7;13;22;6;4;5;11;15;16;17;20;19;14;21
12;0;18;2;1;10;9;4;7;8;5;11;22;6;3;15;12;16;14;17;19;20;13;21
13;0;18;2;1;9;7;3;6;5;4;10;22;11;8;15;13;16;14;17;19;20;12;21
14;0;17;2;1;9;7;3;6;5;4;10;22;18;8;13;12;15;14;16;19;20;11;21
15;1;14;2;1;9;7;3;6;5;4;10;22;16;8;12;15;17;13;18;19;20;11;21
16;1;14;2;1;9;7;3;6;5;4;10;22;16;8;12;15;17;13;18;19;20;11;21
17;1;14;2;1;9;7;3;6;5;4;10;22;16;8;12;15;17;13;18;19;20;11;21
18;1;14;2;1;9;7;3;6;5;4;10;22;16;8;12;15;17;13;18;19;20;11;21
19;1;14;2;1;9;7;3;6;5;4;10;22;16;8;12;15;17;13;18;19;20;11;21
20;1;14;2;1;9;7;3;6;5;4;10;21;16;8;12;15;17;13;18;19;20;11;22
21;0;14;2;1;8;7;3;6;5;4;10;18;16;9;12;15;17;13;19;20;21;11;22
22;0;14;2;1;8;7;3;6;5;4;10;18;16;9;12;15;17;13;19;20;21;11;22
23;0;13;2;1;8;7;3;6;5;4;10;18;16;9;12;15;17;14;19;20;22;11;21
24;0;13;2;1;8;7;3;6;5;4;10;17;16;9;11;15;18;14;19;20;22;12;21
25;0;12;2;1;8;7;3;6;5;4;10;15;22;9;19;14;16;13;17;18;21;11;20
26;0;12;2;1;8;7;3;6;5;4;10;15;22;9;18;14;16;13;17;19;21;11;20
27;0;12;2;1;8;6;3;7;5;4;10;14;21;9;16;13;15;19;17;18;22;11;20
28;0;12;2;1;7;6;4;8;3;5;10;13;20;9;16;14;15;19;17;18;21;11;22
29;0;11;2;1;6;5;4;7;12;3;9;13;19;8;16;14;15;21;17;18;20;10;22
30;0;9;2;1;4;5;3;14;10;11;7;12;19;6;15;13;16;21;17;18;20;8;22
31;0;8;2;1;11;3;4;13;9;10;6;12;19;5;15;14;16;21;17;18;20;7;22
32;0;8;2;1;9;11;3;12;6;7;13;10;19;4;15;14;16;20;17;18;22;5;21
33;0;6;2;1;5;8;7;11;3;4;12;9;18;10;14;13;16;20;17;19;22;15;21
34;0;6;2;1;4;8;7;11;3;5;12;10;17;9;15;13;16;19;18;20;22;14;21
35;0;6;2;1;4;8;7;11;3;5;12;10;ab;9;15;14;16;18;17;19;21;13;20
36;0;14;2;1;4;7;6;9;3;5;10;16;ab;8;13;11;15;18;17;19;21;12;20
37;0;11;2;1;4;7;6;10;3;5;9;13;ab;8;16;15;14;18;17;19;21;12;20
38;0;11;2;1;4;7;6;10;3;5;9;13;ab;8;15;14;19;17;16;18;21;12;20
39;0;10;2;1;4;7;6;11;3;5;9;13;ab;8;15;14;18;16;17;19;21;12;20
40;0;10;1;5;4;7;6;11;2;3;9;13;ab;8;15;14;17;19;16;18;20;12;21
41;1;9;1;ab;2;5;4;10;3;8;7;12;ab;6;14;13;16;18;15;17;19;11;20
42;1;9;1;ab;5;4;3;10;2;8;7;11;ab;6;13;12;16;18;15;17;19;14;20
43;1;9;1;ab;5;4;3;10;2;8;7;11;ab;6;13;12;16;18;15;17;19;14;20
44;1;9;1;ab;5;4;3;10;2;8;7;11;ab;6;13;14;16;18;15;17;19;12;20
45;0;7;1;ab;4;5;3;10;2;6;8;9;ab;18;12;13;14;16;15;17;19;11;20
46;0;6;1;ab;3;7;4;9;2;5;12;8;ab;20;11;13;14;15;16;17;18;10;19
47;0;6;1;ab;2;8;5;9;3;4;12;7;ab;20;11;13;14;15;16;17;18;10;19
48;0;5;1;ab;2;8;6;9;3;4;13;7;ab;20;11;12;14;15;16;17;19;10;18
49;0;5;1;ab;2;8;6;11;4;3;13;7;ab;20;10;12;14;15;16;17;19;9;18
50;0;4;1;ab;2;8;7;12;5;3;13;6;ab;20;10;11;14;15;16;17;18;9;19
51;0;4;1;ab;2;8;7;19;5;3;13;6;ab;20;10;11;12;14;15;16;17;9;18
