;sc;HAM;ROS;BOT;MAS;MAG;BUT;ALO;VET;RIC;PER;RAI;VER;HUL;SUT;GUT;MAL;GRO;KOB;BIA;CHI;KVY;ERI
0;0;4;1;11;3;2;6;7;5;12;8;10;13;9;15;16;14;21;17;18;19;20;22
1;0;4;1;11;3;2;6;7;5;12;8;10;13;9;15;16;14;21;17;19;20;18;22
2;0;4;1;11;3;2;6;7;5;12;8;10;13;9;15;16;14;20;18;19;21;17;22
3;0;4;1;11;3;2;6;7;5;12;8;10;13;9;15;16;14;21;18;19;20;17;22
4;0;3;1;11;2;4;6;7;5;12;8;9;13;10;15;17;14;21;18;19;20;16;22
5;0;3;1;10;2;4;6;7;5;12;8;9;13;11;15;17;14;20;18;19;ab;16;21
6;0;3;1;10;2;4;6;7;5;11;8;9;13;12;16;17;14;20;18;19;ab;15;21
7;0;3;1;10;2;4;6;7;5;11;8;9;13;12;16;17;14;20;18;19;ab;15;21
8;0;3;1;9;2;4;6;7;5;11;8;10;13;12;16;18;14;20;17;19;ab;15;21
9;0;2;1;9;3;4;6;7;5;11;8;10;13;12;16;21;14;19;17;18;ab;15;20
10;0;2;1;9;3;4;6;7;5;11;8;10;13;12;16;21;14;19;17;18;ab;15;20
11;0;2;1;9;3;4;6;7;5;11;8;10;13;12;16;21;14;18;17;19;ab;15;20
12;0;2;1;9;3;4;6;7;5;11;8;10;13;12;16;21;14;18;17;19;ab;15;20
13;0;2;1;8;3;4;6;7;5;11;9;10;13;12;16;21;14;18;17;19;ab;15;20
14;0;2;1;8;3;4;6;7;5;11;9;10;13;12;16;21;14;18;17;19;ab;15;20
15;0;2;1;7;3;4;6;8;5;11;9;10;13;12;16;21;14;18;17;19;ab;15;20
16;0;2;1;7;3;4;6;8;5;11;9;10;13;12;16;21;14;18;17;19;ab;15;20
17;0;2;1;5;3;4;6;7;10;11;8;9;13;12;16;20;14;18;17;19;ab;15;21
18;0;2;1;5;3;4;6;7;15;9;10;8;11;13;16;20;14;18;17;19;ab;12;21
19;0;2;1;5;3;4;6;7;13;8;14;9;10;17;15;20;12;19;16;18;ab;11;21
20;0;2;1;4;3;6;5;8;11;7;13;14;9;17;15;19;12;21;16;18;ab;10;20
21;0;2;1;4;3;10;5;12;9;6;11;13;7;15;14;18;17;21;16;19;ab;8;20
22;0;2;1;4;3;9;11;12;8;5;10;13;6;15;14;17;16;21;20;18;ab;7;19
23;0;1;2;3;5;9;11;12;8;4;10;13;7;14;15;17;16;21;20;18;ab;6;19
24;0;1;2;9;4;7;10;11;6;3;8;12;14;13;18;16;15;20;19;17;ab;5;21
25;0;2;1;8;3;7;10;11;6;4;9;12;14;13;18;16;15;20;19;17;ab;5;21
26;0;2;1;7;3;6;9;10;5;12;8;11;14;13;18;16;15;20;19;17;ab;4;21
27;0;2;1;7;3;6;9;11;5;12;8;10;14;13;17;16;15;18;19;21;ab;4;20
28;0;1;2;7;3;6;9;ab;5;11;8;10;13;12;16;15;14;17;18;19;ab;4;20
29;0;1;2;6;3;5;8;ab;4;11;7;10;13;12;16;15;14;17;18;19;ab;9;20
30;0;1;2;6;3;5;8;ab;4;10;7;9;12;11;16;15;14;17;18;19;ab;13;20
31;0;1;2;6;3;5;8;ab;4;10;7;9;12;11;16;15;14;17;18;19;ab;13;20
32;0;1;2;6;3;5;8;ab;4;10;7;9;12;11;16;15;14;17;18;19;ab;13;20
33;0;1;2;6;3;5;8;ab;4;9;7;10;12;11;16;15;14;17;18;19;ab;13;20
34;0;1;2;6;3;5;8;ab;4;9;7;10;12;11;16;15;14;17;18;19;ab;13;20
35;0;1;2;6;3;5;8;ab;4;9;7;10;12;11;16;15;14;17;18;19;ab;13;20
36;0;1;2;5;3;6;8;ab;4;9;7;10;12;11;15;17;14;16;18;19;ab;13;20
37;0;1;2;5;3;6;8;ab;4;9;7;10;12;11;15;17;14;16;18;19;ab;13;20
38;0;1;2;5;3;6;8;ab;4;9;7;10;12;11;15;17;14;16;18;19;ab;13;20
39;0;1;2;4;3;6;9;ab;5;8;7;10;12;11;15;17;14;16;18;19;ab;13;20
40;0;1;2;4;3;6;9;ab;5;7;8;10;12;11;15;17;14;16;18;19;ab;13;20
41;0;1;2;4;3;6;9;ab;5;7;8;10;12;11;15;17;14;16;18;19;ab;13;20
42;0;1;2;4;3;6;9;ab;5;7;8;10;13;11;15;17;14;16;18;19;ab;12;20
43;0;1;2;4;3;7;9;ab;5;6;8;10;13;11;15;17;14;16;18;19;ab;12;20
44;0;1;2;4;3;7;9;ab;5;6;8;10;13;11;15;17;14;16;18;19;ab;12;20
45;0;1;2;4;3;7;9;ab;5;6;8;10;13;12;15;17;14;16;18;19;ab;11;20
46;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;17;14;16;18;19;ab;11;20
47;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;17;14;16;18;19;ab;11;20
48;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;18;14;16;17;19;ab;11;20
49;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;19;14;16;17;18;ab;11;20
50;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;19;14;16;17;18;ab;11;20
51;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;20;14;16;17;18;ab;11;19
52;0;1;2;4;3;7;9;ab;6;5;8;10;13;12;15;20;14;16;17;18;ab;11;19
