;sc;ROS;HAM;BOT;MAS;ALO;RIC;MAG;BUT;VET;RAI;PER;KVY;HUL;SUT;GUT;GRO;ERI;BIA;KOB;VER;CHI;MAL
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;22;17;18;19;20;21
1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;22;17;18;19;20;21
2;1;1;2;3;4;ab;5;6;7;8;9;10;11;12;13;14;15;21;16;17;18;19;20
3;1;1;2;3;4;ab;5;6;7;8;9;10;11;12;13;14;15;21;16;17;18;19;20
4;1;1;2;3;4;ab;5;6;7;8;9;10;11;12;13;14;15;21;16;17;18;19;20
5;1;1;2;3;4;ab;5;6;7;8;9;10;11;12;13;14;15;21;16;17;18;19;20
6;1;1;2;3;4;ab;5;6;7;8;9;10;11;12;13;14;15;21;16;17;18;19;20
7;1;1;2;3;4;ab;5;6;7;8;9;10;11;12;13;14;15;21;16;17;18;19;20
8;1;1;2;3;4;ab;5;6;12;7;8;9;10;11;13;14;15;20;16;17;18;19;21
9;0;1;2;3;4;ab;5;6;20;7;8;9;10;11;12;13;14;18;15;16;17;19;21
10;0;1;2;4;3;ab;6;7;18;5;9;10;12;8;11;14;15;19;13;16;17;20;21
11;0;1;2;9;3;ab;10;11;8;4;12;13;14;5;6;15;16;21;7;19;17;20;18
12;0;2;1;5;6;ab;8;9;3;7;10;13;12;11;14;15;16;21;4;19;17;20;18
13;0;2;1;4;5;ab;7;8;3;6;9;12;11;10;13;15;14;21;18;19;16;20;17
14;0;1;2;4;5;ab;7;11;3;6;9;12;10;8;13;15;14;21;18;19;16;20;17
15;0;1;2;4;6;ab;7;21;3;5;9;11;10;8;12;14;13;19;17;18;15;20;16
16;0;1;2;4;7;ab;6;20;3;5;9;11;10;8;12;14;13;19;17;18;15;21;16
17;0;1;2;5;7;ab;6;20;3;4;9;11;10;8;12;14;13;19;17;18;15;21;16
18;0;1;2;6;7;ab;5;20;3;4;9;11;10;8;12;14;13;19;17;18;16;21;15
19;0;1;2;6;7;ab;5;19;3;4;9;11;10;8;12;14;13;18;16;17;20;21;15
20;0;1;2;6;7;ab;5;19;3;4;9;11;10;8;12;14;13;18;16;17;20;21;15
21;0;1;2;6;7;ab;5;18;3;4;9;11;10;8;12;13;19;16;15;17;20;21;14
22;0;1;2;6;7;ab;5;18;3;4;9;11;10;8;17;12;16;14;13;15;19;21;20
23;0;1;2;6;7;ab;5;18;3;4;14;9;11;8;16;10;15;13;12;17;19;21;20
24;0;1;2;6;7;ab;5;16;3;4;12;9;11;8;14;10;13;15;20;18;17;21;19
25;0;1;2;6;7;ab;5;15;3;4;12;11;10;8;14;9;13;20;19;18;16;21;17
26;0;1;2;6;7;ab;5;15;3;4;12;11;10;8;14;9;13;19;18;20;16;21;17
27;0;1;2;6;7;ab;5;15;3;4;12;11;10;8;14;9;13;18;19;20;16;21;17
28;0;2;1;6;7;ab;4;14;3;5;12;11;9;8;15;10;13;18;19;20;16;21;17
29;0;2;1;6;7;ab;4;14;3;5;12;10;9;8;15;11;13;18;19;20;16;21;17
30;0;2;1;6;7;ab;4;14;3;5;12;10;9;8;16;11;13;18;19;20;15;21;17
31;0;2;1;6;7;ab;3;13;5;4;12;10;9;8;17;11;14;18;19;20;15;21;16
32;0;2;1;6;7;ab;3;15;5;4;12;10;9;8;19;11;13;17;18;20;14;21;16
33;0;3;1;6;7;ab;2;16;5;4;12;10;9;8;19;11;14;17;18;20;13;21;15
34;0;3;1;6;7;ab;2;14;5;4;13;10;9;8;19;15;17;16;18;20;11;21;12
35;0;3;1;6;7;ab;2;14;5;4;13;10;9;8;19;15;17;16;18;20;11;21;12
36;0;2;1;6;7;ab;5;14;4;3;13;10;9;8;19;15;17;16;18;20;11;21;12
37;0;2;1;6;8;ab;5;14;4;3;13;10;9;7;19;15;17;16;18;20;11;21;12
38;0;2;1;7;8;ab;5;14;4;3;13;9;10;6;19;15;16;17;18;21;11;20;12
39;0;2;1;7;8;ab;5;14;4;3;12;9;13;6;18;15;16;19;17;21;10;20;11
40;0;2;1;7;8;ab;5;16;4;3;11;9;12;6;21;13;14;18;17;20;10;19;15
41;0;2;1;7;8;ab;4;15;5;3;11;9;12;6;21;13;14;17;20;19;10;18;16
42;0;2;1;7;8;ab;4;14;5;3;12;9;11;6;21;13;15;17;20;19;10;18;16
43;1;2;1;6;7;ab;4;14;5;3;12;10;11;8;21;13;15;17;20;19;9;18;16
