;sc;HAM;ROS;BOT;BUT;KVY;RIC;ALO;RAI;VER;VET;MAG;PER;GUT;SUT;GRO;ERI;HUL;MAS;KOB;CHI;MAL
0;0;1;6;2;3;8;10;4;11;5;9;7;12;13;19;15;16;14;17;20;21;18
1;0;1;20;2;3;9;8;4;10;5;7;6;11;12;17;14;15;13;21;18;19;16
2;0;1;20;2;3;9;8;4;10;6;7;5;11;12;17;14;15;13;21;18;19;16
3;0;1;19;2;3;9;7;4;10;8;6;5;11;12;17;14;15;13;20;18;21;16
4;0;1;18;2;3;10;7;4;9;8;6;5;11;12;16;14;15;13;19;20;21;17
5;0;1;17;2;3;10;7;4;9;8;6;5;11;12;16;14;15;13;18;20;21;19
6;0;1;16;2;3;10;7;4;9;8;6;5;11;12;17;14;15;13;18;20;21;19
7;0;1;15;2;3;10;7;4;9;8;6;5;11;12;18;14;16;13;17;20;21;19
8;0;1;15;2;3;10;7;4;9;8;6;5;11;12;18;14;17;13;16;20;21;19
9;0;1;14;2;3;10;7;4;9;8;6;5;11;12;18;15;17;13;16;20;ab;19
10;0;1;14;2;3;9;11;4;8;7;6;5;10;12;18;16;17;13;15;20;ab;19
11;0;1;13;2;3;9;17;4;8;7;6;5;10;11;18;15;16;12;14;20;ab;19
12;0;1;12;2;3;9;17;4;8;7;6;5;10;11;20;15;16;13;14;19;ab;18
13;0;1;12;2;3;9;16;4;8;7;6;5;10;11;20;15;17;14;13;19;ab;18
14;0;1;11;2;3;9;16;4;8;7;6;5;10;13;20;15;17;14;12;19;ab;18
15;0;1;11;2;3;9;16;4;8;7;6;5;10;13;20;15;17;14;12;19;ab;18
16;0;1;11;2;3;9;16;4;8;7;6;5;10;13;20;15;17;14;12;19;ab;18
17;0;1;11;2;3;9;15;4;8;7;6;5;10;13;20;16;17;14;12;19;ab;18
18;0;1;11;2;3;9;15;4;8;7;6;5;10;13;19;16;17;14;12;20;ab;18
19;0;1;9;2;3;12;15;4;8;7;6;5;10;13;19;16;17;14;11;20;ab;18
20;0;1;9;2;3;15;14;4;8;7;6;5;10;12;18;17;16;13;11;20;ab;19
21;0;1;9;2;4;15;14;3;8;7;6;5;10;12;18;17;16;13;11;ab;ab;19
22;0;1;7;2;9;15;14;3;6;8;5;4;10;12;18;17;16;13;11;ab;ab;19
23;0;1;7;2;8;15;12;3;6;14;5;4;9;11;18;17;16;13;10;ab;ab;19
24;0;1;7;2;8;14;12;4;6;13;5;3;10;11;18;17;15;16;9;ab;ab;19
25;0;1;5;2;6;13;11;9;7;12;4;3;14;10;18;17;15;16;8;ab;ab;19
26;0;1;4;3;5;13;9;7;11;12;2;6;14;10;18;17;16;15;8;ab;ab;19
27;0;1;4;3;5;12;8;7;10;11;2;6;13;9;17;16;18;15;14;ab;ab;19
28;0;1;4;3;5;12;8;7;10;11;2;6;13;9;17;16;18;15;14;ab;ab;19
29;0;1;3;2;5;12;8;7;10;11;4;6;13;9;17;16;18;15;14;ab;ab;19
30;0;1;2;3;4;12;7;6;10;11;8;5;13;9;17;16;18;15;14;ab;ab;19
31;0;1;2;3;4;12;7;6;10;11;8;5;13;9;17;16;18;15;14;ab;ab;19
32;0;1;2;3;4;12;7;6;10;11;8;5;13;9;17;16;18;15;14;ab;ab;19
33;0;1;2;3;4;12;7;6;10;11;8;5;13;9;17;16;18;15;14;ab;ab;19
34;0;1;2;3;4;14;7;6;10;11;8;5;12;9;17;16;18;15;13;ab;ab;19
35;0;1;2;3;4;14;7;6;10;11;8;5;12;9;17;16;18;15;13;ab;ab;19
36;0;1;2;3;4;15;7;6;10;11;8;5;12;9;17;16;18;14;13;ab;ab;19
37;0;1;2;3;4;15;7;6;10;13;8;5;11;9;16;17;18;14;12;ab;ab;19
38;0;1;2;3;4;15;7;6;9;12;8;5;10;14;16;17;18;13;11;ab;ab;19
39;0;1;2;3;4;15;7;6;9;12;8;5;10;14;16;17;18;13;11;ab;ab;19
40;0;1;2;3;4;15;7;6;9;13;8;5;10;14;16;17;19;12;11;ab;ab;18
41;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
42;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
43;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
44;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
45;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
46;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
47;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
48;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
49;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
50;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
51;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
52;0;1;2;3;4;14;7;6;9;13;8;5;10;15;16;17;19;12;11;ab;ab;18
