;sc;ROS;HAM;BOT;MAS;KVY;BUT;RAI;ALO;MAG;VER;PER;HUL;SUT;GUT;MAL;KOB;STE;GRO;VET;RIC
0;0;2;1;8;3;7;4;5;6;13;12;10;9;16;11;14;15;20;19;18;17
1;0;2;1;8;3;7;4;5;6;13;12;10;9;16;11;14;15;19;20;18;17
2;0;2;1;8;3;7;4;5;6;13;12;10;9;16;11;14;15;19;20;18;17
3;0;2;1;8;3;7;4;5;6;13;12;10;9;16;11;14;15;19;20;18;17
4;0;2;1;8;3;5;4;6;7;13;11;10;9;18;12;14;17;19;20;16;15
5;0;2;1;6;3;5;4;7;18;12;10;9;8;20;11;13;16;17;19;15;14
6;0;2;1;4;3;17;14;19;15;10;7;6;5;20;9;12;13;18;16;11;8
7;0;2;1;4;3;14;12;16;13;9;7;6;5;20;18;19;11;17;15;10;8
8;0;2;1;4;3;14;11;15;12;9;7;6;5;19;17;18;13;16;20;10;8
9;0;2;1;4;3;13;11;15;12;9;7;6;5;19;17;18;14;16;20;10;8
10;0;1;3;10;2;13;11;15;12;8;6;5;4;19;16;17;14;18;20;9;7
11;0;3;2;10;1;13;11;14;12;8;6;5;4;18;16;17;15;19;20;9;7
12;0;3;2;9;1;13;11;14;12;8;7;5;4;18;16;17;15;20;19;10;6
13;0;2;1;7;3;12;10;13;11;8;15;6;4;18;16;17;14;20;19;9;5
14;0;2;1;6;3;ab;9;11;10;7;13;12;4;17;14;15;16;19;18;8;5
15;0;2;1;5;3;ab;8;10;9;6;13;11;12;16;15;14;18;19;17;7;4
16;0;2;1;5;3;ab;8;10;9;6;13;11;12;16;15;14;18;19;17;7;4
17;0;2;1;5;3;ab;8;10;9;6;13;11;12;16;15;14;18;19;17;7;4
18;0;2;1;5;3;ab;8;10;9;6;13;11;12;16;15;14;18;19;17;7;4
19;0;2;1;5;3;ab;8;10;9;6;13;11;12;16;15;14;18;19;17;7;4
20;0;2;1;5;3;ab;7;10;9;6;13;11;12;16;15;14;18;19;17;8;4
21;0;2;1;5;3;ab;6;8;7;13;11;9;10;16;14;12;18;19;17;15;4
22;0;2;1;5;3;ab;6;8;7;13;11;9;10;17;15;12;18;19;16;14;4
23;0;2;1;4;3;ab;6;8;7;13;11;9;10;17;15;12;18;19;16;14;5
24;0;2;1;4;3;ab;6;8;7;14;11;9;10;17;15;12;18;19;16;13;5
25;0;2;1;4;3;ab;6;9;7;14;11;8;10;17;15;12;18;19;16;13;5
26;0;3;1;4;2;ab;6;13;7;12;10;8;9;16;14;ab;17;18;15;11;5
27;0;3;1;4;2;ab;5;13;11;12;9;6;8;16;14;ab;17;18;15;10;7
28;0;3;1;4;2;ab;11;12;10;13;8;5;7;15;16;ab;17;18;14;9;6
29;0;3;1;4;2;ab;10;12;11;13;8;5;7;15;16;ab;17;18;14;9;6
30;0;3;1;4;2;ab;9;11;10;13;12;6;7;15;16;ab;17;18;14;8;5
31;0;3;2;4;1;ab;9;11;10;13;12;6;7;15;16;ab;17;18;14;8;5
32;0;4;2;3;1;ab;9;11;10;13;12;6;7;15;16;ab;17;18;14;8;5
33;0;4;2;3;1;ab;9;11;10;13;12;6;7;15;16;ab;17;18;14;8;5
34;0;7;2;3;1;ab;9;11;10;13;12;5;6;15;16;ab;17;18;14;8;4
35;0;7;2;4;1;ab;9;12;10;13;11;5;6;15;16;ab;17;18;14;8;3
36;0;8;2;4;1;ab;9;12;10;13;11;5;6;15;16;ab;17;18;14;7;3
37;0;7;2;4;1;ab;8;11;9;13;10;5;12;16;15;ab;17;18;14;6;3
38;0;7;2;4;1;ab;8;11;9;13;10;5;12;16;15;ab;17;18;14;6;3
39;0;8;2;4;1;ab;7;12;9;13;10;5;11;16;15;ab;17;18;14;6;3
40;0;8;2;4;1;ab;7;12;9;13;11;6;10;16;15;ab;17;18;14;5;3
41;0;7;2;4;1;ab;6;11;9;13;10;12;8;16;15;ab;17;18;14;5;3
42;0;7;2;4;1;ab;6;11;9;13;10;12;8;16;15;ab;ab;17;14;5;3
43;0;7;1;4;2;ab;6;12;9;13;11;10;8;16;15;ab;ab;17;14;5;3
44;0;8;1;4;2;ab;6;11;9;12;13;10;7;16;15;ab;ab;17;14;5;3
45;0;8;1;4;2;ab;6;11;9;12;13;10;7;16;15;ab;ab;17;14;5;3
46;0;7;1;4;2;ab;5;11;9;12;13;8;6;16;15;ab;ab;17;14;10;3
47;0;7;1;3;2;ab;5;11;10;12;13;8;6;16;15;ab;ab;17;14;9;4
48;0;8;1;3;2;ab;5;11;10;12;13;7;6;16;15;ab;ab;17;14;9;4
49;0;9;1;3;2;ab;5;11;10;12;13;7;6;16;15;ab;ab;17;14;8;4
50;0;13;1;3;2;ab;5;10;9;11;12;7;6;16;15;ab;ab;17;14;8;4
51;0;13;1;3;2;ab;5;10;9;11;12;7;6;16;15;ab;ab;17;14;8;4
52;0;13;1;3;2;ab;5;10;9;11;12;7;6;16;15;ab;ab;17;14;8;4
53;0;14;1;3;2;ab;5;10;9;11;12;7;6;16;15;ab;ab;17;13;8;4
54;0;14;1;3;2;ab;5;10;9;11;12;7;6;16;15;ab;ab;ab;13;8;4
