;sc;HAM;VET;ROS;ALO;RIC;RAI;HUL;MAG;VER;BUT;KVY;GUT;MAS;PER;GRO;MAL;SUT;BOT;BIA;KOB;CHI;ERI
0;0;1;4;2;5;3;7;6;8;18;9;13;11;10;np;14;20;15;12;21;16;19;17
1;0;1;4;2;5;3;20;6;7;18;8;12;11;9;np;13;19;14;10;21;15;17;16
2;0;1;4;2;5;3;20;6;9;19;7;12;11;8;np;13;18;14;10;21;15;17;16
3;0;1;3;2;5;4;20;6;8;19;7;12;11;9;np;13;18;14;10;21;15;17;16
4;0;1;3;2;5;4;20;6;8;19;7;11;12;9;np;13;18;14;10;21;15;17;16
5;0;1;3;2;5;4;20;6;8;19;7;11;12;9;np;13;18;14;10;21;15;17;16
6;0;1;3;2;5;4;20;6;8;19;7;11;12;9;np;13;18;14;10;21;15;17;16
7;0;1;3;2;5;4;19;6;8;18;7;11;12;9;np;13;ab;14;10;20;15;17;16
8;0;1;3;2;5;4;19;6;11;18;7;10;12;8;np;13;ab;14;9;ab;15;17;16
9;0;1;3;2;5;4;19;6;17;18;7;11;13;8;np;10;ab;12;9;ab;14;16;15
10;0;1;3;2;6;4;19;5;15;18;7;14;16;8;np;10;ab;11;9;ab;12;17;13
11;0;1;3;2;9;4;19;5;13;17;6;12;14;8;np;10;ab;15;7;ab;11;16;18
12;0;1;3;2;8;7;19;4;12;17;5;10;14;11;np;13;ab;15;6;ab;9;16;18
13;0;1;4;2;6;5;19;3;12;17;8;11;14;10;np;13;ab;15;7;ab;9;16;18
14;0;1;4;3;6;5;19;2;11;17;7;9;14;8;np;13;ab;15;12;ab;10;16;18
15;0;1;4;3;6;5;19;2;11;18;7;9;13;8;np;12;ab;14;10;ab;15;16;17
16;0;1;3;2;5;4;18;6;11;19;7;9;13;8;np;12;ab;14;10;ab;15;16;17
17;0;1;3;2;5;4;18;6;11;19;7;9;13;8;np;12;ab;14;10;ab;15;16;17
18;0;1;3;2;5;4;18;6;11;ab;7;9;14;8;np;12;ab;13;10;ab;15;16;17
19;0;1;3;2;5;4;18;6;11;ab;7;9;14;8;np;12;ab;13;10;ab;15;16;17
20;0;1;3;2;5;4;18;6;11;ab;7;10;14;8;np;12;ab;13;9;ab;15;16;17
21;0;1;3;2;5;4;18;6;10;ab;7;11;14;8;np;12;ab;13;9;ab;15;16;17
22;0;1;3;2;5;4;18;6;10;ab;7;15;13;8;np;11;ab;12;9;ab;14;16;17
23;0;1;3;2;5;4;18;6;11;ab;7;14;17;8;np;10;ab;12;9;ab;13;15;16
24;0;1;3;2;5;4;18;6;13;ab;8;12;16;7;np;10;ab;14;9;ab;11;15;17
