;sc;ROS;HAM;BOT;PER;RAI;BUT;MAS;MAG;ALO;VET;HUL;KVY;RIC;VER;GUT;GRO;MAL;KOB;BIA;ERI;CHI;SUT
0;0;2;1;5;4;9;6;3;11;7;10;8;13;12;22;14;19;15;18;16;17;21;20
1;0;2;1;5;4;9;6;3;11;7;10;8;13;12;22;14;18;15;19;16;17;21;20
2;0;2;1;5;4;9;6;3;11;7;10;8;13;12;22;14;17;15;19;16;18;21;20
3;0;2;1;5;4;9;6;3;11;7;10;8;13;12;22;14;16;15;19;17;18;21;20
4;0;2;1;5;4;9;6;3;11;8;10;7;13;12;22;14;16;15;18;17;19;21;20
5;0;2;1;5;4;9;6;3;11;8;10;7;13;12;22;15;16;14;18;17;19;21;20
6;0;2;1;5;4;9;6;3;11;8;10;7;13;12;22;15;16;14;18;17;19;20;21
7;0;2;1;5;4;9;6;3;11;8;10;7;13;12;22;15;16;14;18;17;19;20;21
8;0;2;1;5;4;9;6;3;11;8;10;7;13;12;22;15;16;14;18;17;19;20;21
9;0;2;1;9;4;8;5;3;11;7;10;6;13;12;22;15;16;14;17;18;19;20;21
10;0;2;1;16;4;8;5;3;11;7;9;6;17;10;22;13;14;12;15;21;18;19;20
11;0;2;1;14;3;7;5;4;11;9;8;6;17;10;22;15;13;12;16;19;20;21;18
12;0;2;1;12;3;9;4;6;10;14;7;5;16;8;21;17;13;11;15;20;18;19;22
13;0;2;1;9;3;14;4;11;10;12;6;5;13;7;20;16;17;8;15;21;18;19;22
14;0;2;1;8;3;13;4;10;15;11;7;5;12;6;21;16;17;9;14;20;18;19;22
15;0;2;1;7;3;13;4;8;14;10;6;11;12;5;20;15;16;9;19;21;17;18;22
16;0;2;1;5;9;11;3;6;14;7;13;8;12;4;20;15;16;10;19;21;17;18;22
17;0;2;1;4;8;9;12;5;14;6;13;7;11;3;20;15;16;10;19;21;17;18;ab
18;0;1;2;3;6;8;9;4;14;7;10;5;11;13;ab;16;15;12;19;20;18;17;ab
19;0;1;2;3;6;8;9;4;13;7;10;5;11;12;ab;15;14;16;18;20;19;17;ab
20;0;1;2;3;6;9;8;4;13;7;10;5;12;11;ab;15;14;16;17;20;19;18;ab
21;0;2;1;3;6;9;8;4;13;7;10;5;12;11;ab;15;14;16;17;20;19;18;ab
22;0;2;1;3;6;9;8;4;13;7;10;5;12;11;ab;15;14;16;17;20;19;18;ab
23;0;2;1;3;6;10;8;4;12;7;9;5;13;11;ab;15;14;16;17;20;19;18;ab
24;0;2;1;6;5;10;8;3;12;7;9;4;16;11;ab;14;13;15;17;20;19;18;ab
25;0;2;1;11;4;9;7;3;15;6;8;5;16;10;ab;14;12;13;17;20;19;18;ab
26;0;2;1;11;4;9;6;3;14;7;8;5;16;10;ab;15;12;13;17;20;19;18;ab
27;0;2;1;11;3;9;6;5;14;8;7;4;15;10;ab;17;12;13;16;20;19;18;ab
28;0;2;1;9;3;7;5;10;13;11;6;4;14;8;ab;17;15;12;16;20;18;19;ab
29;0;2;1;9;3;7;5;10;13;11;6;4;14;8;ab;17;15;12;16;20;18;19;ab
30;0;2;1;9;3;7;5;10;13;11;6;4;14;8;ab;16;15;12;17;20;18;19;ab
31;0;2;1;8;3;9;5;10;13;11;6;4;14;7;ab;16;15;12;17;20;18;19;ab
32;0;2;1;8;3;10;5;9;13;11;6;4;14;7;ab;16;15;12;17;20;18;19;ab
33;0;2;1;7;4;13;5;9;12;10;6;3;14;8;ab;16;15;11;17;19;ab;18;ab
34;0;2;1;5;8;13;4;6;11;9;12;3;14;7;ab;16;15;10;17;19;ab;18;ab
35;0;2;1;3;5;12;8;4;11;6;9;7;14;13;ab;16;15;10;17;19;ab;18;ab
36;0;2;1;3;5;13;8;4;12;7;9;6;14;10;ab;16;15;11;17;19;ab;18;ab
37;0;2;1;3;4;12;8;5;13;7;9;6;14;10;ab;15;16;11;17;19;ab;18;ab
38;0;2;1;3;4;11;7;10;14;6;8;5;13;9;ab;15;16;12;17;19;ab;18;ab
39;0;2;1;5;3;11;7;10;12;6;8;4;13;9;ab;ab;14;15;16;18;ab;17;ab
40;1;2;1;10;3;11;5;9;ab;6;7;4;12;8;ab;ab;13;14;15;17;ab;16;ab
41;1;2;1;9;3;11;5;8;ab;10;6;4;12;7;ab;ab;13;14;15;17;ab;16;ab
42;1;2;1;9;3;11;5;8;ab;10;6;4;12;7;ab;ab;13;14;15;17;ab;16;ab
43;1;2;1;9;3;11;5;8;ab;10;6;4;12;7;ab;ab;13;14;15;17;ab;16;ab
44;1;2;1;9;3;11;5;8;ab;10;6;4;12;7;ab;ab;13;14;15;17;ab;16;ab
45;1;2;1;9;3;11;5;8;ab;10;6;4;12;7;ab;ab;13;14;15;17;ab;16;ab
46;0;2;1;9;3;11;7;8;ab;10;5;4;12;6;ab;ab;13;15;16;17;ab;14;ab
47;0;2;1;8;3;11;9;7;ab;10;5;4;12;6;ab;ab;13;16;15;17;ab;14;ab
48;0;2;1;8;3;11;9;7;ab;10;5;4;12;6;ab;ab;13;16;15;17;ab;14;ab
