;sc;HAM;RIC;VET;ROS;ALO;MAS;BOT;HUL;VER;GRO;RAI;BUT;KVY;SUT;MAG;PER;GUT;KOB;BIA;ERI;CHI;MAL
0;0;1;4;2;6;3;5;10;7;12;8;9;14;11;22;16;13;15;17;19;21;20;18
1;0;1;4;2;6;3;5;9;7;13;8;10;14;11;22;16;12;15;17;19;21;20;18
2;0;1;4;2;6;3;5;8;7;14;9;10;13;11;22;16;12;15;17;19;21;20;18
3;0;1;4;2;5;3;6;8;7;14;9;10;13;11;22;16;12;15;17;19;21;20;18
4;0;1;4;2;5;3;6;8;7;14;9;10;13;11;22;16;12;15;17;19;21;20;18
5;0;1;4;2;5;3;6;8;7;14;9;10;13;11;ab;16;12;15;17;19;21;20;18
6;0;1;4;2;5;3;6;8;7;13;9;10;15;11;ab;16;12;14;17;19;21;20;18
7;0;1;4;2;5;3;6;8;7;13;9;10;21;11;ab;15;12;14;16;18;20;19;17
8;0;1;4;2;5;3;6;8;7;13;10;9;20;11;ab;15;12;14;16;18;21;19;17
9;0;1;4;2;5;3;8;7;6;11;17;9;20;10;ab;14;12;13;15;18;21;19;16
10;0;1;3;2;4;5;21;6;7;9;12;13;16;8;ab;11;17;10;14;19;20;18;15
11;0;1;2;3;4;6;21;5;10;8;12;13;14;7;ab;11;15;9;17;19;20;16;18
12;0;1;2;5;3;4;21;10;8;7;13;12;14;6;ab;11;15;9;16;18;20;19;17
13;0;1;2;4;5;3;21;9;7;6;12;11;15;8;ab;10;14;13;16;18;20;19;17
14;0;1;2;4;5;3;21;7;6;8;11;10;13;14;ab;9;12;15;16;18;20;19;17
15;0;1;5;3;4;2;20;7;6;14;9;8;12;13;ab;10;11;15;16;18;21;19;17
16;0;1;5;3;4;2;20;7;6;14;9;8;11;13;ab;12;10;15;17;18;21;19;16
17;0;1;5;3;4;2;20;7;6;13;9;8;11;12;ab;15;10;14;17;18;21;19;16
18;0;1;5;3;4;2;20;7;6;13;9;8;11;12;ab;15;10;14;17;18;21;19;16
19;0;1;5;3;4;2;19;7;6;13;9;8;11;12;ab;15;10;14;17;18;21;20;16
20;0;1;5;3;4;2;19;7;6;13;9;8;12;11;ab;15;10;14;17;18;21;20;16
21;0;1;5;4;3;2;19;7;6;13;9;8;12;11;ab;15;10;14;17;18;21;20;16
22;0;1;5;4;3;2;19;7;6;13;10;8;12;11;ab;15;9;14;17;18;21;20;16
23;0;1;5;4;3;2;19;7;6;12;10;8;13;11;ab;15;9;14;17;18;21;20;16
24;0;1;5;4;3;2;19;7;6;12;10;8;13;11;ab;15;9;14;17;18;21;20;16
25;0;1;4;5;3;2;19;7;6;12;10;8;13;11;ab;15;9;14;17;18;21;20;16
26;0;1;4;5;3;2;19;7;6;12;10;8;13;11;ab;14;9;15;17;18;21;20;16
27;0;1;4;5;3;2;17;7;6;11;16;8;13;10;ab;12;9;18;15;19;21;20;14
28;0;1;4;5;3;2;17;7;6;11;ab;8;14;10;ab;12;9;16;15;19;20;18;13
29;0;1;4;5;3;2;17;7;6;11;ab;8;14;10;ab;12;9;15;16;19;20;18;13
30;0;1;4;5;3;2;16;7;6;9;ab;8;14;10;ab;12;11;15;18;19;20;17;13
31;0;1;4;5;3;2;18;7;6;10;ab;8;12;11;ab;14;9;15;17;19;20;16;13
32;0;1;4;5;2;3;17;7;6;12;ab;8;11;10;ab;13;9;14;16;18;20;19;15
33;0;1;3;4;2;5;17;7;6;12;ab;8;11;10;ab;13;9;14;16;18;20;19;15
34;0;1;3;5;2;4;17;7;6;12;ab;8;11;10;ab;13;9;14;16;18;20;19;15
