;sc;HAM;ROS;RIC;BOT;GRO;RAI;ALO;BUT;MAS;HUL;PER;KVY;GUT;MAG;VET;SUT;CHI;BIA;ERI;KOB;VER;MAL
0;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;17;22;18;19;20
1;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;18;22;19;17;20
2;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;18;22;19;17;20
3;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;18;22;20;17;19
4;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;18;22;20;17;19
5;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;18;22;20;17;19
6;0;1;2;4;3;5;6;7;13;8;9;10;12;11;15;14;16;21;18;22;20;17;19
7;0;1;2;4;3;5;6;7;13;8;9;10;11;12;15;14;16;21;19;22;20;17;18
8;0;1;2;4;3;5;6;7;12;8;9;10;11;14;15;13;16;21;19;22;20;17;18
9;0;1;2;4;3;5;6;7;12;8;9;10;11;14;15;13;16;21;19;22;20;17;18
10;0;1;2;4;3;5;6;7;12;8;9;10;11;14;15;13;16;21;19;22;20;17;18
11;0;1;2;4;3;5;6;7;12;8;9;10;11;13;15;14;16;21;19;22;20;17;18
12;0;1;2;4;3;5;6;7;12;8;9;10;11;13;14;21;15;20;18;22;19;16;17
13;0;1;2;4;3;5;6;7;12;8;9;10;11;14;13;19;15;21;18;22;20;16;17
14;0;1;2;12;3;6;4;5;11;7;8;9;10;14;13;19;15;21;18;22;20;16;17
15;0;1;2;9;3;14;4;5;10;15;6;7;8;12;11;17;13;20;18;21;19;16;22
16;0;1;2;6;3;12;4;13;9;14;7;5;8;11;10;16;15;19;17;20;18;21;22
17;0;2;1;4;3;8;9;10;16;11;14;5;6;12;7;13;20;22;15;21;17;18;19
18;0;2;1;4;3;5;6;8;13;9;11;12;14;18;7;10;20;21;15;22;16;17;19
19;0;2;1;4;3;5;6;7;12;8;10;11;13;18;15;9;20;21;14;22;16;17;19
20;0;2;1;3;4;5;6;7;12;8;10;11;13;18;14;9;20;21;16;22;17;15;19
21;0;1;2;3;4;5;6;7;12;8;10;11;13;16;14;9;19;20;21;22;18;15;17
22;0;1;2;3;4;5;6;7;12;8;10;11;13;16;14;9;18;20;21;22;19;15;17
23;0;1;2;3;4;5;6;7;12;8;10;11;13;16;14;9;18;19;20;22;21;15;17
24;0;1;2;3;4;6;5;7;12;8;10;11;13;15;14;9;17;18;19;21;20;ab;16
25;0;1;2;3;4;7;5;6;12;8;10;11;13;15;14;9;17;18;19;21;20;ab;16
26;0;1;2;3;4;7;5;6;12;8;10;11;13;15;14;9;17;18;19;21;20;ab;16
27;0;1;2;3;4;7;5;6;12;11;9;10;13;15;14;8;17;18;19;21;20;ab;16
28;0;1;2;3;4;7;5;6;11;14;9;10;12;16;13;8;17;18;19;21;20;ab;15
29;0;1;2;3;4;7;5;6;11;14;9;10;12;16;13;8;17;18;19;21;20;ab;15
30;0;1;2;3;4;7;5;6;11;14;9;10;12;16;13;8;17;19;18;21;20;ab;15
31;0;1;2;3;4;7;5;6;11;14;9;10;12;16;13;8;17;21;18;20;19;ab;15
32;0;1;2;3;4;7;5;6;11;14;8;9;12;16;13;10;17;21;18;20;19;ab;15
33;0;1;2;3;4;8;5;6;10;13;7;9;11;16;12;14;17;20;18;19;21;ab;15
34;0;1;2;3;4;14;5;6;9;12;7;8;10;16;11;13;17;20;18;19;ab;ab;15
35;0;1;2;3;4;14;5;10;8;11;7;6;13;16;9;12;17;20;18;19;ab;ab;15
36;0;1;2;3;4;11;5;7;14;10;12;6;15;17;9;8;16;20;18;19;ab;ab;13
37;0;1;2;3;4;10;5;6;13;9;11;12;14;17;8;7;16;20;18;19;ab;ab;15
38;0;1;2;3;4;10;5;6;13;9;11;12;14;17;8;7;16;19;18;20;ab;ab;15
39;0;1;2;3;4;10;5;6;13;8;11;12;14;17;9;7;16;19;18;20;ab;ab;15
40;0;1;2;3;4;9;5;6;13;8;10;11;14;17;12;7;16;19;18;20;ab;ab;15
41;0;1;2;3;4;9;5;6;12;8;10;11;13;17;14;7;16;19;18;20;ab;ab;15
42;0;1;2;3;4;9;5;6;12;8;10;11;13;17;14;7;16;19;18;20;ab;ab;15
43;0;2;1;3;4;9;7;5;12;8;10;11;13;17;14;6;16;19;18;20;ab;ab;15
44;0;2;1;3;4;9;7;5;12;8;10;11;13;17;14;6;16;19;18;20;ab;ab;15
45;0;1;2;3;6;8;7;4;12;11;9;10;13;17;14;5;16;19;18;20;ab;ab;15
