;sc;ROS;HAM;VET;BOT;MAS;RIC;ALO;VER;BUT;RAI;HUL;MAG;PER;GRO;KVY;SUT;MAL;CHI;BIA;ERI;KOB;GUT
0;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;19;18;20
1;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;19;18;20
2;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;19;18;20
3;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;19;18;20
4;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;19;18;20
5;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;19;18;20
6;1;1;3;2;4;5;6;8;7;10;9;12;13;11;15;16;14;17;ab;ab;20;18;19
7;0;1;3;2;4;5;6;8;7;11;9;12;13;10;15;16;14;17;ab;ab;ab;18;19
8;0;1;3;2;4;5;6;8;7;11;9;12;13;10;15;16;14;17;ab;ab;ab;18;19
9;0;1;2;3;4;5;6;8;7;11;9;12;13;10;15;19;14;16;ab;ab;ab;17;18
10;0;1;2;3;4;5;6;8;7;11;9;12;13;10;19;18;14;15;ab;ab;ab;17;16
11;0;1;2;3;4;5;6;8;7;11;9;12;13;10;19;17;14;15;ab;ab;ab;18;16
12;0;1;2;3;4;5;15;7;6;10;8;11;12;9;19;17;13;14;ab;ab;ab;18;16
13;0;1;2;3;13;4;14;6;5;17;7;9;10;8;19;16;11;12;ab;ab;ab;18;15
14;0;1;2;7;9;12;10;3;11;15;4;6;16;5;19;13;17;8;ab;ab;ab;18;14
15;0;1;2;6;7;13;9;10;11;14;3;5;16;4;17;12;18;8;ab;ab;ab;19;15
16;0;1;2;5;6;12;7;9;10;14;11;4;16;3;17;13;18;8;ab;ab;ab;19;15
17;0;2;1;5;6;11;7;9;10;14;13;4;15;3;17;12;18;8;ab;ab;ab;19;16
18;0;1;2;5;6;11;7;9;10;14;13;4;15;3;17;12;18;8;ab;ab;ab;19;16
19;0;1;2;5;6;11;7;9;10;14;13;4;15;3;17;12;18;8;ab;ab;ab;19;16
20;0;1;2;5;6;11;7;9;10;14;13;4;15;3;17;12;18;8;ab;ab;ab;19;16
21;0;1;2;5;6;9;7;8;10;13;12;4;14;3;16;11;17;ab;ab;ab;ab;18;15
22;0;1;2;5;6;9;7;8;10;13;12;4;14;3;16;11;17;ab;ab;ab;ab;18;15
23;0;1;2;5;6;9;7;8;10;13;12;4;14;3;16;11;17;ab;ab;ab;ab;ab;15
24;0;1;2;5;6;9;7;8;10;13;12;4;14;3;16;11;17;ab;ab;ab;ab;ab;15
25;0;1;2;5;6;8;7;9;10;13;12;4;14;3;15;11;17;ab;ab;ab;ab;ab;16
26;0;1;2;5;6;8;7;9;10;13;11;4;14;3;15;12;17;ab;ab;ab;ab;ab;16
27;0;1;2;5;6;8;7;9;10;12;11;4;14;3;15;13;16;ab;ab;ab;ab;ab;17
28;0;1;2;5;6;8;7;9;10;12;11;4;13;3;14;17;15;ab;ab;ab;ab;ab;16
29;0;1;2;5;6;8;7;9;10;12;11;4;13;3;14;17;15;ab;ab;ab;ab;ab;16
30;0;1;2;5;6;8;7;9;10;12;11;4;13;3;14;17;15;ab;ab;ab;ab;ab;16
31;0;1;2;5;6;8;7;9;10;12;11;4;13;3;14;16;15;ab;ab;ab;ab;ab;17
32;0;1;2;5;6;8;7;9;10;12;11;4;13;3;14;16;15;ab;ab;ab;ab;ab;17
33;0;1;2;4;5;7;6;8;10;12;11;3;13;9;14;16;15;ab;ab;ab;ab;ab;17
34;0;1;2;4;10;6;5;7;8;12;11;3;13;9;14;16;15;ab;ab;ab;ab;ab;17
35;0;1;2;8;12;5;4;6;7;11;10;3;13;9;14;16;15;ab;ab;ab;ab;ab;17
36;0;1;2;9;12;4;6;5;7;11;10;3;13;8;14;16;15;ab;ab;ab;ab;ab;17
37;0;1;2;9;11;4;8;5;6;13;10;3;12;7;14;15;16;ab;ab;ab;ab;ab;17
38;0;1;2;8;9;4;7;5;11;13;12;3;10;6;14;15;16;ab;ab;ab;ab;ab;17
39;0;1;2;8;9;4;7;5;11;12;15;3;10;6;13;14;16;ab;ab;ab;ab;ab;17
40;0;1;2;7;9;3;6;4;11;12;15;8;10;5;13;14;16;ab;ab;ab;ab;ab;17
41;0;1;2;7;9;3;6;4;11;12;15;8;10;5;13;14;16;ab;ab;ab;ab;ab;17
42;0;1;2;7;9;3;6;4;11;12;15;8;10;5;13;14;16;ab;ab;ab;ab;ab;17
43;0;2;1;6;8;3;5;9;11;12;15;7;10;4;13;14;16;ab;ab;ab;ab;ab;17
44;0;3;1;6;8;2;5;9;10;11;15;7;12;4;13;14;16;ab;ab;ab;ab;ab;17
45;0;2;3;6;8;1;5;9;10;11;13;7;12;4;14;15;16;ab;ab;ab;ab;ab;17
46;0;2;ab;5;7;1;4;8;9;10;12;6;11;3;13;14;15;ab;ab;ab;ab;ab;16
47;0;1;ab;4;7;6;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
48;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
49;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
50;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
51;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
52;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
53;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
54;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
55;0;1;ab;4;6;7;3;8;10;9;12;5;11;2;13;ab;14;ab;ab;ab;ab;ab;15
56;0;1;ab;4;7;5;3;8;10;9;12;6;11;2;13;ab;15;ab;ab;ab;ab;ab;14
57;0;1;ab;4;7;5;3;8;10;9;12;6;11;2;13;ab;15;ab;ab;ab;ab;ab;14
58;0;1;ab;4;7;5;3;8;10;9;12;6;11;2;13;ab;15;ab;ab;ab;ab;ab;14
59;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
60;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
61;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
