;sc;MAS;BOT;ROS;ALO;RIC;MAG;KVY;RAI;HAM;HUL;BUT;VET;MAL;VER;PER;SUT;GUT;BIA;KOB;ERI;CHI;GRO
0;0;1;2;3;5;9;6;10;7;4;8;13;12;17;15;11;14;16;18;19;20;21;22
1;0;1;2;3;5;9;6;10;7;4;8;12;22;16;14;11;13;15;17;18;20;21;19
2;0;1;2;3;5;10;6;9;7;4;8;12;22;16;14;11;13;15;17;18;19;20;21
3;0;1;2;3;5;10;6;9;7;4;8;12;22;16;14;11;13;15;17;18;19;20;21
4;0;1;2;3;5;10;6;9;7;4;8;12;22;16;14;11;13;15;17;18;19;20;21
5;0;1;2;3;5;10;6;9;7;4;8;12;22;16;13;11;14;15;17;18;19;20;21
6;0;1;2;3;5;10;6;9;7;4;8;12;22;16;13;11;14;15;17;18;19;20;21
7;0;1;2;3;5;10;6;9;7;4;8;12;22;16;15;11;13;14;17;18;19;20;21
8;0;1;2;3;5;9;6;8;7;4;12;11;22;15;20;10;13;14;17;16;18;19;21
9;0;1;2;3;5;11;7;10;6;4;19;9;22;14;20;8;12;13;16;15;17;18;21
10;0;1;2;4;5;19;15;18;6;3;16;8;22;10;20;7;11;9;13;12;14;17;21
11;0;1;2;8;4;17;13;16;5;3;14;7;22;9;19;6;21;10;12;11;15;18;20
12;0;1;2;7;4;16;12;14;5;3;13;8;22;9;17;6;20;21;11;10;15;18;19
13;0;2;1;6;3;15;10;13;4;7;12;8;22;9;17;5;20;21;11;14;16;19;18
14;0;5;1;3;9;14;10;13;7;4;11;6;22;8;15;2;19;21;12;20;16;18;17
15;0;5;3;2;8;13;9;11;14;4;10;6;22;7;15;1;19;21;12;20;16;18;17
16;0;5;3;2;8;12;9;11;14;4;10;6;22;7;15;1;19;21;13;20;16;18;17
17;0;5;3;2;7;12;9;11;13;4;10;6;22;8;15;1;19;21;14;20;17;18;16
18;0;5;3;2;7;12;9;11;13;4;10;6;22;8;14;1;19;21;15;20;17;18;16
19;0;5;3;2;7;12;9;11;13;4;10;6;22;8;14;1;19;21;15;20;17;18;16
20;0;5;3;2;7;12;9;11;13;4;10;6;22;8;14;1;18;21;15;20;17;19;16
21;0;5;3;2;7;12;9;11;13;4;10;6;22;8;14;1;18;21;15;20;17;19;16
22;0;5;3;2;7;12;9;11;13;4;10;6;22;8;14;1;18;21;15;20;17;19;16
23;0;5;3;2;7;12;8;11;13;4;10;6;22;9;14;1;18;21;15;20;17;19;16
24;0;5;3;2;7;11;8;ab;12;4;9;6;21;10;13;1;16;20;14;19;17;18;15
25;0;5;3;2;7;10;8;ab;12;4;9;6;21;11;13;1;16;20;14;18;17;19;15
26;0;5;2;1;6;10;8;ab;11;4;9;7;21;14;12;3;16;20;13;18;17;19;15
27;0;5;2;1;6;9;7;ab;10;3;8;11;21;14;12;4;15;20;13;16;17;18;19
28;0;4;2;1;6;9;7;ab;10;3;8;11;21;14;12;5;15;20;13;16;19;17;18
29;0;4;2;1;5;9;6;ab;10;3;7;11;21;14;12;8;15;20;13;16;19;17;18
30;0;4;2;1;5;9;6;ab;10;3;7;11;21;13;12;8;15;20;14;16;19;17;18
31;0;4;2;1;5;9;6;ab;10;3;7;11;21;13;12;8;15;20;14;16;19;18;17
32;0;4;2;1;5;9;6;ab;10;3;7;11;21;13;12;8;14;20;15;16;19;18;17
33;0;4;2;1;5;9;6;ab;10;3;7;11;21;13;12;8;14;20;15;16;19;18;17
34;0;4;2;1;5;9;6;ab;10;3;7;11;ab;13;12;8;14;20;15;16;19;18;17
35;0;4;2;1;5;9;6;ab;10;3;8;11;ab;13;12;7;14;20;15;16;18;19;17
36;0;4;2;1;5;9;6;ab;10;3;8;11;ab;13;12;7;14;20;15;16;18;19;17
37;0;4;2;1;5;9;6;ab;10;3;8;11;ab;13;12;7;14;20;15;16;18;19;17
38;0;4;2;1;5;8;6;ab;10;3;9;11;ab;12;13;7;14;20;15;17;18;19;16
39;0;3;2;1;4;8;7;ab;9;5;11;10;ab;12;14;6;13;20;15;17;18;19;16
40;0;2;1;4;3;7;10;ab;8;5;11;9;ab;12;14;6;13;20;18;16;17;19;15
41;0;1;5;3;2;7;10;ab;8;4;11;9;ab;12;14;6;13;20;18;16;17;19;15
42;0;2;5;3;1;7;10;ab;8;4;11;9;ab;12;14;6;13;20;18;16;17;19;15
43;0;6;4;2;1;11;9;ab;8;3;10;7;ab;12;13;5;14;20;17;16;19;18;15
44;0;6;4;2;1;10;8;ab;11;3;9;7;ab;12;13;5;14;20;17;16;19;18;15
45;0;6;4;2;1;10;8;ab;11;3;9;7;ab;12;13;5;14;20;17;16;19;18;15
46;0;6;4;2;1;10;8;ab;11;3;9;7;ab;12;13;5;14;20;17;16;19;18;15
47;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
48;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
49;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
50;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
51;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
52;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
53;0;5;3;1;6;10;8;ab;11;2;9;7;ab;12;13;4;14;20;17;16;19;18;15
54;0;4;3;1;5;10;8;ab;11;2;9;7;ab;12;13;6;14;20;17;16;19;18;15
55;0;4;3;1;5;10;7;ab;11;2;9;6;ab;12;13;8;14;20;17;16;19;18;15
56;0;4;3;1;5;10;7;ab;11;2;9;6;ab;12;13;8;14;20;16;17;19;18;15
57;0;4;3;1;5;10;6;ab;11;2;9;7;ab;12;13;8;14;20;16;17;19;18;15
58;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;13;7;14;20;16;17;19;18;15
59;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;ab;7;13;19;15;16;18;17;14
60;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;ab;7;13;19;15;16;18;17;14
61;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;ab;7;13;19;15;16;18;17;14
62;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;ab;7;13;19;15;16;18;17;14
63;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;ab;7;13;19;15;16;18;17;14
64;0;4;3;1;5;9;6;ab;10;2;8;11;ab;12;ab;7;13;19;15;16;18;17;14
65;0;4;3;1;5;9;7;ab;10;2;8;11;ab;12;ab;6;13;19;15;16;18;17;14
66;0;4;3;1;5;9;7;ab;10;2;8;11;ab;12;ab;6;13;19;15;16;18;17;14
67;0;4;3;1;5;9;7;ab;10;2;8;11;ab;12;ab;6;13;19;15;16;18;17;14
68;0;4;3;1;5;9;7;ab;10;2;8;11;ab;12;ab;6;13;19;15;16;18;17;14
69;0;4;3;1;5;9;7;ab;10;2;8;11;ab;12;ab;6;13;19;15;16;18;17;14
70;0;4;3;1;5;8;7;ab;10;2;9;11;ab;12;ab;6;13;19;15;16;18;17;14
