;sc;HAM;ROS;MAS;VET;RAI;RIC;SAI;GRO;MAL;NAS;VER;KVY;HUL;PER;ERI;BUT;MAG
0;1;1;2;3;4;8;7;5;ab;ab;6;9;np;10;11;13;12;ab
1;1;1;2;3;4;8;7;5;ab;ab;6;9;np;10;11;13;12;ab
2;1;1;2;3;4;8;7;5;ab;ab;6;9;np;10;11;13;12;ab
3;0;1;2;3;4;8;6;7;ab;ab;5;9;np;10;13;12;11;ab
4;0;1;2;3;4;8;6;7;ab;ab;5;9;np;10;13;11;12;ab
5;0;1;2;3;4;8;6;7;ab;ab;5;9;np;10;13;11;12;ab
6;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
7;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
8;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
9;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
10;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
11;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
12;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
13;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
14;0;1;2;3;4;7;6;8;ab;ab;5;9;np;10;13;11;12;ab
15;0;1;2;3;4;11;6;7;ab;ab;5;8;np;9;13;10;12;ab
16;0;1;2;3;4;11;6;7;ab;ab;5;8;np;9;13;10;12;ab
17;0;1;2;3;4;11;6;7;ab;ab;5;8;np;9;13;10;12;ab
18;0;1;2;3;4;11;6;7;ab;ab;5;8;np;9;13;10;12;ab
19;0;1;2;3;4;11;6;7;ab;ab;5;8;np;9;13;10;12;ab
20;0;1;2;5;3;10;6;7;ab;ab;4;8;np;11;13;9;12;ab
21;0;1;2;6;3;10;5;7;ab;ab;4;8;np;11;13;9;12;ab
22;0;1;2;5;3;9;10;6;ab;ab;4;7;np;11;13;8;12;ab
23;0;1;2;5;3;7;9;13;ab;ab;4;6;np;10;12;8;11;ab
24;0;2;1;4;3;6;9;13;ab;ab;7;5;np;10;12;8;11;ab
25;0;2;1;4;3;6;8;13;ab;ab;7;5;np;9;12;10;11;ab
26;0;1;2;4;3;5;8;12;ab;ab;7;6;np;9;10;11;13;ab
27;0;1;2;4;3;5;8;12;ab;ab;7;6;np;9;11;10;13;ab
28;0;1;2;4;3;5;8;12;ab;ab;7;6;np;9;11;10;13;ab
29;0;1;2;4;3;5;8;12;ab;ab;7;6;np;9;11;10;13;ab
30;0;1;2;4;3;5;8;12;ab;ab;7;6;np;9;11;10;13;ab
31;0;1;2;4;3;5;7;12;ab;ab;6;8;np;9;11;10;13;ab
32;0;1;2;4;3;5;7;11;ab;ab;6;ab;np;8;10;9;12;ab
33;0;1;2;4;3;5;7;11;ab;ab;6;ab;np;8;10;9;12;ab
34;0;1;2;4;3;5;7;11;ab;ab;6;ab;np;8;10;9;12;ab
35;0;1;2;4;3;5;7;11;ab;ab;6;ab;np;8;10;9;12;ab
36;0;1;2;4;3;5;7;11;ab;ab;6;ab;np;8;10;9;12;ab
37;0;1;2;4;3;5;7;10;ab;ab;6;ab;np;8;12;9;11;ab
38;0;1;2;4;3;5;7;10;ab;ab;6;ab;np;8;12;9;11;ab
39;0;1;2;4;3;5;7;10;ab;ab;6;ab;np;8;12;9;11;ab
40;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;11;8;10;ab
41;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;10;8;11;ab
42;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
43;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
44;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
45;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
46;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
47;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
48;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
49;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
50;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
51;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
52;0;1;2;4;3;ab;6;8;ab;ab;5;ab;np;7;10;9;11;ab
53;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;10;8;11;ab
54;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;10;8;11;ab
55;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;10;8;11;ab
56;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;10;8;11;ab
57;0;1;2;4;3;ab;6;9;ab;ab;5;ab;np;7;10;8;11;ab
