;sc;HAM;ROS;VET;RIC;RAI;BOT;KVY;MAS;VER;GRO;HUL;SAI;PER;MAL;ALO;BUT;ERI;NAS;MER;STE
0;0;10;3;1;7;2;4;5;9;13;16;6;11;8;15;12;14;18;19;17;20
1;0;10;3;1;7;2;4;6;9;13;16;5;11;8;15;12;14;17;18;19;20
2;0;10;3;1;7;2;4;6;9;13;16;5;11;8;15;12;14;17;18;19;20
3;0;10;3;1;7;2;4;6;9;13;16;5;11;8;15;12;14;17;18;19;20
4;0;10;3;1;7;2;4;6;9;13;15;5;11;8;16;12;14;17;18;19;20
5;0;10;3;1;7;2;4;6;9;12;15;5;11;8;17;13;14;16;18;20;19
6;0;10;3;1;7;2;4;6;9;12;15;5;11;8;17;13;14;16;18;20;19
7;0;10;3;1;6;2;4;7;9;12;15;5;11;8;17;13;14;16;18;20;19
8;0;10;3;1;6;2;4;7;9;12;15;5;11;8;17;13;14;16;18;20;19
9;0;9;3;1;5;2;4;7;10;12;15;6;11;8;17;13;14;16;18;20;19
10;0;9;3;1;5;2;4;7;10;12;15;6;11;8;17;13;14;16;18;20;19
11;0;9;3;1;5;2;4;7;10;12;15;6;11;8;17;13;14;16;18;20;19
12;0;7;3;1;4;2;6;8;10;12;15;5;11;9;17;13;14;16;18;20;19
13;0;6;3;1;4;2;16;17;10;11;14;5;8;7;15;9;13;12;18;20;19
14;0;5;3;1;4;2;11;13;17;14;16;6;8;7;12;9;15;10;18;20;19
15;0;5;3;1;4;2;7;11;17;12;16;9;14;6;10;13;15;8;18;20;19
16;0;5;3;1;4;2;6;8;16;11;15;7;13;10;9;12;14;17;18;20;19
17;0;5;3;1;4;2;6;8;16;11;15;7;13;10;9;12;14;17;18;20;19
18;0;5;3;1;4;2;6;8;16;10;14;7;12;15;9;11;13;17;18;20;19
19;0;5;3;1;4;2;6;8;16;9;14;7;12;15;10;11;13;17;18;20;19
20;0;5;4;1;3;2;6;8;16;9;14;7;12;15;10;11;13;17;18;20;19
21;0;5;3;2;4;1;6;8;16;9;14;7;12;15;11;10;13;17;18;20;19
22;0;5;3;1;4;2;6;8;16;9;14;7;11;15;12;10;13;17;18;20;19
23;0;5;3;1;4;2;6;8;16;9;13;7;11;14;15;10;12;17;18;20;19
24;0;5;3;1;4;2;6;8;15;9;13;7;11;14;18;10;12;16;17;20;19
25;0;5;3;1;4;2;6;8;15;9;13;7;11;14;18;10;12;16;17;20;19
26;0;5;3;1;4;2;6;8;16;9;13;7;11;14;18;10;12;15;17;19;20
27;0;5;3;1;4;2;6;8;17;9;13;7;11;14;18;10;12;15;16;19;20
28;0;4;3;1;5;2;6;8;17;9;13;7;11;14;18;10;12;15;16;19;20
29;0;4;3;1;5;2;6;8;17;9;13;7;11;16;18;10;12;14;15;19;20
30;0;4;3;1;5;2;6;8;17;9;13;7;11;16;18;10;12;14;15;20;19
31;0;4;3;1;5;2;6;8;17;9;13;7;11;16;18;10;12;14;15;20;19
32;0;4;3;1;5;2;6;9;16;8;13;7;11;15;17;10;12;14;18;20;19
33;0;4;3;1;5;2;6;13;15;8;12;7;10;14;16;9;11;17;18;20;19
34;0;4;3;1;5;2;6;12;15;8;13;7;10;14;16;9;11;17;18;20;19
35;0;4;3;1;5;2;6;11;15;8;13;7;10;14;16;9;12;17;18;20;19
36;0;4;3;1;5;2;6;9;15;7;13;8;11;14;16;10;12;17;18;20;19
37;0;4;3;1;5;2;6;8;15;9;13;7;11;14;16;10;12;17;18;20;19
38;0;4;3;1;5;2;6;8;15;9;13;7;11;14;16;10;12;17;18;20;19
39;0;4;3;1;5;2;6;8;15;9;13;7;11;14;16;10;12;17;18;20;19
40;0;4;3;1;5;2;6;8;15;9;13;7;11;14;16;10;12;17;18;20;19
41;0;4;3;1;5;2;6;7;13;8;12;ab;10;15;16;9;11;17;14;19;18
42;1;4;3;1;5;2;6;7;12;8;13;ab;10;14;15;9;11;16;17;19;18
43;1;4;3;1;5;2;6;8;12;7;13;ab;9;14;15;11;10;16;17;19;18
44;1;4;3;1;5;2;6;8;12;7;13;ab;9;14;15;11;10;16;17;19;18
45;1;4;3;1;5;2;6;8;12;7;13;ab;9;17;14;11;10;15;16;19;18
46;1;4;3;1;5;2;6;7;12;8;13;ab;9;17;14;11;10;15;16;19;18
47;1;4;3;1;5;2;6;7;12;8;13;ab;9;17;14;11;10;15;16;18;19
48;0;6;2;1;4;3;13;5;11;7;12;ab;8;17;14;9;10;15;16;18;19
49;0;6;2;1;4;3;17;5;11;7;12;ab;8;16;13;9;10;14;15;18;19
50;0;7;2;1;3;4;17;5;11;6;12;ab;8;16;13;9;10;14;15;18;19
51;0;13;2;1;3;5;17;4;10;6;11;ab;7;16;12;8;9;14;15;18;19
52;0;12;2;1;3;17;16;4;9;5;10;ab;6;15;11;7;8;13;14;18;19
53;0;12;2;1;3;16;15;4;11;5;9;ab;6;ab;10;7;8;13;14;17;18
54;0;13;2;1;3;16;15;4;14;5;9;ab;7;ab;10;6;8;11;12;17;18
55;0;13;2;1;3;ab;15;4;14;5;9;ab;7;ab;10;6;8;11;12;16;17
56;0;13;2;1;3;ab;15;4;14;5;7;ab;8;ab;10;6;9;11;12;16;17
57;0;13;2;1;3;ab;15;4;14;5;7;ab;9;ab;12;6;8;10;11;16;17
58;0;12;2;1;3;ab;15;4;13;5;7;ab;10;ab;14;6;8;9;11;16;17
59;0;11;2;1;3;ab;14;4;12;5;7;ab;15;ab;13;6;8;9;10;16;17
60;0;10;2;1;3;ab;14;4;12;5;7;ab;ab;ab;13;6;8;9;11;15;16
61;0;9;2;1;3;ab;14;4;12;5;7;ab;ab;ab;13;6;8;10;11;15;16
62;0;8;2;1;3;ab;14;4;12;5;7;ab;ab;ab;13;6;9;10;11;15;16
63;0;8;5;1;3;ab;14;2;12;4;7;ab;ab;ab;13;6;9;10;11;15;16
64;0;7;10;1;3;ab;14;2;12;4;6;ab;ab;ab;13;5;8;9;11;15;16
65;0;7;9;1;3;ab;14;2;12;4;6;ab;ab;ab;13;5;8;10;11;15;16
66;0;6;8;1;3;ab;14;2;12;4;7;ab;ab;ab;13;5;9;10;11;15;16
67;0;6;8;1;3;ab;14;2;12;4;7;ab;ab;ab;13;5;9;10;11;15;16
68;0;6;8;1;3;ab;14;2;12;4;7;ab;ab;ab;13;5;9;10;11;15;16
