;sc;HAM;RAI;VET;ROS;MAS;BOT;PER;GRO;HUL;MAL;NAS;ERI;STE;MER;BUT;ALO;SAI;KVY;RIC;VER
0;0;1;14;2;6;3;4;5;7;8;20;18;9;15;17;10;12;11;16;13;19
1;0;1;12;2;5;3;4;6;ab;7;ab;18;8;15;16;9;13;10;14;11;17
2;0;1;11;2;5;3;4;6;ab;7;ab;18;8;15;16;9;14;10;13;12;17
3;0;1;11;2;5;3;4;6;ab;7;ab;18;8;15;16;9;14;10;13;12;17
4;0;1;11;2;5;3;4;6;ab;7;ab;18;8;15;16;9;14;10;13;12;17
5;0;1;9;2;5;3;4;6;ab;7;ab;18;8;15;16;10;14;11;13;12;17
6;0;1;9;2;5;3;4;6;ab;7;ab;18;8;15;16;12;14;10;13;11;17
7;0;1;9;2;5;3;4;6;ab;7;ab;18;8;15;17;13;14;10;12;11;16
8;0;1;9;2;5;3;4;6;ab;7;ab;18;8;16;17;13;14;10;12;11;15
9;0;1;9;2;5;3;4;6;ab;7;ab;17;8;16;18;13;14;12;11;10;15
10;0;1;9;2;5;3;4;6;ab;7;ab;16;8;15;17;12;13;18;11;10;14
11;0;1;9;2;5;3;4;6;ab;7;ab;16;8;15;17;12;14;18;11;10;13
12;0;1;9;2;5;3;4;6;ab;7;ab;15;8;16;18;12;14;17;11;10;13
13;0;1;9;2;5;3;4;6;ab;7;ab;15;8;16;18;12;14;17;11;10;13
14;0;1;9;2;5;3;4;6;ab;7;ab;15;8;17;18;13;14;16;11;10;12
15;0;1;9;2;5;3;4;6;ab;7;ab;15;8;17;18;13;14;16;11;10;12
16;0;1;9;2;5;3;4;6;ab;7;ab;15;8;17;18;13;14;16;11;10;12
17;0;1;8;2;5;3;4;6;ab;9;ab;14;7;17;18;13;15;16;11;10;12
18;0;1;7;2;8;4;3;5;ab;11;ab;14;6;17;18;13;15;16;10;9;12
19;0;1;5;2;7;8;3;4;ab;11;ab;13;6;17;18;12;15;14;10;9;16
20;0;1;5;2;6;7;3;4;ab;10;ab;13;11;17;18;12;15;14;9;8;16
21;0;1;5;2;6;7;3;4;ab;10;ab;13;11;17;18;12;15;14;9;8;16
22;0;1;4;2;5;6;7;3;ab;10;ab;14;11;17;18;12;15;13;9;8;16
23;0;1;3;2;4;5;6;8;ab;10;ab;14;11;17;18;13;15;12;9;7;16
24;0;1;3;2;4;5;6;8;ab;10;ab;16;11;17;18;13;14;12;9;7;15
25;0;1;3;2;4;5;6;8;ab;10;ab;16;11;17;18;15;14;12;9;7;13
26;0;1;3;2;4;5;6;8;ab;9;ab;16;10;18;17;15;14;12;11;7;13
27;0;1;5;2;3;4;6;8;ab;9;ab;16;10;17;18;15;14;11;12;7;13
28;0;1;10;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;11;12;7;13
29;0;1;10;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;11;12;7;13
30;0;1;8;2;3;4;5;6;ab;7;ab;14;9;17;18;15;16;13;11;10;12
31;0;1;8;2;3;4;5;6;ab;7;ab;14;9;17;18;15;16;13;11;10;12
32;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;13;11;10;12
33;0;1;7;2;3;4;5;6;ab;8;ab;13;9;17;18;15;16;12;11;10;14
34;0;1;7;2;3;4;5;6;ab;8;ab;13;9;17;18;15;16;12;11;10;14
35;0;1;7;2;3;4;5;6;ab;8;ab;13;9;17;18;15;16;12;11;10;14
36;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
37;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
38;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
39;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
40;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
41;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
42;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
43;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
44;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
45;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
46;0;1;7;2;3;4;5;6;ab;8;ab;14;9;17;18;15;16;12;11;10;13
47;0;1;7;2;3;4;5;6;ab;8;ab;14;9;16;17;15;18;12;11;10;13
48;0;1;7;2;3;4;5;6;ab;8;ab;14;9;16;17;15;18;12;11;10;13
49;0;1;6;2;3;4;5;7;ab;8;ab;14;9;16;17;15;18;12;11;10;13
50;0;1;5;2;17;3;4;6;ab;7;ab;13;8;15;16;14;18;11;10;9;12
51;0;1;5;2;17;3;4;6;ab;7;ab;13;9;15;16;14;18;11;10;8;12
52;0;1;5;2;17;3;4;6;ab;7;ab;13;9;15;16;14;18;11;10;8;12
