;sc;VET;RIC;RAI;KVY;HAM;ROS;BOT;VER;MAS;GRO;HUL;ALO;PER;SAI;BUT;NAS;ERI;MAL;STE;RSI
0;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
1;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
2;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
3;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
4;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
5;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
6;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
7;0;1;2;3;4;5;6;7;20;8;13;9;11;10;12;16;14;15;17;19;18
8;0;1;2;3;4;5;6;7;20;8;17;9;11;10;12;15;13;14;16;19;18
9;0;1;2;3;4;5;6;7;20;8;17;9;12;10;14;13;11;15;16;19;18
10;0;1;2;3;4;5;6;7;20;8;13;10;14;9;15;12;11;16;17;19;18
11;0;1;2;3;5;4;6;7;20;9;13;12;14;8;15;11;10;17;16;19;18
12;1;1;2;3;8;4;5;6;19;11;12;ab;13;7;14;10;9;16;15;17;18
13;1;1;2;3;6;4;5;7;19;10;11;ab;12;8;13;16;9;15;14;17;18
14;1;1;2;3;6;4;5;7;19;14;10;ab;11;8;12;16;9;15;13;18;17
15;1;1;2;3;6;4;5;7;19;14;10;ab;11;8;12;16;9;15;13;18;17
16;1;1;2;3;6;4;5;7;19;14;10;ab;11;8;12;16;9;15;13;18;17
17;1;1;2;3;6;4;5;7;19;13;10;ab;11;8;18;15;9;14;12;17;16
18;0;1;2;3;6;4;5;7;19;13;10;ab;11;8;17;15;9;14;12;18;16
19;0;1;2;3;6;4;5;7;19;13;10;ab;11;8;16;15;9;14;12;18;17
20;0;1;2;3;6;4;5;7;19;13;10;ab;11;8;16;15;9;14;12;18;17
21;0;1;2;3;6;4;5;7;19;13;10;ab;11;8;16;15;9;14;12;18;17
22;0;1;2;3;6;4;5;7;19;13;10;ab;11;8;16;15;9;14;12;18;17
23;0;1;2;3;6;4;5;7;18;13;10;ab;11;8;16;15;9;14;12;19;17
24;0;1;2;3;6;4;5;7;17;13;10;ab;11;8;16;15;9;14;12;19;18
25;0;1;2;3;6;4;5;7;17;12;13;ab;10;8;16;15;9;14;11;19;18
26;0;1;2;3;5;8;4;6;16;11;17;ab;10;7;15;14;9;12;13;19;18
27;0;1;2;3;5;10;4;6;15;12;16;ab;9;7;14;11;8;13;17;19;18
28;0;1;2;3;5;11;4;6;12;15;13;ab;9;7;17;10;8;16;14;19;18
29;0;1;2;3;5;14;4;6;11;19;12;ab;9;7;16;10;8;15;13;18;17
30;0;1;2;3;5;16;4;6;11;ab;12;ab;9;7;15;10;8;14;13;18;17
31;0;1;2;3;5;18;4;6;11;ab;12;ab;9;7;15;10;8;14;13;17;16
