;sc;ROS;HAM;BOT;VET;MAS;RAI;RIC;GRO;PER;SAI;MAL;ALO;HUL;BUT;ERI;NAS;VER;STE;RSI;KVY
0;0;4;1;3;2;20;5;19;6;18;10;7;9;8;12;11;13;14;15;17;16
1;0;4;1;3;2;20;5;19;6;18;10;7;9;8;12;11;13;14;16;17;15
2;0;4;1;3;2;20;5;19;6;18;10;7;9;8;12;11;13;14;16;17;15
3;0;4;1;3;2;20;5;19;6;18;10;7;9;8;14;11;12;13;16;17;15
4;0;4;1;3;2;20;5;19;6;18;9;7;10;8;14;11;12;13;16;17;15
5;0;4;1;3;2;20;5;19;6;18;9;7;11;8;14;10;12;13;16;17;15
6;0;4;1;3;2;20;5;19;6;17;9;7;11;8;14;10;12;13;16;18;15
7;0;4;1;3;2;20;5;19;6;16;9;7;11;8;14;10;12;13;17;18;15
8;0;4;1;3;2;20;5;19;6;15;9;7;11;8;13;10;12;14;16;17;18
9;0;4;1;3;2;20;5;19;6;13;9;7;14;8;12;10;11;17;16;18;15
10;0;3;1;4;2;20;5;19;7;11;8;6;12;10;15;9;16;14;17;18;13
11;0;3;1;7;2;20;4;19;10;11;6;5;12;9;15;8;16;14;17;18;13
12;0;3;1;6;2;20;4;19;8;11;5;9;12;7;15;10;16;14;17;18;13
13;0;2;1;5;4;20;3;19;8;10;6;9;11;7;14;16;15;13;17;18;12
14;0;2;1;4;3;20;5;19;7;10;9;8;11;6;14;15;16;13;17;18;12
15;0;4;1;3;2;20;5;19;7;10;9;8;11;6;14;15;16;13;17;18;12
16;0;3;1;4;2;20;5;18;7;10;9;8;11;6;14;15;16;13;17;19;12
17;0;3;1;4;2;20;5;17;7;12;9;8;10;6;14;15;16;13;18;19;11
18;0;3;1;4;2;20;5;17;7;16;9;8;10;6;13;14;15;12;18;19;11
19;0;3;1;4;2;20;5;17;7;16;9;8;10;6;13;14;15;11;18;19;12
20;0;3;1;4;2;20;5;17;7;15;9;8;10;6;12;13;14;11;18;19;16
21;0;3;1;4;2;20;5;17;7;15;9;8;10;6;12;13;14;11;19;18;16
22;0;3;1;4;2;20;5;17;7;15;9;8;10;6;12;13;14;11;18;19;16
23;0;3;1;4;2;20;5;17;7;14;9;8;10;6;12;13;15;11;18;19;16
24;0;3;1;4;2;20;5;17;7;14;9;8;10;6;12;13;15;11;18;19;16
25;0;3;1;4;2;20;5;17;7;13;9;8;11;6;12;14;15;10;18;19;16
26;0;3;1;4;2;20;5;17;7;12;9;8;11;6;13;16;15;10;18;19;14
27;0;3;1;4;2;20;5;17;7;11;12;8;10;6;16;15;14;9;18;19;13
28;0;3;1;4;2;20;7;17;6;10;11;8;14;5;16;15;13;9;18;19;12
29;0;3;1;7;2;20;6;17;5;10;11;8;14;4;16;15;13;9;18;19;12
30;0;2;1;6;3;20;4;16;7;9;10;8;13;5;15;14;17;12;18;19;11
31;0;2;1;5;3;20;4;16;6;9;10;7;13;8;15;14;17;12;19;18;11
32;0;2;1;5;3;19;4;16;7;9;10;6;13;8;15;14;17;12;20;18;11
33;0;2;1;5;3;18;4;16;8;9;10;6;13;7;15;14;17;11;19;20;12
34;0;2;1;5;3;20;4;16;8;9;10;6;12;7;14;13;17;11;18;19;15
35;0;2;1;5;3;20;4;16;8;10;9;6;12;7;14;13;17;11;18;19;15
36;0;2;1;5;3;18;4;16;7;14;9;8;11;6;13;12;17;10;19;20;15
37;0;2;1;5;3;18;4;16;7;13;9;8;11;6;14;12;17;10;19;20;15
38;0;2;1;5;3;18;4;16;7;13;9;8;11;6;15;12;17;10;19;20;14
39;0;2;1;5;3;18;4;16;7;13;9;8;11;6;15;12;17;10;19;20;14
40;0;2;1;5;3;18;4;16;7;13;9;8;11;6;15;12;17;10;19;20;14
41;0;2;1;5;3;18;4;16;7;13;9;8;11;6;15;12;17;10;20;19;14
42;0;2;1;5;3;18;4;15;7;13;9;8;11;6;16;12;17;10;20;19;14
43;0;2;1;5;3;18;4;15;7;13;10;8;11;6;16;12;17;9;20;19;14
44;0;2;1;5;3;18;4;15;7;13;10;8;11;6;16;12;17;9;20;19;14
45;0;2;1;5;3;18;4;15;7;13;10;8;11;6;16;12;17;9;20;19;14
46;0;2;1;5;3;18;4;15;7;13;10;8;11;6;16;12;17;9;20;19;14
47;0;2;1;5;3;18;4;15;7;12;10;8;11;6;16;13;17;9;20;19;14
48;0;2;1;5;3;18;4;15;7;12;10;8;11;6;16;14;17;9;20;19;13
49;0;2;1;5;3;17;4;15;7;12;10;8;11;6;16;14;20;9;19;18;13
50;0;2;1;5;3;17;4;15;7;12;10;8;11;6;16;14;20;9;19;18;13
51;0;2;1;5;3;17;4;15;7;12;10;8;11;6;16;14;20;9;19;ab;13
52;0;2;1;5;3;17;4;15;7;12;10;8;11;6;16;14;20;9;19;ab;13
