;sc;ROS;HAM;BOT;VET;RAI;HUL;PER;GRO;VER;RIC;KVY;NAS;BUT;MAL;MAS;ERI;STE;MER;ALO;SAI
0;1;1;2;4;5;3;ab;6;8;18;9;7;11;10;13;12;ab;16;15;14;17
1;1;1;2;4;5;3;ab;6;17;18;8;7;10;9;12;11;ab;15;14;13;16
2;1;1;2;4;5;3;ab;6;17;18;8;7;10;9;12;11;ab;15;14;13;16
3;0;1;2;3;5;4;ab;6;15;18;8;7;9;10;12;11;ab;17;16;13;14
4;0;1;2;3;5;4;ab;6;15;18;8;7;9;10;12;11;ab;17;16;13;14
5;0;1;2;3;5;4;ab;6;15;18;8;7;9;10;12;11;ab;17;16;14;13
6;0;15;1;2;4;3;ab;5;13;17;7;6;8;10;11;9;ab;18;16;14;12
7;0;ab;1;2;4;3;ab;5;13;15;7;6;8;10;11;9;ab;17;16;14;12
8;0;ab;1;2;4;3;ab;5;13;15;7;6;8;11;10;9;ab;17;16;14;12
9;0;ab;1;2;4;3;ab;5;13;15;7;6;8;11;10;9;ab;17;16;14;12
10;0;ab;1;2;4;3;ab;5;13;15;7;6;8;12;10;9;ab;17;16;14;11
11;1;ab;1;2;4;3;ab;5;ab;14;8;6;7;12;10;9;ab;16;15;13;11
12;1;ab;1;2;4;3;ab;9;ab;12;10;5;6;14;8;7;ab;15;16;11;13
13;1;ab;1;2;4;3;ab;9;ab;11;10;5;6;13;8;7;ab;16;15;14;12
14;1;ab;1;2;4;3;ab;9;ab;11;10;5;6;13;8;7;ab;16;15;14;12
15;1;ab;1;2;4;3;ab;9;ab;11;10;5;6;13;8;7;ab;16;15;14;12
16;0;ab;1;2;3;4;ab;8;ab;12;11;5;6;13;9;7;ab;16;15;14;10
17;0;ab;1;2;3;4;ab;8;ab;12;10;5;6;13;9;7;ab;16;15;14;11
18;0;ab;1;2;3;4;ab;8;ab;12;10;5;6;13;9;7;ab;16;15;14;11
19;0;ab;1;2;3;4;ab;8;ab;12;10;5;6;13;9;7;ab;16;15;14;11
20;0;ab;1;2;3;4;ab;8;ab;12;10;5;6;13;9;7;ab;16;15;14;11
21;0;ab;1;2;3;4;ab;8;ab;12;10;5;6;13;9;7;ab;16;15;14;11
22;0;ab;1;2;3;4;ab;8;ab;12;10;5;6;13;9;7;ab;16;15;14;11
23;0;ab;1;2;3;4;ab;8;ab;14;10;5;6;12;9;7;ab;16;15;13;11
24;0;ab;1;2;3;4;ab;8;ab;15;10;5;6;12;9;7;ab;16;14;13;11
25;0;ab;1;4;2;3;ab;8;ab;14;10;5;6;12;9;7;ab;16;15;13;11
26;0;ab;1;11;2;3;ab;7;ab;14;9;4;5;12;8;6;ab;16;15;13;10
27;0;ab;1;11;2;3;ab;7;ab;14;9;4;5;12;8;6;ab;16;15;13;10
28;0;ab;1;11;2;3;ab;7;ab;14;9;4;5;12;8;6;ab;16;15;13;10
29;0;ab;1;9;3;2;ab;6;ab;14;8;4;5;12;11;7;ab;16;15;13;10
30;0;ab;1;8;6;2;ab;5;ab;14;7;3;4;10;13;12;ab;16;15;11;9
31;0;ab;1;7;4;8;ab;5;ab;14;6;2;3;10;13;12;ab;16;15;11;9
32;0;ab;1;7;4;8;ab;5;ab;14;6;3;2;10;13;12;ab;16;15;11;9
33;0;ab;1;6;2;7;ab;4;ab;14;5;9;3;10;13;12;ab;16;15;11;8
34;0;ab;1;5;2;6;ab;3;ab;14;4;8;12;10;13;9;ab;16;15;11;7
35;0;ab;1;5;2;6;ab;3;ab;14;4;8;12;10;13;9;ab;16;15;11;7
36;0;ab;1;5;2;6;ab;3;ab;14;4;8;11;10;13;9;ab;16;15;12;7
37;0;ab;1;5;2;6;ab;3;ab;14;4;8;11;10;13;9;ab;16;15;12;7
38;0;ab;1;5;2;6;ab;3;ab;14;4;8;10;11;13;9;ab;16;15;12;7
39;0;ab;1;5;2;6;ab;3;ab;14;4;8;10;11;12;9;ab;16;15;13;7
40;0;ab;1;5;2;6;ab;3;ab;14;4;8;10;11;12;9;ab;16;15;13;7
41;0;ab;1;5;2;6;ab;3;ab;14;4;8;10;11;12;9;ab;16;15;13;7
42;0;ab;1;5;2;6;ab;3;ab;14;4;9;10;12;11;8;ab;16;15;13;7
43;0;ab;1;5;2;6;ab;3;ab;14;4;9;10;12;11;8;ab;16;15;13;7
44;0;ab;1;4;2;6;ab;3;ab;14;5;8;10;12;11;7;ab;16;15;13;9
45;0;ab;1;4;2;6;ab;3;ab;13;5;8;9;11;10;7;ab;15;14;12;ab
46;0;ab;1;4;2;6;ab;3;ab;13;5;8;9;11;10;7;ab;15;14;12;ab
47;0;ab;1;4;2;5;ab;3;ab;12;15;7;8;10;9;6;ab;14;13;11;ab
48;0;ab;1;4;2;5;ab;3;ab;12;15;7;8;10;9;6;ab;14;13;11;ab
49;0;ab;1;4;2;5;ab;3;ab;12;15;7;8;10;9;6;ab;14;13;11;ab
50;0;ab;1;4;2;5;ab;3;ab;12;15;7;8;10;9;6;ab;14;13;11;ab
51;0;ab;1;3;2;4;ab;5;ab;12;15;7;8;10;9;6;ab;14;13;11;ab
52;0;ab;1;12;2;5;ab;3;ab;11;15;6;7;9;8;4;ab;14;13;10;ab
