;sc;ROS;HAM;VET;KVY;RIC;BOT;MAS;VER;PER;HUL;SAI;GRO;MAL;ERI;NAS;RSI;STE;ALO;RAI;BUT
0;0;1;2;19;3;4;5;7;6;8;9;10;12;11;13;14;15;18;20;16;17
1;0;1;2;19;3;4;5;7;6;8;9;10;12;11;13;14;17;18;ab;15;16
2;0;1;2;19;3;4;5;7;6;8;9;10;12;11;13;14;17;18;ab;15;16
3;0;1;2;19;3;4;5;7;6;8;10;9;12;11;13;14;17;18;ab;15;16
4;0;1;2;19;3;4;5;7;6;8;10;9;12;11;13;14;17;18;ab;15;16
5;0;1;2;19;3;4;5;7;6;8;10;9;12;11;13;15;17;18;ab;14;16
6;0;1;2;19;3;4;5;7;6;8;10;9;12;11;14;15;17;18;ab;13;16
7;0;1;2;19;3;4;6;7;5;8;10;9;12;11;14;15;17;18;ab;13;16
8;0;1;2;19;3;4;16;7;5;6;10;8;11;9;13;14;17;18;ab;12;15
9;0;1;2;19;3;4;13;15;5;6;16;7;9;10;14;11;17;18;ab;8;12
10;0;1;2;15;3;4;10;13;5;6;14;7;9;17;19;11;16;18;ab;8;12
11;0;1;2;14;3;4;9;10;5;6;12;7;15;16;19;13;17;18;ab;8;11
12;0;1;2;13;3;4;9;10;5;6;12;7;14;15;16;19;17;18;ab;8;11
13;0;1;2;13;3;4;8;9;5;6;10;12;14;15;16;19;17;18;ab;7;11
14;0;1;2;12;3;4;8;9;5;6;10;13;14;15;16;17;19;18;ab;7;11
15;0;1;2;12;3;4;8;9;5;6;10;13;14;15;16;17;19;18;ab;7;11
16;0;1;2;15;3;4;8;9;5;6;10;12;13;14;16;17;19;18;ab;7;11
17;0;1;2;15;3;4;8;9;5;6;10;11;13;14;16;17;19;18;ab;7;12
18;0;1;2;15;3;4;7;8;5;11;9;10;13;14;16;17;19;18;ab;6;12
19;0;1;2;15;3;4;7;8;5;11;9;10;13;14;16;17;19;18;ab;6;12
20;0;1;2;15;3;4;7;8;5;11;9;10;13;14;16;17;19;18;ab;6;12
21;0;1;2;14;5;3;6;7;4;10;8;9;11;13;15;16;18;17;ab;ab;12
22;0;1;2;13;5;3;6;7;4;10;8;9;11;12;15;16;18;17;ab;ab;14
23;0;1;2;13;5;3;6;7;4;10;8;9;11;12;15;16;18;17;ab;ab;14
24;0;1;2;13;4;7;5;6;3;10;8;9;11;12;15;16;18;17;ab;ab;14
25;0;2;1;13;3;6;4;5;8;10;7;9;11;12;15;16;18;17;ab;ab;14
26;0;2;1;13;3;6;4;5;8;10;7;9;11;12;15;16;17;18;ab;ab;14
27;0;2;1;13;3;6;4;5;8;10;7;9;11;12;15;16;18;17;ab;ab;14
28;0;1;2;13;3;6;4;5;8;10;7;9;11;12;15;16;18;17;ab;ab;14
29;0;1;2;13;3;6;4;5;8;10;7;9;11;12;14;16;18;17;ab;ab;15
30;0;1;2;13;3;6;4;5;8;10;7;9;11;12;14;15;18;17;ab;ab;16
31;0;1;2;13;3;6;4;5;8;10;7;9;11;12;14;15;18;17;ab;ab;16
32;0;1;2;13;3;6;4;5;8;9;7;10;11;12;14;15;18;17;ab;ab;16
33;0;1;2;13;3;6;4;5;8;9;7;10;11;12;14;15;18;17;ab;ab;16
34;0;1;2;13;3;6;4;5;8;9;7;10;11;12;14;15;18;17;ab;ab;16
35;0;1;2;14;3;6;4;5;8;9;7;10;11;12;13;15;18;17;ab;ab;16
36;0;1;2;14;3;6;4;5;8;9;7;10;11;12;13;15;18;17;ab;ab;16
37;0;1;2;14;3;6;4;5;8;9;7;10;11;12;13;15;18;17;ab;ab;16
