;sc;ROS;HAM;VET;RAI;HUL;KVY;BOT;MAS;VER;SAI;PER;ERI;NAS;GRO;MAL;BUT;RSI;STE;RIC;ALO
0;0;1;2;3;4;7;6;5;8;10;ab;9;18;12;11;15;13;17;19;14;16
1;0;1;2;3;4;7;6;5;8;10;ab;9;17;11;12;15;14;18;19;13;16
2;0;1;2;3;4;7;6;5;8;10;ab;9;16;11;12;14;13;18;19;17;15
3;0;1;2;3;4;7;6;5;8;10;ab;9;16;12;11;14;13;17;18;19;15
4;0;1;2;3;4;7;6;5;8;10;ab;9;16;12;11;15;13;17;18;19;14
5;0;1;2;3;4;7;6;5;8;10;ab;9;16;12;11;15;13;17;18;19;14
6;0;1;2;3;4;7;6;5;8;10;ab;9;16;12;11;15;13;17;18;19;14
7;0;1;2;3;4;7;6;5;8;10;ab;9;16;12;11;15;13;17;18;19;14
8;0;1;2;3;4;10;6;5;7;9;ab;8;16;12;11;15;13;17;19;18;14
9;0;1;2;3;4;16;6;5;8;7;ab;9;15;10;11;14;12;18;19;17;13
10;0;1;2;3;4;12;13;5;14;7;ab;15;11;6;16;10;8;18;19;17;9
11;0;1;2;3;4;10;11;8;13;15;ab;14;12;5;16;7;9;18;19;17;6
12;0;2;1;3;5;8;10;7;11;13;ab;12;18;4;14;6;16;17;19;15;9
13;0;2;1;3;4;8;9;6;10;12;ab;11;17;5;13;7;15;19;18;14;16
14;0;1;2;3;4;7;8;5;9;11;ab;10;17;15;12;6;14;19;18;13;16
15;0;1;2;3;4;7;8;5;9;11;ab;10;17;15;12;6;14;18;19;13;16
16;0;1;2;3;4;7;8;5;9;11;ab;10;17;15;12;6;14;18;19;13;16
17;0;1;2;3;4;6;8;5;9;11;ab;10;17;15;12;7;14;18;19;13;16
18;0;1;2;3;4;6;8;5;9;11;ab;10;17;15;12;7;14;18;19;13;16
19;0;1;2;3;4;6;8;5;9;11;ab;10;17;15;12;7;14;18;19;13;16
20;0;1;2;3;4;6;8;5;9;11;ab;10;17;15;12;7;14;18;19;13;16
21;0;1;2;3;4;6;7;5;8;11;ab;10;17;15;12;9;14;18;19;13;16
22;0;1;2;3;4;6;7;5;8;11;ab;10;17;14;12;9;15;18;19;13;16
23;0;1;2;3;4;6;7;5;8;11;ab;10;17;14;12;9;15;18;19;13;16
24;0;1;2;3;4;6;7;5;8;10;ab;9;17;14;11;12;15;18;19;13;16
25;0;1;2;3;4;6;7;5;8;10;ab;9;16;13;11;17;14;18;19;12;15
26;0;1;2;3;4;6;7;5;8;10;ab;9;16;13;11;17;14;18;19;12;15
27;0;1;2;3;4;6;7;5;8;10;ab;9;16;12;11;17;13;18;19;14;15
28;0;1;2;3;4;6;7;5;8;10;ab;9;14;12;11;15;13;18;19;17;16
29;0;1;2;3;4;6;7;5;8;10;ab;9;14;12;11;15;13;18;19;17;16
30;0;1;2;3;4;6;7;5;8;10;ab;9;13;12;11;14;16;18;19;17;15
31;0;1;2;3;4;6;7;5;8;9;ab;11;17;12;10;13;16;18;19;15;14
32;0;2;1;4;3;6;7;5;8;9;ab;11;17;12;10;13;15;19;18;14;16
33;0;2;1;4;3;6;7;5;8;10;ab;13;17;11;9;12;15;19;18;14;16
34;0;1;2;4;3;8;6;5;7;12;ab;13;17;10;9;11;15;19;18;14;16
35;0;1;2;4;3;8;6;5;7;11;ab;12;17;9;13;10;15;19;18;14;16
36;0;1;2;4;3;8;6;5;7;11;ab;13;17;10;12;9;15;19;18;14;16
37;0;1;2;4;3;8;6;5;7;11;ab;13;17;10;12;9;15;19;18;14;16
38;0;1;2;3;4;7;6;5;9;10;ab;13;17;12;11;8;15;19;18;14;16
39;0;1;2;3;4;6;8;5;9;11;ab;12;17;16;10;7;14;18;19;13;15
40;0;1;2;3;4;6;8;5;9;11;ab;12;17;16;10;7;14;18;19;13;15
41;0;1;2;3;4;6;7;5;9;11;ab;12;17;16;10;8;14;19;18;13;15
42;0;1;2;3;4;6;7;5;9;11;ab;12;17;16;10;8;14;19;18;13;15
43;0;1;2;3;4;6;7;5;8;11;ab;12;17;16;10;9;14;19;18;13;15
44;0;1;2;3;4;6;7;5;8;10;ab;11;17;15;9;16;13;19;18;12;14
45;0;1;2;3;4;6;7;5;8;10;ab;11;17;15;9;16;13;19;18;12;14
46;0;1;2;3;4;6;7;5;8;10;ab;11;17;15;9;16;13;19;18;12;14
47;0;2;1;3;4;6;7;5;8;10;ab;12;17;15;9;16;13;19;18;11;14
48;0;2;1;3;4;6;7;5;8;10;ab;12;17;15;9;16;13;19;18;11;14
49;0;1;2;3;4;6;7;5;8;10;ab;12;17;15;9;16;13;19;18;11;14
50;0;1;2;3;4;6;7;5;8;10;ab;12;17;14;9;16;15;19;18;11;13
51;0;1;2;3;4;6;7;5;8;10;ab;15;17;12;9;13;16;19;18;11;14
52;0;1;2;3;4;6;7;5;8;10;ab;13;17;11;9;12;15;19;18;14;16
53;0;1;2;3;4;6;7;5;8;12;ab;13;17;10;9;11;15;19;18;14;16
54;0;1;2;3;4;6;7;5;8;12;ab;13;17;9;11;10;15;19;18;14;16
55;0;1;2;3;4;6;7;5;8;12;ab;13;17;11;10;9;15;19;18;14;16
56;0;1;2;3;4;6;7;5;8;12;ab;13;17;11;10;9;15;19;18;14;16
57;0;1;2;3;4;6;7;5;8;11;ab;13;17;12;9;10;15;19;18;14;16
58;0;1;2;3;4;6;7;5;8;11;ab;12;17;13;9;10;15;19;18;14;16
59;0;1;2;3;4;6;7;5;8;11;ab;12;17;14;9;10;15;19;18;13;16
60;0;1;2;3;4;6;7;5;8;11;ab;12;17;14;9;10;15;19;18;13;16
61;0;1;2;3;4;6;7;5;8;11;ab;12;17;14;9;10;15;19;18;13;16
62;0;1;2;3;4;6;7;5;8;11;ab;12;17;14;9;10;15;19;18;13;16
63;0;1;2;3;4;6;7;5;8;11;ab;12;17;14;9;10;15;19;18;13;16
