;sc;ROS;HAM;RAI;PER;RIC;BOT;HUL;MAS;KVY;SAI;VER;BUT;MAL;NAS;VET;ALO;ERI;GRO;STE;MER
0;0;1;2;3;4;6;10;5;8;9;7;11;13;ab;14;12;19;16;15;17;18
1;0;1;2;3;4;6;10;5;8;9;7;11;13;ab;14;12;19;16;15;17;18
2;0;1;2;3;4;6;10;5;7;9;8;11;13;ab;14;12;19;16;15;17;18
3;0;1;2;3;4;6;10;5;7;9;8;11;13;ab;16;12;19;15;14;17;18
4;0;1;2;3;4;6;9;5;7;10;8;11;13;ab;18;12;19;15;14;16;17
5;0;1;2;3;4;6;9;5;7;15;8;11;12;ab;18;10;19;14;13;16;17
6;0;1;2;3;12;13;5;4;14;15;6;8;9;ab;18;7;19;11;10;16;17
7;0;1;2;3;9;11;4;12;13;14;15;6;7;ab;17;5;19;10;8;16;18
8;0;1;2;3;6;8;15;9;10;11;12;13;14;ab;17;4;19;7;5;16;18
9;0;1;2;3;6;8;18;9;10;11;12;13;14;ab;15;4;19;7;5;16;17
10;0;2;1;4;6;8;18;9;10;11;12;13;14;ab;15;3;19;7;5;16;17
11;0;1;3;4;5;7;17;8;10;11;12;13;14;ab;15;2;19;9;6;16;18
12;0;1;3;4;5;7;17;8;9;10;12;13;14;ab;15;2;19;11;6;16;18
13;0;1;2;4;5;7;16;8;9;10;12;13;14;ab;15;3;19;11;6;17;18
14;0;1;2;4;5;7;16;8;9;10;11;12;14;ab;15;3;19;13;6;17;18
15;0;1;2;3;5;7;16;8;9;10;11;12;13;ab;14;4;19;15;6;17;18
16;0;1;2;3;5;7;16;8;9;10;11;12;13;ab;14;4;19;15;6;17;18
17;0;1;2;3;5;7;16;8;9;10;12;11;13;ab;14;4;19;15;6;17;18
18;0;1;2;3;5;7;16;8;9;10;12;11;13;ab;14;4;19;15;6;17;18
19;0;1;2;3;5;7;16;8;9;10;11;12;13;ab;14;4;19;15;6;17;18
20;0;1;2;3;5;7;16;8;9;10;11;15;12;ab;13;4;19;14;6;17;18
21;0;1;2;3;5;7;16;8;9;10;11;15;12;ab;13;4;18;14;6;17;19
22;0;1;2;3;5;6;16;8;9;10;11;15;12;ab;13;4;18;14;7;17;19
23;0;1;2;3;4;5;16;8;7;9;10;15;12;ab;13;6;17;14;11;18;19
24;0;1;2;3;4;5;16;13;7;8;9;14;11;ab;12;6;17;15;10;18;19
25;0;1;2;3;4;6;16;11;7;12;8;14;10;ab;13;5;17;15;9;18;19
26;0;1;2;3;4;7;15;9;12;11;6;13;10;ab;16;5;17;14;8;18;19
27;0;1;2;3;5;6;14;9;11;10;7;12;15;ab;16;4;17;13;8;18;19
28;0;1;2;3;5;6;14;8;10;9;12;11;15;ab;16;4;17;13;7;18;19
29;0;1;2;3;5;6;16;8;10;9;12;11;14;ab;15;4;17;13;7;18;19
30;0;2;1;3;5;6;16;8;10;9;12;11;14;ab;15;4;17;13;7;18;19
31;0;3;1;2;5;6;16;8;10;9;12;11;14;ab;15;4;17;13;7;18;19
32;0;2;1;4;5;6;16;8;10;9;11;12;14;ab;15;3;17;13;7;18;19
33;0;2;1;4;5;6;16;8;10;9;11;12;14;ab;15;3;17;13;7;18;19
34;0;2;1;4;5;6;16;8;10;9;11;12;14;ab;15;3;17;13;7;18;19
35;0;2;1;3;5;6;16;8;10;9;11;12;14;ab;15;4;17;13;7;18;19
36;0;2;1;3;5;6;16;8;10;9;11;12;14;ab;15;4;17;13;7;18;19
37;0;2;1;3;5;6;16;8;10;9;11;12;14;ab;15;4;17;13;7;18;19
38;0;2;1;3;5;6;16;8;10;9;11;15;13;ab;14;4;17;12;7;18;19
39;0;2;1;3;4;5;16;8;10;9;11;15;13;ab;14;6;17;12;7;18;19
40;0;2;1;3;4;6;16;8;10;9;11;14;12;ab;13;5;17;15;7;18;19
41;0;1;2;3;4;6;15;8;10;9;11;14;12;ab;13;5;17;16;7;18;19
42;0;1;2;3;4;6;15;7;10;9;11;13;12;ab;14;5;17;16;8;18;19
43;0;1;2;3;4;6;15;7;9;8;10;13;12;ab;14;5;17;16;11;18;19
44;0;1;2;3;5;6;14;7;9;8;10;12;13;ab;16;4;17;15;11;18;19
45;0;1;2;3;5;6;14;7;9;8;10;12;13;ab;16;4;17;15;11;18;19
46;0;1;2;3;5;6;14;7;8;9;10;12;13;ab;16;4;17;15;11;18;19
47;0;1;2;3;5;6;14;7;8;9;10;12;13;ab;16;4;17;15;11;18;19
48;0;1;2;3;5;6;14;7;8;9;10;12;13;ab;16;4;17;15;11;18;19
49;0;1;2;3;5;6;14;7;8;9;10;12;13;ab;16;4;17;15;11;18;19
50;0;1;2;3;5;6;14;7;8;9;10;12;13;ab;16;4;17;15;11;18;19
51;0;1;2;3;5;6;14;7;8;9;11;12;13;ab;16;4;17;15;10;18;19
52;0;1;2;3;5;6;14;7;8;10;11;12;13;ab;16;4;17;15;9;18;19
53;0;1;2;3;5;6;14;7;8;10;11;12;13;ab;16;4;17;15;9;18;19
54;0;1;2;3;5;6;13;7;8;10;11;16;12;ab;15;4;17;14;9;18;19
