;sc;HAM;VET;ROS;RIC;KVY;VER;MAS;BOT;ERI;GRO;RAI;MAL;HUL;PER;SAI;NAS;BUT;ALO;MER
0;0;1;2;3;4;6;9;5;14;8;10;12;19;7;16;11;13;17;15;18
1;0;1;2;3;4;6;10;5;12;8;9;18;19;7;13;11;17;15;14;16
2;0;1;2;3;4;6;10;5;12;8;9;18;19;7;13;11;17;15;14;16
3;1;2;1;3;4;6;10;5;11;ab;8;17;18;7;12;9;16;15;13;14
4;1;6;1;9;7;10;12;8;13;ab;3;17;18;2;5;4;16;15;14;11
5;1;6;1;9;7;11;10;8;12;ab;3;16;18;2;5;4;17;14;13;15
6;0;5;1;9;6;11;10;7;12;ab;3;15;18;2;8;4;17;14;13;16
7;0;5;1;8;6;10;9;7;11;ab;3;15;18;2;12;4;16;14;13;17
8;0;5;1;7;6;10;9;8;11;ab;3;15;18;2;12;4;16;14;13;17
9;0;2;1;7;6;11;9;8;10;ab;4;14;18;3;12;5;16;15;13;17
10;0;2;1;7;6;11;10;8;9;ab;4;13;17;3;12;5;16;15;14;18
11;0;2;1;5;7;11;10;8;9;ab;4;13;17;3;12;6;16;15;14;18
12;0;2;1;4;7;11;10;8;9;ab;5;12;17;3;13;6;16;15;14;18
13;0;2;1;3;8;10;9;6;7;ab;5;12;17;4;14;11;16;15;13;18
14;0;2;1;3;6;9;7;4;5;ab;10;17;15;8;12;16;14;13;11;18
15;0;2;1;3;6;8;7;4;5;ab;17;14;13;16;11;15;12;10;9;18
16;0;2;1;3;7;8;6;4;5;ab;15;12;16;17;13;14;11;10;9;18
17;0;1;3;2;9;7;6;4;5;ab;14;11;16;15;17;13;12;10;8;18
18;0;1;3;2;15;7;6;4;5;ab;12;9;18;14;16;11;13;10;8;17
19;0;1;3;2;15;6;7;4;5;ab;12;8;17;14;16;10;13;11;9;18
20;0;1;2;3;12;7;13;4;5;ab;8;6;17;11;15;9;16;10;14;18
21;0;1;2;3;10;12;11;4;5;ab;7;6;16;9;13;8;14;15;ab;17
22;0;1;2;3;11;12;10;4;5;ab;7;6;16;9;13;8;14;15;ab;17
23;0;2;1;3;11;12;9;5;4;ab;7;6;16;10;13;8;14;15;ab;17
24;0;3;1;2;11;12;9;8;5;ab;6;4;16;10;13;7;14;15;ab;17
25;0;3;1;2;11;13;8;7;9;ab;5;4;16;10;12;6;14;15;ab;17
26;0;2;1;4;10;12;7;6;8;ab;13;3;16;9;11;5;14;15;ab;17
27;0;2;1;4;9;12;7;6;8;ab;13;3;16;10;11;5;14;15;ab;17
28;0;2;1;3;9;11;7;5;8;ab;13;4;16;10;12;6;14;15;ab;17
29;0;2;1;3;9;10;6;5;7;ab;14;4;16;11;12;8;15;13;ab;17
30;0;2;1;3;9;10;6;5;7;ab;14;4;15;13;11;8;16;12;ab;17
31;0;2;1;3;9;10;6;5;7;ab;13;4;14;15;11;8;16;12;ab;17
32;0;2;1;3;8;9;6;5;7;ab;12;4;14;15;10;13;16;11;ab;17
33;0;2;1;3;9;8;7;5;6;ab;13;4;16;14;10;12;15;11;ab;17
34;0;2;1;3;12;8;6;4;5;ab;15;7;16;13;10;9;14;11;ab;17
35;0;2;1;3;10;8;7;4;5;ab;13;6;15;11;16;9;12;14;ab;17
36;0;2;1;3;10;8;7;4;5;ab;13;6;15;11;16;9;12;14;ab;17
37;0;1;2;3;10;8;7;4;5;ab;13;6;15;11;16;9;12;14;ab;17
38;0;3;1;2;10;8;6;7;4;ab;13;5;15;11;16;9;12;14;ab;17
39;0;3;1;2;9;10;7;6;5;ab;13;4;14;11;15;8;12;16;ab;17
40;0;3;1;2;9;10;8;5;6;ab;13;4;14;11;15;7;12;16;ab;17
41;0;2;1;3;9;10;8;5;6;ab;12;4;14;11;15;7;13;ab;ab;16
42;0;2;1;3;9;10;8;5;6;ab;12;4;14;11;15;7;13;ab;ab;16
43;0;2;1;3;9;10;8;5;6;ab;11;4;13;12;14;7;15;ab;ab;16
44;0;2;1;3;9;10;8;5;6;ab;11;4;12;15;13;7;14;ab;ab;16
45;0;2;1;3;9;10;8;5;6;ab;11;4;12;15;13;7;14;ab;ab;16
46;0;2;1;3;9;10;8;5;6;ab;11;4;14;15;12;7;13;ab;ab;16
47;0;2;1;3;9;10;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
48;0;2;1;3;9;10;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
49;0;2;1;3;9;10;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
50;0;2;1;3;9;10;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
51;0;2;1;3;10;9;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
52;0;2;1;3;10;9;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
53;0;2;1;3;10;9;7;5;6;ab;11;4;ab;14;13;8;12;ab;ab;15
54;0;2;1;3;10;9;7;6;5;ab;11;4;ab;14;13;8;12;ab;ab;15
55;0;2;1;3;10;9;7;6;5;ab;11;4;ab;14;13;8;12;ab;ab;15
