;sc;HAM;ROS;VET;MAS;BOT;RAI;RIC;GRO;NAS;ERI;MAL;KVY;VER;SAI;PER;HUL;BUT;ALO;STE;MER
0;0;1;2;3;5;6;4;17;7;8;9;10;13;11;14;15;12;18;16;20;19
1;0;1;2;3;5;6;4;16;7;8;9;10;13;11;20;14;12;17;15;19;18
2;0;1;2;3;5;6;4;15;7;8;10;9;13;11;19;14;12;17;16;20;18
3;0;1;2;3;5;6;4;15;7;8;10;9;14;11;18;13;12;17;16;20;19
4;0;1;2;3;5;6;4;15;7;8;10;9;14;11;18;13;12;17;16;20;19
5;0;1;2;3;5;6;4;14;7;8;10;9;15;11;18;13;12;17;16;20;19
6;0;1;2;3;5;6;4;14;7;8;10;9;15;11;18;13;12;17;16;20;19
7;0;1;2;3;5;6;4;14;7;9;10;8;15;11;18;13;12;17;16;20;19
8;0;1;2;3;5;6;4;14;7;9;11;8;15;10;18;13;12;17;16;19;20
9;0;1;2;3;5;6;4;13;7;11;10;8;14;9;17;12;ab;16;15;18;19
10;0;1;2;3;5;6;4;11;7;16;10;9;13;8;17;12;ab;15;14;18;19
11;0;1;2;3;5;6;4;10;7;15;8;12;11;9;16;17;ab;13;14;18;19
12;0;1;2;4;6;5;3;8;11;13;7;10;9;14;16;15;ab;12;17;18;19
13;0;2;1;5;6;4;3;8;11;12;7;9;10;13;16;15;ab;14;17;18;19
14;0;3;1;4;5;6;2;15;8;10;14;7;9;11;13;12;ab;17;16;18;19
15;0;1;2;3;5;6;4;14;8;9;12;7;ab;10;13;11;ab;16;15;17;18
16;0;1;2;3;5;6;4;13;8;9;12;7;ab;10;14;11;ab;15;16;18;17
17;0;1;2;3;5;6;4;13;8;9;12;7;ab;10;14;11;ab;15;16;17;18
18;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;14;11;ab;15;16;17;18
19;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;16;11;ab;14;15;17;18
20;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;16;11;ab;14;15;17;18
21;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;16;11;ab;14;15;17;18
22;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;16;11;ab;14;15;17;18
23;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;16;11;ab;14;15;17;18
24;0;1;2;3;5;6;4;13;8;10;12;7;ab;9;16;11;ab;14;15;17;18
25;0;1;2;3;5;6;4;12;8;10;11;7;ab;9;16;13;ab;14;15;17;18
26;0;1;2;3;5;6;4;12;8;10;11;7;ab;9;16;14;ab;13;15;17;18
27;0;1;2;3;5;6;4;11;8;10;12;7;ab;9;16;14;ab;13;15;17;18
28;0;1;2;3;5;6;4;11;8;10;12;7;ab;9;16;14;ab;13;15;17;18
29;0;1;2;4;5;6;3;11;8;10;12;7;ab;9;16;14;ab;13;15;17;18
30;0;1;2;4;5;6;3;10;8;11;15;7;ab;9;16;12;ab;13;14;17;18
31;0;1;3;4;5;6;2;10;8;12;14;7;ab;9;16;11;ab;13;15;17;18
32;0;1;3;4;5;6;2;7;8;11;13;12;ab;10;16;9;ab;15;14;17;18
33;0;2;3;4;5;6;1;7;8;11;12;14;ab;10;16;9;ab;15;13;17;18
34;0;1;2;3;6;5;4;7;8;11;12;14;ab;10;16;9;ab;15;13;17;18
35;0;1;2;3;5;6;4;8;7;11;12;13;ab;10;16;9;ab;14;15;17;18
36;0;1;2;3;5;6;4;12;7;10;11;13;ab;9;16;8;ab;14;15;17;18
37;0;1;2;3;5;6;4;12;7;10;11;13;ab;9;16;8;ab;14;15;17;18
38;0;1;2;3;5;6;4;12;7;10;11;14;ab;9;16;8;ab;13;15;18;17
39;0;1;2;3;5;6;4;12;7;9;11;14;ab;8;16;10;ab;13;15;18;17
40;0;1;2;3;5;6;4;12;7;9;11;14;ab;8;16;10;ab;13;15;17;18
41;0;1;2;3;5;6;4;11;7;9;10;14;ab;8;16;12;ab;13;15;17;18
42;0;1;2;3;5;6;4;10;7;9;11;14;ab;8;16;12;ab;13;15;17;18
43;0;1;2;3;5;6;4;10;7;9;11;14;ab;8;16;12;ab;13;15;17;18
44;0;1;2;3;5;6;4;10;7;9;11;14;ab;8;16;12;ab;13;15;17;18
45;0;1;2;3;5;6;4;10;7;9;11;14;ab;8;16;12;ab;13;15;17;18
46;0;1;2;3;5;6;4;10;7;9;11;13;ab;8;16;12;ab;14;15;17;18
47;0;1;2;3;5;6;4;10;7;9;11;15;ab;8;16;12;ab;14;13;17;18
48;0;1;2;3;5;6;4;10;7;9;11;16;ab;8;15;12;ab;14;13;17;18
49;0;1;2;3;5;6;4;10;7;9;11;ab;ab;8;15;12;ab;14;13;16;17
50;0;1;2;3;5;6;4;10;7;9;11;ab;ab;8;15;12;ab;14;13;16;17
51;0;1;2;3;5;6;4;10;7;9;11;ab;ab;8;15;12;ab;14;13;16;17
52;0;1;2;3;5;6;4;9;7;8;10;ab;ab;17;14;11;ab;13;12;15;16
53;1;1;2;3;5;6;4;9;7;8;10;ab;ab;17;14;11;ab;13;12;15;16
54;1;1;2;3;5;6;4;9;7;8;10;ab;ab;17;14;11;ab;13;12;15;16
55;1;1;2;3;5;6;4;9;7;8;10;ab;ab;17;13;11;ab;14;12;15;16
