;sc;ROS;HAM;VET;BOT;SAI;VER;RAI;KVY;MAS;RIC;GRO;MAL;ALO;BUT;NAS;ERI;HUL;PER;MER;STE
0;0;1;3;2;4;7;6;5;13;8;10;9;11;12;17;14;15;18;16;19;20
1;0;1;3;2;4;7;6;5;13;8;11;9;10;12;18;14;15;17;16;19;20
2;0;1;3;2;4;8;6;5;13;7;11;9;10;12;18;14;15;17;16;19;20
3;0;1;3;2;4;8;7;5;13;6;10;11;9;12;18;14;15;17;16;19;20
4;0;1;3;2;4;9;7;5;13;6;10;11;8;12;18;14;15;17;16;19;20
5;0;1;3;2;4;10;7;5;13;6;9;11;8;12;18;14;15;17;16;19;20
6;0;1;3;2;4;11;7;5;13;6;9;10;8;12;18;14;15;17;16;19;20
7;0;1;3;2;4;11;8;5;13;6;9;10;7;12;18;14;15;17;16;19;20
8;0;1;3;2;4;11;8;5;13;6;9;10;7;12;18;14;15;17;16;19;20
9;0;1;3;2;4;11;8;5;13;6;9;10;7;12;17;14;15;18;16;19;20
10;0;1;3;2;4;11;8;5;16;6;9;10;7;12;17;13;14;20;15;19;18
11;0;1;3;2;4;11;8;5;16;6;9;10;7;12;20;15;13;17;14;19;18
12;0;1;3;2;4;11;10;5;15;6;9;8;7;12;19;17;13;16;14;20;18
13;0;1;6;2;3;10;14;4;15;5;13;8;7;9;18;17;11;16;12;20;19
14;0;1;5;4;3;14;13;2;15;7;11;6;12;8;18;17;9;16;10;20;19
15;0;2;4;3;5;13;12;1;14;6;10;11;19;7;17;16;8;15;9;20;18
16;0;1;4;3;5;13;12;2;14;6;10;11;18;7;17;16;8;15;9;19;20
17;0;1;3;2;4;14;12;5;13;6;9;11;18;7;17;16;10;15;8;20;19
18;0;1;3;2;4;13;11;5;12;6;8;9;18;7;17;15;16;14;10;20;19
19;0;1;3;2;4;12;10;5;11;6;8;9;18;7;17;13;15;14;16;20;19
20;0;1;3;2;4;12;10;5;11;6;8;9;18;7;17;13;15;14;16;20;19
21;0;1;3;2;4;11;9;5;10;6;7;8;18;14;17;12;15;13;16;20;19
22;0;1;3;2;4;11;10;5;9;6;7;8;18;14;17;12;15;13;16;20;19
23;0;1;3;2;4;11;10;5;9;6;7;8;18;14;17;12;15;13;16;20;19
24;0;1;3;2;4;11;10;5;9;6;7;8;18;14;17;12;15;13;16;20;19
25;0;1;3;2;4;11;10;5;9;6;7;8;17;16;18;12;13;14;15;20;19
26;0;1;3;2;4;11;10;5;9;6;7;8;15;ab;16;12;13;17;14;19;18
27;0;1;3;2;4;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
28;0;1;3;2;4;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
29;0;1;3;2;4;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
30;0;1;3;2;4;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
31;0;1;3;2;4;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
32;0;1;5;2;3;11;10;4;9;6;7;8;15;ab;17;12;13;16;14;19;18
33;0;1;4;2;3;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
34;0;1;4;2;3;11;10;5;9;6;7;8;15;ab;17;12;13;16;14;19;18
35;0;1;4;2;3;11;10;5;9;6;7;8;14;ab;17;12;13;15;16;19;18
36;0;1;4;2;3;10;11;5;9;6;7;8;14;ab;16;12;13;15;17;19;18
