;sc;HAM;ROS;VET;RIC;KVY;RAI;PER;MAL;VER;BUT;HUL;MAS;ALO;NAS;GRO;BOT;ERI;STE;MER;SAI
0;0;1;2;3;5;4;6;7;8;9;10;19;20;11;12;13;14;15;16;18;17
1;0;1;2;3;5;4;6;7;8;9;10;19;20;11;12;13;14;15;17;18;16
2;0;1;2;3;5;4;6;7;8;9;10;19;20;11;12;13;14;15;17;18;16
3;0;1;2;3;5;4;6;7;8;9;10;19;20;11;12;13;14;15;17;18;16
4;0;1;2;3;5;4;6;7;8;9;10;19;20;11;12;13;14;15;17;18;16
5;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
6;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
7;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
8;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
9;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
10;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
11;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;15;17;16
12;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;15;16;17
13;0;1;2;3;5;4;6;7;ab;8;9;18;19;10;11;12;13;14;16;17;15
14;0;1;2;3;5;4;6;7;ab;8;9;17;19;10;11;12;13;14;16;18;15
15;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
16;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
17;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
18;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
19;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
20;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
21;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
22;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;17;18;15
23;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;18;17;15
24;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;18;17;15
25;0;1;2;3;5;4;6;7;ab;8;9;16;19;10;11;12;13;14;18;17;15
26;0;1;2;3;5;4;6;7;ab;8;9;16;18;10;11;12;13;14;19;17;15
27;0;1;2;3;4;8;5;6;ab;7;9;16;18;10;11;12;13;14;19;17;15
