;sc;HAM;ROS;VET;MAS;HUL;BOT;VER;NAS;GRO;MAL;ERI;SAI;PER;RAI;KVY;MER;STE;RIC;ALO;BUT
0;1;2;1;3;4;5;7;6;8;10;12;14;9;11;ab;13;15;18;16;ab;17
1;1;2;1;3;4;5;7;6;8;10;12;14;9;11;ab;17;13;ab;15;ab;16
2;1;2;1;3;4;5;7;6;8;10;12;17;9;11;ab;15;13;ab;14;ab;16
3;1;2;1;3;4;5;7;6;8;10;12;16;9;11;ab;15;13;ab;14;ab;17
4;1;2;1;3;4;5;7;6;8;10;12;16;9;11;ab;15;13;ab;14;ab;17
5;1;2;1;3;4;5;7;6;8;10;12;16;9;11;ab;15;13;ab;14;ab;17
6;0;2;1;3;4;5;7;6;8;11;12;16;9;10;ab;15;14;ab;13;ab;17
7;0;2;1;3;4;5;7;6;8;11;12;16;9;10;ab;14;15;ab;13;ab;17
8;0;2;1;3;4;5;7;6;8;11;12;15;9;10;ab;14;16;ab;13;ab;ab
9;0;2;1;3;4;5;7;6;8;11;12;15;9;10;ab;14;16;ab;13;ab;ab
10;0;2;1;3;4;5;7;6;8;11;12;15;9;10;ab;14;16;ab;13;ab;ab
11;0;2;1;3;4;5;7;6;8;11;12;15;9;10;ab;14;16;ab;13;ab;ab
12;0;2;1;3;4;5;7;6;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
13;0;2;1;3;4;5;7;6;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
14;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
15;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
16;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
17;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
18;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
19;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
20;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
21;0;2;1;3;4;5;6;7;8;11;12;16;9;10;ab;14;15;ab;13;ab;ab
22;0;2;1;3;4;5;6;7;8;12;11;16;9;10;ab;14;15;ab;13;ab;ab
23;0;2;1;3;4;5;6;7;10;14;11;16;8;9;ab;13;15;ab;12;ab;ab
24;0;2;1;3;4;6;5;7;13;14;10;16;9;8;ab;12;15;ab;11;ab;ab
25;0;2;1;3;4;9;5;6;13;12;8;16;14;7;ab;11;15;ab;10;ab;ab
26;0;2;1;3;4;7;8;11;13;12;6;16;14;5;ab;10;15;ab;9;ab;ab
27;0;2;1;3;4;7;8;11;13;12;6;16;14;5;ab;10;15;ab;9;ab;ab
28;0;2;1;3;4;7;8;10;13;12;6;16;14;5;ab;11;15;ab;9;ab;ab
29;0;2;1;3;4;7;8;10;13;12;6;16;14;5;ab;11;15;ab;9;ab;ab
30;0;2;1;3;4;7;8;10;13;11;6;16;14;5;ab;12;15;ab;9;ab;ab
31;0;2;1;3;4;7;8;10;13;11;6;16;14;5;ab;12;15;ab;9;ab;ab
32;0;1;2;3;4;7;8;10;13;11;6;16;14;5;ab;12;15;ab;9;ab;ab
33;0;1;3;2;4;7;8;10;13;11;6;15;14;5;ab;12;16;ab;9;ab;ab
34;0;1;3;2;4;8;7;10;12;13;6;14;15;5;ab;11;16;ab;9;ab;ab
35;0;3;2;1;4;8;7;10;12;ab;6;13;ab;5;ab;11;14;ab;9;ab;ab
36;0;2;1;4;3;7;6;10;12;ab;8;13;ab;5;ab;11;14;ab;9;ab;ab
37;0;2;1;4;3;6;5;9;11;ab;12;13;ab;7;ab;10;14;ab;8;ab;ab
38;0;2;1;4;3;6;5;7;10;ab;11;13;ab;12;ab;9;14;ab;8;ab;ab
39;0;2;1;4;3;6;5;7;10;ab;9;13;ab;12;ab;11;14;ab;8;ab;ab
