;sc;HAM;ROS;MAS;BOT;RAI;VET;KVY;SAI;HUL;RIC;PER;GRO;VER;MAL;ERI;NAS;ALO;BUT;STE;MER
0;1;2;4;1;3;6;8;7;11;5;13;10;ab;14;ab;12;np;9;ab;15;16
1;1;2;4;1;3;6;8;7;10;5;12;9;ab;13;ab;11;np;16;ab;14;15
2;1;3;4;1;2;6;8;7;10;5;11;9;ab;13;ab;12;np;16;ab;14;15
3;0;3;4;1;2;6;9;7;10;5;11;8;ab;ab;ab;12;np;14;ab;13;15
4;0;3;4;1;2;6;9;7;10;5;11;8;ab;ab;ab;12;np;14;ab;13;15
5;0;3;4;1;2;6;9;7;10;5;11;8;ab;ab;ab;12;np;13;ab;14;15
6;0;3;4;1;2;6;9;7;10;5;11;8;ab;ab;ab;12;np;13;ab;14;15
7;0;3;4;1;2;6;9;7;10;5;11;8;ab;ab;ab;12;np;13;ab;14;15
8;0;3;4;1;2;6;8;7;10;5;11;9;ab;ab;ab;12;np;13;ab;14;15
9;0;3;4;1;2;6;8;7;10;5;11;9;ab;ab;ab;12;np;13;ab;14;15
10;0;3;4;1;2;6;8;7;11;5;10;9;ab;ab;ab;12;np;13;ab;14;15
11;0;3;4;1;2;6;8;7;10;5;13;9;ab;ab;ab;11;np;12;ab;14;15
12;0;3;4;1;2;5;8;7;13;6;12;9;ab;ab;ab;10;np;11;ab;14;15
13;0;3;4;1;2;10;6;7;13;5;12;8;ab;ab;ab;9;np;11;ab;14;15
14;0;3;4;1;2;9;10;6;13;5;12;7;ab;ab;ab;8;np;11;ab;14;15
15;0;3;4;1;2;9;10;6;11;5;13;7;ab;ab;ab;8;np;12;ab;14;15
16;0;3;4;1;2;9;10;6;11;5;13;7;ab;ab;ab;8;np;12;ab;14;15
17;0;3;4;1;2;9;10;5;11;6;12;7;ab;ab;ab;8;np;14;ab;13;15
18;0;1;4;2;3;7;8;10;11;5;12;6;ab;ab;ab;9;np;13;ab;14;15
19;0;4;2;1;3;6;7;9;11;10;13;5;ab;ab;ab;8;np;12;ab;14;15
20;0;2;4;3;1;5;6;7;10;8;15;11;ab;ab;ab;9;np;12;ab;13;14
21;0;1;4;2;3;5;6;7;10;8;ab;11;ab;ab;ab;9;np;12;ab;13;14
22;0;1;4;2;3;5;6;7;10;8;ab;11;ab;ab;ab;9;np;12;ab;13;14
23;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
24;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
25;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
26;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
27;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
28;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
29;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
30;0;1;4;2;3;5;6;7;9;8;ab;10;ab;ab;ab;11;np;12;ab;13;14
31;0;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
32;0;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
33;1;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
34;1;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
35;0;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
36;0;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
37;0;1;4;2;3;5;6;7;ab;8;ab;9;ab;ab;ab;10;np;11;ab;12;13
38;0;1;3;2;4;8;5;6;ab;7;ab;9;ab;ab;ab;10;np;11;ab;12;13
39;0;1;3;2;4;8;5;6;ab;7;ab;9;ab;ab;ab;10;np;11;ab;12;13
40;0;1;2;3;4;9;5;6;ab;7;ab;8;ab;ab;ab;10;np;11;ab;12;13
41;0;1;2;3;4;9;5;6;ab;7;ab;8;ab;ab;ab;11;np;10;ab;13;12
42;0;1;2;3;4;9;5;6;ab;7;ab;8;ab;ab;ab;11;np;10;ab;12;13
43;0;2;1;3;4;8;5;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;12;13
44;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
45;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
46;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
47;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
48;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
49;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
50;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
51;0;1;2;4;5;8;3;6;ab;7;ab;9;ab;ab;ab;11;np;10;ab;13;12
