;sc;HAM;ROS;VET;RAI;VER;MAS;SAI;RIC;PER;HUL;ALO;BUT;PAL;MAG;ERI;BOT;NAS;KVY;GRO;GUT;WEH;HAR
0;0;6;3;1;2;4;5;7;9;11;8;10;12;13;21;15;17;16;np;18;20;14;19
1;0;6;3;1;2;4;5;7;9;11;8;10;12;13;21;15;17;16;np;18;20;14;19
2;0;6;3;1;2;4;5;7;9;11;8;10;12;13;21;15;17;16;np;18;20;14;19
3;0;5;3;1;2;4;6;7;9;11;8;10;12;13;21;15;17;16;np;18;20;14;19
4;0;5;3;1;2;4;6;7;8;11;9;10;12;13;21;15;16;17;np;18;20;14;19
5;0;5;3;1;2;4;6;7;8;11;9;10;12;13;21;15;16;17;np;18;20;14;19
6;0;5;3;1;2;4;6;7;8;11;9;10;12;13;21;15;16;17;np;18;20;14;19
7;0;5;3;1;2;4;6;18;7;10;8;9;11;12;21;14;15;16;np;17;20;13;19
8;0;5;3;1;2;4;6;20;7;10;8;9;11;12;21;15;14;16;np;17;19;13;18
9;0;5;3;1;2;4;7;17;6;10;8;9;11;12;21;15;13;20;np;16;18;14;19
10;0;5;3;1;2;4;13;15;6;9;7;8;10;11;21;18;12;20;np;14;16;19;17
11;0;4;5;1;2;3;13;11;8;7;6;15;9;16;21;17;10;18;np;12;14;19;20
12;0;2;4;3;1;7;12;11;10;6;5;15;8;16;21;17;9;18;np;13;14;19;20
13;0;2;4;3;1;9;12;10;7;6;5;15;8;16;21;17;11;18;np;13;14;19;20
14;0;2;4;3;1;8;10;9;7;6;5;14;15;16;21;17;11;18;np;12;13;19;20
15;0;5;2;1;3;6;8;7;4;14;11;13;18;15;21;16;9;17;np;10;12;19;20
16;1;7;2;1;3;5;8;6;4;13;11;ab;15;12;19;14;10;16;np;9;ab;17;18
17;1;7;2;1;3;5;8;6;4;13;10;ab;15;12;18;14;11;16;np;9;ab;17;ab
18;1;7;2;1;3;5;8;6;4;13;10;ab;15;12;18;14;11;16;np;9;ab;17;ab
19;0;7;2;1;3;5;8;6;4;13;10;ab;14;12;18;15;11;16;np;9;ab;17;ab
20;0;7;2;1;3;5;8;6;4;14;10;ab;13;12;17;15;11;16;np;9;ab;18;ab
21;0;6;2;1;ab;4;7;5;3;13;9;ab;12;11;16;14;10;15;np;8;ab;17;ab
22;0;6;2;1;ab;4;7;5;3;13;9;ab;12;11;16;14;10;15;np;8;ab;17;ab
23;0;6;2;1;ab;4;7;5;3;13;9;ab;12;11;16;14;10;15;np;8;ab;17;ab
24;0;6;2;1;ab;4;7;5;3;13;9;ab;12;11;15;14;10;17;np;8;ab;16;ab
25;0;6;2;1;ab;4;7;5;3;13;9;ab;12;11;15;14;10;17;np;8;ab;16;ab
26;0;6;2;1;ab;4;7;5;3;13;9;ab;12;11;14;17;10;16;np;8;ab;15;ab
27;0;6;2;1;ab;4;7;5;3;12;9;ab;13;11;14;17;10;16;np;8;ab;15;ab
28;0;6;2;1;ab;4;7;5;3;12;9;ab;13;11;14;17;10;16;np;8;ab;15;ab
29;0;6;2;1;ab;4;7;5;3;12;9;ab;16;11;13;17;10;15;np;8;ab;14;ab
30;0;5;2;1;ab;4;6;10;3;12;8;ab;16;11;13;17;9;15;np;7;ab;14;ab
31;0;4;2;1;ab;10;5;12;3;11;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
32;0;4;2;1;ab;12;5;10;3;11;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
33;0;4;2;1;ab;11;5;10;3;12;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
34;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
35;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
36;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
37;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;16;8;14;np;6;ab;17;ab
38;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;ab;8;14;np;6;ab;16;ab
39;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;ab;8;14;np;6;ab;16;ab
40;0;3;1;4;ab;11;5;10;2;12;7;ab;15;9;13;ab;8;14;np;6;ab;16;ab
41;0;2;1;3;ab;10;4;9;5;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
42;0;2;1;3;ab;10;4;9;5;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
43;0;2;1;3;ab;10;4;9;5;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
44;0;2;1;3;ab;10;4;9;5;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
45;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
46;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
47;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
48;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
49;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
50;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
51;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
52;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
53;0;2;1;3;ab;10;5;9;4;12;7;ab;15;11;13;ab;8;14;np;6;ab;16;ab
54;0;2;1;3;ab;10;5;9;4;13;7;ab;14;11;12;ab;8;15;np;6;ab;16;ab
55;0;2;1;3;ab;10;5;9;4;13;7;ab;14;11;12;ab;8;15;np;6;ab;16;ab
56;0;2;1;3;ab;10;5;9;4;13;7;ab;14;11;12;ab;8;15;np;6;ab;16;ab
