;sc;HAM;ROS;VER2;RIC;RAI;BOT;SAI;HUL;ALO;PER;VET;MAS;GRO;GUT;KVY2;MAG;BUT;PAL;HAR;WEH;NAS;ERI
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
2;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
3;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
4;1;1;4;6;8;2;3;5;7;9;11;10;13;12;14;16;15;18;19;20;17;21;22
5;0;1;2;4;3;13;14;15;16;17;6;18;5;19;22;7;20;8;9;10;21;11;12
6;1;1;2;3;7;8;11;9;12;13;4;14;10;17;21;15;19;16;18;20;ab;5;6
7;1;1;2;3;5;6;9;7;10;11;4;12;8;16;21;13;18;14;17;20;ab;15;19
8;0;1;2;3;5;6;9;7;10;11;4;12;8;16;21;13;18;14;17;20;ab;15;19
9;0;1;2;3;5;6;13;7;9;10;4;11;8;16;19;12;18;14;17;20;ab;15;21
10;0;1;2;3;5;6;13;7;9;10;4;11;8;16;19;12;18;14;17;20;ab;15;21
11;0;1;2;3;5;6;13;7;9;10;4;11;8;16;19;12;18;14;17;20;ab;15;ab
12;0;1;2;3;5;6;13;7;9;10;4;11;8;16;19;12;18;14;17;20;ab;15;ab
13;0;1;2;3;5;6;13;7;9;10;4;11;8;16;19;12;18;14;17;20;ab;15;ab
14;0;1;2;3;5;6;13;7;10;11;4;8;9;16;19;12;18;14;17;20;ab;15;ab
15;0;1;3;2;5;6;12;7;10;11;4;15;8;16;19;9;18;13;17;20;ab;14;ab
16;0;1;3;2;5;9;16;6;7;8;4;11;12;18;15;13;14;10;20;19;ab;17;ab
17;0;2;3;1;5;6;14;7;8;11;4;12;9;ab;17;10;16;13;18;19;ab;15;ab
18;0;1;3;2;5;6;14;7;8;10;4;12;9;ab;17;11;16;13;18;19;ab;15;ab
19;0;1;3;2;5;6;14;7;8;10;4;12;9;ab;17;11;16;13;19;18;ab;15;ab
20;0;1;3;2;4;6;14;7;8;10;5;12;9;ab;17;11;16;13;19;18;ab;15;ab
21;0;1;3;2;4;6;14;7;8;10;5;12;9;ab;17;11;16;13;19;18;ab;15;ab
22;0;1;3;2;4;7;14;6;8;10;5;12;9;ab;17;11;16;13;19;18;ab;15;ab
23;0;1;3;2;4;7;15;6;8;13;5;11;9;ab;17;10;16;12;19;18;ab;14;ab
24;0;1;3;2;4;6;15;8;7;13;5;11;9;ab;17;10;16;12;18;ab;ab;14;ab
25;0;1;3;2;4;6;15;8;7;13;5;11;9;ab;17;10;16;12;18;ab;ab;14;ab
26;0;1;3;2;4;6;15;8;7;13;5;11;9;ab;17;10;16;12;18;ab;ab;14;ab
27;0;1;3;2;4;6;15;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;14;ab
28;0;1;3;2;4;6;15;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;14;ab
29;0;1;3;2;4;6;15;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;14;ab
30;0;1;3;2;4;6;15;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;14;ab
31;0;1;3;2;4;6;15;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;14;ab
32;0;1;3;2;4;6;14;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;15;ab
33;0;1;3;2;4;6;14;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;15;ab
34;0;1;3;2;4;6;14;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;15;ab
35;0;1;3;2;4;6;14;8;7;13;5;10;9;ab;17;11;16;12;18;ab;ab;15;ab
36;0;1;3;2;4;6;14;8;7;13;5;9;10;ab;17;11;16;12;18;ab;ab;15;ab
37;0;1;2;3;4;6;14;8;7;13;5;9;10;ab;17;11;16;12;ab;ab;ab;15;ab
38;0;1;2;3;4;6;14;8;7;12;5;9;13;ab;16;10;17;11;ab;ab;ab;15;ab
39;0;1;2;3;4;6;14;8;7;13;5;9;12;ab;17;10;16;11;ab;ab;ab;15;ab
40;0;1;2;3;4;6;14;8;7;13;5;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
41;0;1;2;3;4;6;14;8;7;13;5;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
42;0;1;2;3;4;6;14;8;7;13;5;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
43;0;1;2;3;4;6;14;8;7;13;5;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
44;0;1;2;3;4;6;14;8;7;13;5;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
45;0;1;2;3;4;5;14;8;7;13;6;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
46;0;1;2;3;4;5;14;8;7;13;6;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
47;0;1;2;3;4;5;14;8;7;13;6;9;12;ab;16;10;17;11;ab;ab;ab;15;ab
48;0;1;2;3;4;5;14;8;7;13;6;9;11;ab;16;10;17;12;ab;ab;ab;15;ab
49;0;1;2;3;4;5;14;8;7;13;6;9;11;ab;16;10;17;12;ab;ab;ab;15;ab
50;0;1;2;3;4;5;14;8;7;13;6;9;11;ab;16;10;17;12;ab;ab;ab;15;ab
51;0;1;2;3;4;5;14;8;7;13;6;9;11;ab;16;10;17;12;ab;ab;ab;15;ab
