;sc;ROS;HAM;RIC;VER2;VET;SAI;ALO;BUT;HUL;BOT;GRO;KVY2;PER;RAI;GUT;NAS;PAL;MAS;MAG;WEH;HAR;ERI
0;0;2;1;3;4;5;7;6;8;10;9;11;20;13;14;12;15;16;19;18;17;21;22
1;0;2;1;3;4;5;7;6;8;10;9;11;20;14;13;12;15;16;19;18;17;21;22
2;0;2;1;3;4;5;7;6;8;10;9;11;20;14;13;12;15;16;19;18;17;21;22
3;0;2;1;3;4;5;7;6;8;10;9;11;20;14;13;12;15;16;19;18;17;21;22
4;0;2;1;3;4;5;7;6;22;9;8;10;19;13;11;12;14;15;18;17;16;20;21
5;0;2;1;3;4;5;7;6;22;9;8;10;19;13;11;12;14;15;18;17;16;20;21
6;0;2;1;3;4;5;7;6;22;9;8;10;19;13;11;12;14;15;18;17;16;20;21
7;0;2;1;3;4;5;7;6;22;9;8;10;19;13;11;12;14;15;18;17;16;20;21
8;0;2;1;3;4;5;7;6;22;9;8;10;19;13;11;12;14;15;18;16;17;20;21
9;0;2;1;3;4;5;7;6;22;9;8;10;18;13;11;12;14;15;17;16;21;19;20
10;0;2;1;3;4;5;7;6;22;9;8;10;18;13;11;12;15;14;17;16;21;19;20
11;0;2;1;3;4;5;7;6;22;9;8;10;17;13;11;12;20;14;16;15;21;18;19
12;0;2;1;3;4;5;7;6;22;9;8;10;17;13;11;12;20;14;16;15;21;18;19
13;0;2;1;3;4;5;7;6;22;11;8;12;17;13;9;10;20;14;16;15;21;18;19
14;0;2;1;3;4;8;5;6;22;16;7;18;15;10;9;11;20;12;14;13;21;17;19
15;0;1;2;5;3;6;4;12;22;15;7;17;14;9;8;16;19;10;13;11;21;18;20
16;0;1;2;3;6;4;11;10;22;15;13;17;14;7;5;16;19;8;12;9;20;18;21
17;0;2;1;3;6;4;11;10;21;15;13;17;14;7;5;16;19;8;12;9;20;18;22
18;0;2;1;3;6;4;11;10;21;15;12;17;14;7;5;16;19;8;13;9;20;18;22
19;0;2;1;3;6;4;11;10;21;15;12;17;14;7;5;16;19;8;13;9;20;18;22
20;0;2;1;3;6;4;11;10;21;15;12;17;14;7;5;16;19;8;13;9;20;18;22
21;0;2;1;3;6;4;11;10;21;15;12;17;14;7;5;16;19;8;13;9;20;18;22
22;0;2;1;3;6;4;11;10;21;15;12;17;14;7;5;16;18;8;13;9;20;19;22
23;0;2;1;3;6;4;11;9;21;14;12;17;16;7;5;15;18;8;13;10;20;19;22
24;0;2;1;3;6;4;10;9;21;12;11;14;20;7;5;13;17;8;15;16;19;18;22
25;0;2;1;3;6;4;10;9;21;12;11;14;19;7;5;13;16;8;20;15;18;17;22
26;0;2;1;3;6;4;9;8;21;11;10;14;18;7;5;13;16;12;20;15;19;17;22
27;0;2;1;3;6;4;8;7;22;11;9;14;18;10;5;13;16;12;20;15;19;17;21
28;0;2;1;3;5;4;8;7;22;11;9;14;17;10;6;13;16;12;19;15;18;20;21
29;0;2;1;3;5;4;8;6;21;11;9;14;17;10;7;13;16;12;19;15;18;22;20
30;0;2;1;3;5;4;8;7;21;11;9;14;17;10;6;13;16;12;19;15;18;22;20
31;0;2;1;3;5;4;8;7;21;11;9;14;17;10;6;13;16;12;19;15;18;22;20
32;0;2;1;3;5;4;8;7;21;11;9;14;17;10;6;13;16;12;20;15;18;22;19
33;0;2;1;5;4;3;8;7;21;11;9;14;17;10;6;13;16;12;20;15;18;22;19
34;0;2;1;5;4;3;8;7;21;11;9;14;17;10;6;13;16;12;19;15;20;22;18
35;0;2;1;5;4;3;8;7;20;11;9;14;17;10;6;13;16;12;19;15;22;21;18
36;0;2;1;5;4;3;8;7;20;11;9;16;15;10;6;13;14;12;19;17;22;21;18
37;0;2;1;5;4;3;8;7;20;11;9;16;14;10;6;15;13;12;19;17;22;21;18
38;0;2;1;4;6;3;8;7;20;11;9;16;13;10;5;15;14;12;19;17;22;21;18
39;0;2;1;4;6;3;8;7;20;13;9;15;11;10;5;14;17;12;19;16;22;21;18
40;0;1;2;4;6;3;8;7;20;12;9;15;10;14;5;13;17;11;19;16;21;22;18
41;0;1;2;3;6;5;8;7;20;12;9;15;10;14;4;13;17;11;19;16;21;22;18
42;0;2;1;3;6;5;9;7;20;12;8;15;10;14;4;13;17;11;19;16;21;22;18
43;0;2;1;3;6;5;8;7;20;12;9;15;10;14;4;13;17;11;19;16;21;22;18
44;0;2;1;3;6;5;8;7;20;12;9;15;10;14;4;13;17;11;18;16;21;22;19
45;0;2;1;3;6;5;8;7;19;12;9;15;10;14;4;13;17;11;18;16;20;22;21
46;0;2;1;3;6;5;8;7;19;11;9;14;16;13;4;12;17;10;18;15;20;22;21
47;0;2;1;3;6;5;8;7;19;10;9;14;16;12;4;11;17;13;18;15;20;22;21
48;0;2;1;3;6;5;8;7;19;10;9;14;16;12;4;11;17;13;18;15;20;22;21
49;0;2;1;3;6;5;8;7;19;10;9;14;16;12;4;11;17;13;18;15;20;22;21
50;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
51;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
52;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
53;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
54;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
55;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
56;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
57;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
58;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
59;0;2;1;3;5;4;8;7;19;10;9;14;16;12;6;11;17;13;18;15;20;22;21
60;0;2;1;3;5;4;8;7;ab;10;9;14;16;12;6;11;17;13;18;15;19;21;20
61;0;2;1;3;5;4;8;7;ab;10;9;14;16;12;6;11;17;13;18;15;19;21;20
62;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
63;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
64;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
65;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
66;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
67;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
68;0;2;1;3;5;4;8;7;ab;10;9;14;16;11;6;12;17;13;18;15;19;21;20
69;0;2;1;3;5;4;8;7;ab;10;9;14;ab;11;6;13;17;12;18;15;19;21;20
