;sc;ROS;HAM;RIC;VER2;RAI;VET;BOT;HUL;PER;MAS;GUT;BUT;ALO;PAL;SAI;MAG;WEH;KVY2;HAR;GRO;NAS;ERI
0;0;4;1;3;2;6;5;7;8;16;10;18;9;11;14;13;12;19;15;22;20;17;21
1;0;4;1;3;2;6;5;7;8;15;10;18;9;11;22;12;13;19;14;20;17;16;21
2;0;4;1;3;2;6;5;7;8;15;10;18;9;11;22;12;13;19;14;20;17;16;21
3;0;4;1;3;2;6;5;7;8;15;10;18;9;11;22;12;13;19;14;20;16;17;21
4;0;4;1;3;2;6;5;7;8;15;10;18;9;11;22;12;13;19;14;21;16;17;20
5;0;4;1;3;2;6;5;7;8;14;11;18;9;10;22;12;13;19;16;21;15;17;20
6;0;4;1;3;2;6;5;7;8;14;11;16;9;10;22;12;13;17;19;20;15;21;18
7;0;4;1;3;2;6;5;7;8;15;11;16;9;10;20;12;13;17;21;19;14;22;18
8;0;4;1;3;2;6;5;7;8;19;14;15;9;10;20;13;11;16;21;18;12;22;17
9;0;4;1;3;2;6;5;7;8;17;18;13;9;10;20;19;11;14;21;16;12;22;15
10;0;5;1;2;3;6;4;7;8;17;18;13;9;10;21;19;12;14;20;16;11;22;15
11;0;10;1;2;6;4;3;5;7;15;17;12;8;9;21;19;18;13;20;16;11;22;14
12;0;6;1;5;4;2;3;10;12;14;15;11;8;7;20;17;16;21;19;18;9;22;13
13;0;5;1;4;3;2;6;9;10;13;15;11;12;7;20;17;16;19;18;22;8;21;14
14;0;4;1;3;2;6;5;8;9;12;14;10;11;13;20;17;15;19;18;22;7;21;16
15;0;4;1;3;2;6;5;7;9;12;14;10;11;13;20;16;15;19;18;22;8;21;17
16;0;4;1;3;2;6;5;7;8;12;14;10;11;13;19;16;15;18;17;22;9;20;21
17;0;4;1;3;2;6;5;7;8;12;13;10;9;11;19;15;14;18;17;22;16;20;21
18;0;4;1;3;2;6;5;7;8;12;14;10;9;11;19;15;13;18;17;22;16;21;20
19;0;4;1;3;2;6;5;7;8;12;14;10;9;11;20;15;13;18;17;21;16;22;19
20;0;4;1;3;2;6;5;7;8;12;16;10;9;11;20;14;13;18;17;21;15;22;19
21;0;4;1;3;2;6;5;7;8;12;16;11;9;10;20;14;13;18;17;21;15;22;19
22;0;4;1;3;2;6;5;7;8;11;16;12;9;10;20;15;13;18;17;21;14;22;19
23;0;4;1;3;2;6;5;7;8;11;16;12;9;10;20;15;13;18;17;21;14;22;19
24;0;4;1;3;2;6;5;7;8;11;16;15;9;10;20;14;12;18;17;21;13;22;19
25;0;4;1;3;2;6;5;7;8;11;16;18;9;10;22;14;12;17;15;20;13;21;19
26;0;4;1;3;2;6;5;7;8;11;20;16;9;10;22;14;12;18;15;19;13;21;17
27;0;6;1;2;3;5;4;7;8;14;19;16;9;10;22;13;11;18;15;20;12;21;17
28;0;5;1;2;6;4;3;7;8;14;19;15;9;12;22;13;10;18;17;20;11;21;16
29;0;5;1;2;6;4;3;7;8;13;19;14;9;12;22;15;10;18;17;20;11;21;16
