;sc;ROS;VER2;RAI;VET;RIC;PER;HUL;BOT;BUT;MAS;GRO;MAG;PAL;SAI;WEH;NAS;OCO;GUT;KVY2;ERI;HAM;ALO
0;0;1;16;21;19;3;8;2;6;20;4;5;10;9;7;ab;18;13;11;14;17;15;12
1;1;1;17;19;16;3;7;2;4;ab;5;6;9;8;ab;ab;18;12;10;14;15;13;11
2;1;1;16;19;15;3;6;2;4;ab;13;5;8;7;ab;ab;17;11;9;14;18;12;10
3;0;1;16;18;15;3;5;2;4;ab;13;6;8;7;ab;ab;17;12;9;14;ab;11;10
4;0;1;16;18;15;3;5;2;4;ab;13;6;8;7;ab;ab;17;12;9;14;ab;11;10
5;1;1;15;17;14;3;5;2;4;ab;11;6;ab;7;ab;ab;16;12;8;13;ab;10;9
6;1;1;14;17;13;2;9;3;4;ab;8;12;ab;11;ab;ab;16;15;6;10;ab;7;5
7;1;1;14;17;11;2;7;3;12;ab;6;10;ab;9;ab;ab;16;15;13;8;ab;5;4
8;1;1;14;17;11;2;7;3;12;ab;6;10;ab;9;ab;ab;16;15;13;8;ab;5;4
9;1;1;14;17;11;2;7;3;12;ab;6;10;ab;9;ab;ab;16;15;13;8;ab;5;4
10;0;1;14;15;11;2;8;3;12;ab;6;10;ab;9;ab;ab;16;17;13;7;ab;5;4
11;0;1;14;15;11;2;7;3;12;ab;6;9;ab;10;ab;ab;16;17;13;8;ab;4;5
12;0;1;14;15;10;2;7;3;12;ab;6;9;ab;11;ab;ab;16;17;13;8;ab;4;5
13;0;1;14;15;10;2;7;3;11;ab;6;9;ab;12;ab;ab;16;17;13;8;ab;4;5
14;0;1;14;15;10;2;7;3;11;ab;6;9;ab;13;ab;ab;16;17;12;8;ab;4;5
15;0;1;16;14;9;2;7;3;11;ab;6;10;ab;13;ab;ab;15;17;12;8;ab;4;5
16;0;1;17;14;8;2;7;3;10;ab;6;11;ab;13;ab;ab;15;16;12;9;ab;4;5
17;0;1;17;13;8;2;7;4;10;ab;6;12;ab;14;ab;ab;15;16;11;9;ab;3;5
18;0;1;17;13;8;2;7;4;9;ab;6;12;ab;14;ab;ab;15;16;11;10;ab;3;5
19;0;1;17;12;8;2;7;4;9;ab;6;13;ab;14;ab;ab;15;16;11;10;ab;3;5
20;0;1;16;11;8;2;7;3;9;ab;6;12;ab;14;ab;ab;15;17;10;13;ab;4;5
21;0;1;13;10;6;2;5;3;8;ab;7;11;ab;14;ab;ab;15;16;12;17;ab;9;4
22;0;1;11;9;7;2;4;3;8;ab;10;12;ab;17;ab;ab;14;13;16;15;ab;6;5
23;0;1;9;7;10;2;4;5;11;ab;8;16;ab;15;ab;ab;17;14;13;12;ab;3;6
24;0;1;8;11;9;2;7;4;10;ab;6;15;ab;14;ab;ab;17;16;13;12;ab;3;5
25;0;1;8;11;9;2;7;4;10;ab;6;15;ab;14;ab;ab;17;16;12;13;ab;3;5
26;0;1;11;10;8;2;7;4;9;ab;6;15;ab;14;ab;ab;17;16;12;13;ab;3;5
27;0;1;15;10;8;2;7;4;9;ab;6;14;ab;13;ab;ab;17;16;11;12;ab;3;5
28;0;1;14;10;8;2;6;4;9;ab;7;15;ab;13;ab;ab;17;16;11;12;ab;3;5
29;0;1;13;10;8;2;5;4;9;ab;7;15;ab;14;ab;ab;17;16;11;12;ab;3;6
30;0;1;13;10;8;2;5;4;9;ab;7;14;ab;15;ab;ab;17;16;11;12;ab;3;6
31;0;1;12;10;8;2;5;4;9;ab;7;14;ab;15;ab;ab;17;16;11;13;ab;3;6
32;0;1;12;10;8;2;5;3;9;ab;7;14;ab;15;ab;ab;17;16;11;13;ab;4;6
33;0;1;12;10;7;2;5;4;9;ab;8;14;ab;15;ab;ab;17;16;11;13;ab;3;6
34;0;1;12;10;6;2;5;4;9;ab;8;13;ab;15;ab;ab;17;16;11;14;ab;3;7
35;0;1;11;10;6;2;5;4;9;ab;8;13;ab;15;ab;ab;17;16;12;14;ab;3;7
36;0;1;11;10;6;2;5;4;9;ab;8;13;ab;15;ab;ab;17;16;12;14;ab;3;7
37;0;1;11;10;6;2;5;4;9;ab;8;13;ab;15;ab;ab;17;16;12;14;ab;3;7
38;0;1;11;10;6;2;5;4;9;ab;8;13;ab;15;ab;ab;17;16;12;14;ab;3;7
39;0;1;11;10;6;2;5;4;9;ab;8;13;ab;15;ab;ab;17;16;12;14;ab;3;7
40;0;1;11;10;6;2;5;4;8;ab;9;13;ab;15;ab;ab;17;16;12;14;ab;3;7
41;0;1;11;9;6;2;5;4;8;ab;10;13;ab;15;ab;ab;17;16;12;14;ab;3;7
42;0;1;11;9;6;2;5;4;8;ab;10;13;ab;15;ab;ab;17;16;12;14;ab;3;7
43;0;1;11;9;6;2;5;4;8;ab;10;13;ab;15;ab;ab;17;ab;12;14;ab;3;7
